idx	prefix	english
0		You stand before a simple bed-frame. 
1		(Look at the mattress.) 
2		"Can I take a nap, Snell?" 
3		E-"Thanks, bed." 
4		The mattress is extra thick. 
5		Probably expensive. 
6		It's a half-and-half silk material. 
7		They're known to allow the sleeper to dream into the ethereal plane. 
8		This material goes for extra in every outlet. 
9		However, the claim that these contain Ym Silk is ridiculous. 
10		Anything over a tiny fraction would make the bed half-invisible. 
11		A scam, then? Pretty damn good scam. 
12		"What? No!" he yells from across the apartment. 
13		"Do not even think about getting into my bed." 
14		"You can join too!" 
15		"That's fair. I'm pretty dirty." 
16		"It's too small for me anyhow." 
17		"That's definitely worse." 
18		"Come on... let's have a buddy nap!" 
19		"I need to get better at persuasion." 
20		"<i>Even</i> worse." 
21		"I really hope you don't, considering your average proposal." 
22		"Yeah. And you're not getting in my bath either." 
23		"Didn't even think of that. But yeah." 
