idx	french
0	Tu détectes quelque chose d'inhabituel dans cette section de mur.
1	Un passage caché ?
2	Ou tes sens te jouent des tours.
3	Précisément, le crâne ornementé.
4	C'est une porte.
5	« Qu'est-ce qu'il y a ? »
6	(Pointer le mur.)
7	Il le fixe en plissant les yeux.
8	« Ah ouais, c'est juste le passage vers la crypte. »
9	« Tu connais toutes les portes secrètes ici en bas ? »
10	« Juste celle-ci. Elle est juste à côté des Racines. Elle change tous les deux mois environ, si on ne surveille pas. »
11	« Faut s'assurer qu'elle reste fermée. Depuis que vous, les clercs, avez arrêté de faire des incursions régulières, le problème des morts-vivants est devenu un peu le bazar. »
12	« Ouais. On a vraiment merdé avec cette politique de non-incursion. »
13	« On peut pas être responsables de chaque recoin avec des os qui gambadouillent. »
14	« Compréhensible. »
15	« Je comprends la raison derrière - faut se concentrer sur la surface - mais c'est risqué de laisser la défense des bas-fonds à des tiers, je dirais. »
16	« Même si on fait un putain de bon boulot, tout compte fait. »
17	« Gambadouiller ? »
18	« C'est une expression. »
19	« Bien sûr. »
20	« Ouais. »
21	« Bref, si tu veux vérifier à l'intérieur, tu pourrais probablement appuyer sur cette dalle là. »
22	(Passer ta main sur la surface.)
23	Tes doigts gantés parcourent la pierre.
24	Lisse. Froide. Ordinaire.
25	Mais attends.
26	Une section semble différente.
27	Légèrement plus chaude.
28	Une dalle. Distincte des autres.
29	(Presser la dalle.)
30	Tu pousses.
31	Un léger <i>clic</i>.
32	Le mur frémit.
33	Puis coulisse.
34	Révélant un passage sombre au-delà.
35	Un air froid s'en échappe.
36	L'odeur de vieille pierre et de poussière.
37	Et autre chose.
38	La mort.
39	« Super. Je garderai ma fronde prête. »
40	Il parle de son arme, pas de sa virilité.
41	<i>Ça</i>, ça ne sera pas nécessaire dans ce lieu mort et osseux. Avec un peu de chance...
42	(Déglutir.)
