idx	french
0	Tu regardes à l'intérieur de la caisse.
1	Des potions. Plusieurs couches. Emballées dans... des journaux reedsiens.
2	Quelqu'un a écrit en grosses lettres à l'intérieur de la caisse : « LOT DE POTIONS AVARIÉES. NE PAS BOIRE. »
3	Qui a brassé celles-ci ?
4	Elles sont toutes... <i>avariées</i> ?
5	(Examiner la boîte.)
6	(Vérifier la date sur les journaux.)
7	E-D'accord, soit.
8	Les étiquettes disent toutes <i>Hexbrew</i>.
9	Tout le travail de Joanna !
10	Si tu te lançais dans le commerce des potions, tu pourrais probablement te faire un joli magot...
11	Il semble que oui.
12	Pourquoi elles sont toutes réunies ici, en revanche, ça n'a aucun sens.
13	Elles ont dû être retirées d'une autre cargaison.
14	Pour vérifier des potions, on ferait usage du sort Détection de la Pureté des Potions.
15	Ces potions ont dû être détectées comme inefficaces, et placées ici en vue d'une élimination ultérieure.
16	Rien d'intéressant là-dedans.
17	Sauf la minuscule marque gravée d'un oiseau dans le coin inférieur droit.
18	« Ces putains de trucs. Populaires chez la haute. Vraiment mauvais pour toi, cela dit. »
19	(Examiner les autres.)
20	Tu parcours du regard les fioles et flacons empilés.
21	« Non, c'est genre- C'est pas qu'elles marchent pas. Elles marchent très bien. »
22	Il te montre l'étiquette. Elle indique : « Potion de Faible Masse Grasse ».
23	« C'est une... comment ça s'appelle- une transmutation. Les gens s'en servent pour rester en forme et en bonne santé. »
24	« Mais contrairement à une potion de métamorphose personnalisée, celles-ci ne font que déplacer ton... <i>apport nutritionnel</i>. »
25	« Fini par te tuer à petit feu, si t'en bois trop. C'est pour ça qu'elles sont pas légales à importer ou à vendre ici. »
26	« Oh. »
27	« Tu en connais un rayon là-dessus, Snell. »
28	« ...J'ai peut-être lu un article dessus à un moment. »
29	« Mais peu importe. Laisse ces richards se faire ce qu'ils veulent, pas vrai ? »
30	« Sauf que ce qui se passe, c'est que cette merde se refile vite à la basse classe. »
31	« Et ce qui se passe, c'est que- »
32	Il s'interrompt et grogne. « Peu importe. »
33	« Qu'y a-t-il d'autre dans cette boîte ? »
34	Il a commencé à montrer à quel point il tient aux gens de cette cité.
35	Puis il s'est ravisé.
36	Le peuple a besoin d'une main ferme pour le guider. C'est pourquoi l'État a interdit ces substances.
37	La réglementation, c'est important.
38	Le petit peuple a aussi la responsabilité de prendre soin de lui-même.
39	Pourquoi n'auraient-ils pas le droit de ruiner leur propre corps, si c'est ce qu'ils veulent ?
40	(La boire.)
41	(N'en rien faire.)
42	Tu la débouches, le bouchon s'envolant dans le tunnel.
43	« Je pense vraiment pas que ce soit malin vu que- et t'as descendu toute la bouteille. »
44	Tu descends toute la bouteille.
45	Ça a un goût de cannelle brûlée.
46	« Hm ? »
47	Le gobelin te fixe.
48	Il attend que tu explodes. Ou un truc du genre.
49	« Je ne sens rien. »
50	« Dommage. »
51	Tu fixes la boîte de potions.
52	La bouteille est longue et élancée, et elle pèse un certain poids dans tes mains.
53	L'étiquette indique : « Potion de Masculinité/Féminité ».
54	« Ah. Un permutateur de genre. »
55	« Ceux-là sont sacrément populaires ces temps-ci. »
56	Aussi connue sous le nom de « Potion du Genre Miroir ».
57	Elle métamorphose l'utilisateur en une créature à la position opposée sur le spectre de masculinité/féminité de Jor, en se fondant sur le type de peuple et le phénotype de base de l'utilisateur.
58	Tu en as entendu parler.
59	Elles ne t'intéressent pas.
60	Tu te débrouillerais probablement mieux en femme.
61	Si celle-ci fonctionnait vraiment, tu aurais pu la vendre pour deux ou trois cents couronnes.
62	Du matériel coûteux !
63	Oh que oui.
64	Celles-ci sont populaires avec un grand P : POPULAIRES.
65	Est-ce que je veux boire ça ?
66	R-(La boire.)
67	(Vraiment, vraiment surtout pas.)
68	Ce n'est pas quelque chose auquel tu as réfléchi.
69	Tu as réfléchi à ce que ce serait d'être une femme.
70	Bien que ce ne soit pas quelque chose que tu aies jamais activement recherché.
71	Ça pourrait t'aider à mieux les comprendre. À compatir plutôt qu'à t'identifier au calvaire de la condition féminine.
72	Tu as confiance en ta structure corporelle.
73	Bien que tu aies toujours été intrigué par la femme en soi, tu ne souhaites pas prendre part à sa lutte.
74	Tu es un homme. Tu mourras en homme.
75	« Oh, plein de monde. »
76	« C'est la grande mode. Tu sais, pour certains c'est juste un frisson. Vu que c'est un changement stable, permanent et indolore, ça s'est fait produire en masse après la guerre. »
77	« Ça reste assez cher, cela dit. »
78	« Alors ça permute juste... tout le bazar ? »
79	« Comme c'est intéressant. »
80	« Comme c'est ennuyeux. »
81	« Ouais. D'après ce que j'ai entendu, du moins. »
82	« J'imagine. »
83	« Bien sûr. »
84	« Moi j'y touche pas, à proprement parler. Ils ont parlé de l'interdire il y a un moment. Mais ils ont fini par juste rendre obligatoire de déclarer le changement, s'il dure plus de quelques jours. »
85	« Trop de gens s'en servaient comme moyen rapide et facile d'éviter la prison. »
86	« Avec les métamorphoseurs classiques, t'as au moins la barrière du prix. »
87	Tu fais sauter le bouchon vissé, et tu l'engloutis d'un seul trait.
88	QUE LES DIEUX SOIENT CLÉMENTS.
89	Le liquide coloré descend tout en douceur.
90	Ça a un goût de sable et de vinaigre.
91	Tu ne détestes pas.
92	Tu détestes.
93	Mais aucun changement ne semble se produire.
94	Que tu saches.
95	Un comportement insensé.
96	Mais tu as eu de la chance.
97	Hm. Tant pis.
98	Le gobelin te fusille du regard.
99	« Genre, j'espère pour toi qu'elle est vraiment avariée. Parce que je connais pas les conséquences légales quand les clercs de la cité deviennent des femmes. »
100	Il se gratte le menton. « Ils ont pas changé ça, si ? C'est toujours réservé aux hommes ? »
101	« Pour la Garde-d'Urth, oui. »
102	« Concentre-toi, Snell. Je suis en train de me transformer en <b>femme</b>. »
103	« Bah. »
104	« Je crois pas que ça va arriver de sitôt. »
105	Le gobelin te toise de haut en bas.
106	Après quelques secondes tu entends un son.
107	Ton estomac. Il se <wiggle>tortille</wiggle>.
108	Au-delà de ça, rien ne change.
109	« Ouais, elle était avariée. »
110	Snell hausse les sourcils vers toi.
111	« Tu répètes ? »
112	« Elle était avariée, Snell. Rien ne s'est passé. »
113	« Ouah. »
114	« Ta voix est un chouïa plus aiguë. »
115	« Non, elle l'est pas. »
