idx	prefix	english
0		A Glowstone Lantern. 
1		It appears to be non-functional. 
2	FC8 wis-	A Glowstone Lantern? 
3		What's wrong with it? 
4		"Hey, Snell! You need help fixing this thing?" 
5	ROLL6 int-	Fix the lantern. 
6		E-Nah. 
7		The glowstone inside must be malfunctioning. 
8		A common issue with these cheaply Postwar-Era-produced lanterns. 
9		It is broken. Obviously. 
10		"That's okay, Cleric." 
11		That's... <i>okay</i>. That's okay? 
12		That means... he needs your help, clearly. 
13		The goblin does not know what's best for him. 
14		You look over the lantern, checking the insides. 
15		Beyond the thin, cheap glass, lies a green glowstone. A shard-type. 
16		(Touch it.) 
17		As you do, it burns your hand. 
18		"Ouch." 
19		"Cleric?" 
20		"That thing has been acting up for weeks. Let it be. I'mma throw it out soon." 
21		You spend a few minutes looking it over, realizing a bit later than you should have that there is an esoteric effect on the lantern itself. 
22		Investigating it further reveals the issue: the glowstone's connection with the flimsy metal plate around it. 
23		While the heat remained, and the stone is quite hot, its weak esoteric light was esoterically spread out across the full surface of the lantern, instead of focused on the glowstone itself. 
24		(Re-attach the glowstone without burning yourself.) 
25		With a quick snap, light returns to the lantern. 
26		Such a simple solution. You should have come up with it quicker. 
27		That was a difficult task. You are a genius. 
28		"I fixed the lamp, Snell." 
29		"Huh. Thanks." 
30		He gives you a thumbs up. 
31		The goblin speaks your language. 
32		Such gratitude. 
33		You stand before the, now working, Glowstone Lantern. 
34		"Now you won't have to trip when going to the bathroom in the middle of the night anymore." 
35		I'm so good at tinkering with stuff. 
36		E-Nice. 
37		"That's not really a problem. You know." 
38		He points at his eyes. 
39		"Darkvision." 
40		"Right. You're a goblin. I keep forgetting." 
41		"Then why do you have a lamp?" 
42		"Same to you. I keep forgetting you're not an abnormally tall gnome." 
43		A... GNOME?! 
44		That's funny. The goblin is funny. 
45		Do an impression. He'll like that. 
46		Just don't do an impression. 
47		Hm. Snell does not appear to be the type to enjoy racist caricatures. 
48		So please, do not perform a racist caricature of a gnome to entertain him. 
49		"No you don't." 
50		"Take that back." 
51		(Mimic stereotypical gnome hand-movements.) "Look at-a-me, I am-a-the tallest gnome in all of-a-the world." 
52		"I might have been joking." 
53		"Sure. I won't die on this hill." 
54		"Eh. Slightly racist. But I can dig it." 
55		Good enough. 
56		"It's not perfect darkvision." 
57		He stretches a bit. 
58		"But yeah. The fixed lamp will help. Thanks again, Cleric." 
59		You're slightly above average. 
60		Which says more about the average than it does about you. 
61		Yes. You are, truly, a genius. 
