idx	french
1000	À propos... d'Urth... (Commencer à trembler.)
1001	Quoi, à son sujet ?
1002	Parlez-moi de lui. J'ai besoin d'en savoir plus. Je vous en prie, je vous en prie, parlez-moi de lui.
1003	Pourquoi êtes-vous si sèche avec moi ? Vous me détestez ? Est-ce qu'Urth me déteste ?!
1004	Vous... pleurez la disparition d'Urth, n'est-ce pas ? C'est pour ça que vous agissez si bizarrement.
1005	Je ne vous déteste pas, Clerc.
1006	Je ne puis parler au nom de votre dieu.
1007	Ce n'est pas le cas, Clerc. Vous ne semblez pas avoir bien compris les choses.
1008	Elle se tait un moment, t'étudiant.
1009	Je suis occupée. Peut-être pourrai-je parler en détail plus tard.
1010	Tu peux sentir sa pitié pour toi. Ça fait mal.
1011	Tes entrailles frémissent à ses mots.
1012	Elle a du pouvoir.
1013	Ouais. Bien sûr, ça me va.
1014	(Se contenter de hocher la tête, en retenant ses larmes.)
