idx	prefix	english
0		You approach that loose tile. 
1		Thinking of his words. 
2		You hold your brass ring. 
3		Snell watches you in silence. 
4		"Nice corner." 
5		(Place it behind the loose tile.) 
6		(Keep it.) 
7		You place it behind the tile, and slide it shut. 
8		One day another will find it. 
9		You hope His light shines upon that individual as well. 
10		E-(Leave.) 
11		You have a long journey ahead of you. 
12		A reminder of his light is never a bad thing. 
13		E-(Grasp it tight and leave.) 
