idx	french
0	Une porte de bois barre ton chemin.
1	(Tâter la poignée.)
2	Elle refuse de bouger.
3	Ah ouais. Verrouillée à double tour.
4	Genre, LOURDEMENT verrouillée. Ce mécanisme est plutôt solide.
5	Celui qui a mis ça ne voulait vraiment pas que quiconque entre...
6	Oh, c'est verrouillé.
7	Ça veut dire que tu devrais l'éviter. C'est probablement piégé.
8	Il l'a fermée.
9	Il l'a FERMÉE- rien que pour tenir SON PEUPLE à distance.
10	Un PATRON dans la peur de sa MAIN-D'ŒUVRE...
11	Tu tires tout ça d'une porte verrouillée ?
12	Ton écharpe se tortille légèrement. « Pas piégée ! Meek sait ! »
13	« Ça doit mener à l'arrière-bureau. J'suis jamais entré ici, mais je crois qu'ils ont fermé il y a un moment. »
14	« J'ai entendu des rumeurs de quelques gobelins qui bossaient ici- je crois que le proprio les a tous virés sans prévenir. »
15	Huh...
16	Tu t'approches de nouveau de la porte verrouillée.
17	Toujours verrouillée. Évidemment.
18	À quoi t'attendais-tu ? À ce qu'elle s'ouvre par magie toute seule ?
19	Crocheter la serrure.
20	Forcer la porte.
21	E-Peut-être plus tard.
22	« ...Ouais, c'est en fait inquiétant maintenant que j'y pense. »
23	« Je me renseignerai plus tard. Rien d'inquiétant pour l'instant, cela dit. »
24	Tes doigts travaillent le mécanisme avec précision.
25	<i>Clic. Clic. Clic.</i>
26	La serrure cède.
27	Tu tâtonnes avec la serrure, tes outils glissant.
28	Presque... presque...
29	Non. Elle refuse de bouger.
30	Tes mains sont trop maladroites pour ce travail délicat.
31	Réessaie. Ou trouve un autre moyen.
32	Tu balances ton épaule contre le bois.
33	Une fois. Deux fois.
34	Le cadre de la porte se fend et cède !
35	Tu te jettes contre la porte.
36	Encore. Et encore.
37	Mais elle tient bon.
38	Ton épaule te fait mal.
39	C'était stupide.
40	Mais tu devais essayer.
41	Tu prononces les mots de pouvoir.
42	Un profond son retentissant résonne à travers le rollermill.
43	La serrure s'ouvre dans un déclic satisfaisant.
44	La porte s'ouvre en grand.
45	Tu ne vois que du noir au-delà.
46	Une obscurité complète, TOTALE.
47	« On voit rien du tout là-dedans. »
48	« C'est donjon ? »
49	L'œil de l'écharpe ballotte autour de ta tête.
50	« Non. Pas donjon. Pas de pièges ici ! »
51	Tu entres en trébuchant, laissant prudemment ta vue s'habituer à l'obscurité totale de cette... souterraine...
52	Chambre de stockage ? Bureau ?
53	« Pourquoi je passerais pas devant. »
54	« Meek va aider ! Meek voit ! »
55	Ta lumière transperce les ténèbres.
56	La chambre de stockage se révèle.
57	Des caisses brisées. Des papiers éparpillés. Un fouillis d'équipement abandonné.
58	« Quelqu'un est parti en vitesse. »
59	Tu remarques le plafond. Plusieurs pierres-de-lueur gisent en éclats sur le sol.
60	L'explosion. Elle a dû les faire tomber.
61	Ce souffle du salon de thé a atteint jusqu'ici.
62	Avancer à tâtons.
63	Tu progresses lentement, les mains tendues.
64	Tes doigts effleurent les murs. Contournent les obstacles.
65	Peu à peu tes yeux s'habituent à la faible lumière de l'embrasure.
66	Tu peux distinguer des formes maintenant.
67	« Prudence, Clerc. »
68	Des caisses brisées. Des papiers éparpillés. Un fouillis total.
69	Et sur le sol... des pierres-de-lueur en éclats.
70	Elles ont dû tomber du plafond quand le salon de thé a explosé.
71	Tu avances en trébuchant dans l'obscurité.
72	Soudain, le bord extérieur de ton pied gauche heurte quelque chose de dur.
73	La douleur fuse dans ta jambe.
74	(Gémir et grimacer.)
75	« Ça va ? Ça avait l'air douloureux. »
76	Dégâts massifs, massifs.
77	<shake>Tu l'as à peine senti.</shake>
78	« Je vais bien. Tout à fait bien. » (Bouillir intérieurement.)
79	« PUTAIN ! Ça fait mal ! »
80	(Ravaler la douleur.)
81	Tu ne vas pas bien.
82	Mais tu survivras.
83	DOULEUR. FULGURANTE.
84	À quoi t'attendais-tu ?
85	Les dents serrées. Les yeux larmoyants.
86	Mais tu continues d'avancer.
87	Peu à peu tes yeux s'habituent quelque peu.
88	Tu peux voir des formes maintenant. Vaguement.
89	La chambre de stockage est un désastre.
90	De l'équipement brisé. Des papiers éparpillés. Des pierres-de-lueur en éclats sur le sol.
91	L'explosion du salon de thé a dû les décrocher du plafond.
92	Ce souffle... il a tout secoué.
93	(Avancer.)
94	Tu patauges à travers les débris.
95	Cet endroit est abandonné depuis un moment.
96	La poussière recouvre tout.
97	« Quel taudis. »
98	« Meek sent vieille odeur-d'humain. Très vieille ! »
99	(Chercher quoi que ce soit d'utile.)
100	Tu fouilles parmi les papiers et les caisses.
101	La plupart ne vaut rien. De vieux reçus. Des listes d'inventaire.
102	Mais alors tu trouves quelque chose.
103	(Ramasser le document.)
104	Un avis. En-tête officiel.
105	« <i>Avis de Licenciement - Violation d'Action Collective</i> »
106	Tu parcours le texte.
107	Le propriétaire du rollermill a viré tout le monde.
108	Ils ont tenté de former un syndicat azgal.
109	Tous les ouvriers renvoyés. Avec effet immédiat.
110	« Brutal. »
111	« Patron-Grand humain était méchant ! »
112	Ça explique pourquoi cet endroit est vide.
113	Le propriétaire a fermé plutôt que de composer avec une main-d'œuvre organisée.
114	« Typique. »
115	« Les ouvriers méritaient mieux. »
116	« Bien. Les syndicats sont des fauteurs de troubles. »
117	(Ne rien dire.)
118	Une manœuvre classique.
119	Virer tout le monde et mettre la clé sous la porte.
120	Ils l'ont fait.
121	Mais le monde donne rarement aux gens ce qu'ils méritent.
122	Garde les ouvriers dans le rang.
123	C'est comme ça qu'on mène une affaire.
124	Silence dans la chambre.
125	« Une histoire vieille comme le monde. »
126	« Ou du moins, vieille comme le travail en usine. C'est de la <i>connerie bourgeoise</i>, jusqu'au sommet. »
127	La bourgeoisie ?
128	Il montre son cœur sur la main.
129	Snell a raison. Hélas.
130	Le document ne répond pas.
131	Il secoue la tête. « Ignore-moi, je commence à fatiguer là. »
132	Tu poursuis plus profond dans la chambre.
133	Au fond, tu trouves un bureau.
134	L'espace privé du propriétaire...
135	« Vérifie le bureau. »
136	(S'approcher du bureau.)
137	De vieux papiers. Des registres. D'autres avis de licenciement.
138	Et puis... un tiroir.
139	Verrouillé, mais mal.
140	(Le forcer.)
141	Le tiroir s'ouvre d'un coup sec.
142	À l'intérieur gît une pierre lisse. Une avec plusieurs visages ornant ses faces.
143	Elle pulse faiblement d'énergie ésotérique.
144	Un objet magique.
145	ÉSOTÉRIQUE.
146	(Examiner la pierre.)
147	Tu la ramasses avec soin.
148	<i>Picotements</i>.
149	Un Galet de Message.
150	Oh merde. C'est cher, ces trucs !
151	Un outil utile. Très utile.
152	(Empocher la pierre.)
153	Tu glisses le Galet dans ta bourse.
154	Il est temps de partir.
155	Cet endroit t'a donné tout ce qu'il pouvait.
156	« Je ne trouve rien d'autre ici. »
157	« Allons-y. »
158	« Meek va aider à trouver sortie ! Viens, viens ! »
159	(Sortir de la chambre de stockage.)
160	Tu refais ton chemin à travers l'obscurité.
161	E-Quelle charmante exploration.
