idx	french
0	« Ugh. »
1	« Je déteste cet endroit. »
2	Un tas littéral de crânes.
3	Des milliers. Chacun une vie prise par la guerre, la souffrance, ou le temps lui-même.
4	Le cycle éternel.
5	Tu les rejoindras bientôt.
6	C'est de la démence. Tant de corps...
7	Tu en sais long là-dessus.
8	C'était la première des <i>cryptes de confinement</i>.
9	La première ? Oh. C'est...
10	La Première Crypte d'Urth.
11	Bâtie pour lui-même, par lui-même.
12	Ces os appartiennent à des <i>Victimes-de-Malédiction</i>. Ceux fauchés par les horreurs des Terres Maudites.
13	Destinés à se relever en hordes de morts-vivants, Urth envoya de nombreuses expéditions vers l'est. Chacune une tentative de récupérer les esprits, les os mêmes, de ceux qui avaient été laissés derrière.
14	Des navires entiers furent chargés des très, très nombreux corps. Ramenés à terre à Norvik. Puis déposés dans ces cryptes.
15	Des tombes anonymes, oui. Mais consacrées tout de même. Une tentative de rédemption totale.
16	Ils auraient dû les laisser à l'est. Les Terres Maudites sont un problème reedsien.
17	Urth a fait son devoir - faisant de son mieux pour purifier le monde et libérer les esprits de son peuple tombé.
18	Les Terres Maudites, oui. Le peuple d'Urth laissé derrière, non.
19	En effet.
20	Ça l'était.
21	Et comme tu peux le voir, ce fut un succès.
22	Ces os ne bougent pas. Ils ne sont pas retenus dans le vitriol dément de l'énergie négative, nécromantique.
23	Ils sont au repos. Même dans cet état horrible.
24	Tu t'approches de nouveau du tas de crânes.
25	(Les observer attentivement.)
26	Alors ce sont tous des gens morts dans les Terres Maudites ?
27	(Incliner la tête devant les morts.)
28	Non, ils ne bougeront pas.
29	La protection divine d'Urth s'étend encore sur ces tombes ici présentes.
30	Nous l'en remercions tous.
31	Ils ne bougent pas.
32	Oui.
33	La plus grande tragédie de ton peuple.
34	Et voilà comment ils ont fini- simplement à cause de la question du nombre.
35	Il y avait trop de corps pour accorder à chacun des rites funéraires convenables. Même après avoir brûlé la chair.
36	Puisque les inhumations en Océan ou en Rivière sont encore plus problématiques à cause du problème-horreur, c'était la meilleure option.
37	Non.
38	Par défaut, tous les crânes ici sont sans mâchoire.
39	Cela aide à les empêcher de sombrer dans la non-mort. Les esprits préfèrent les cadavres aux bouches fonctionnelles.
40	Cette particularité est - si tu en crois certains savants - née de la Communication avec les Morts elle-même.
41	Puisqu'une telle réanimation nécromantique de l'esprit durant ce sort est l'une des plus courantes, cela mènerait naturellement les esprits à considérer généralement les cadavres sans bouche comme moins habitables.
