idx	french
0	L'ange se dresse, imposante. Elle bloque le couloir qui mène plus avant dans le manoir du Coinlord.
1	Elle a l'air d'une géante ici, malgré le haut plafond.
2	Ses nombreux yeux te fusillent.
3	E-(Déglutir.) « D'accord. »
4	Elle hoche la tête.
5	« Il va vous recevoir à présent, Clerc. »
6	Ces mots te laissent tremblant.
7	Ces mots te font frissonner.
8	Le gobelin te lance un regard sévère.
9	Tes muscles hurlent pour que tu te tiennes prêt au combat.
10	Ouais. C'est dangereux. Super dangereux.
11	Une bataille d'esprit. Ça va <i>super</i> bien se passer.
12	« Terminez-en avec vos affaires ici. »
13	« Le Magistrat n'aura pas de nouveau le temps, Clerc. »
14	Les yeux tournoyants s'immobilisent un instant.
15	Oh oh.
16	COURS.
17	« J'en suis conscient. »
18	« Ça vous convient ? »
19	« J'ai la tour rien que pour moi ? »
20	« Je ne prends pas votre lit, si ? »
21	« Je vais me rendre à la Tour de Garde, alors. »
22	Elle reste silencieuse un instant.
23	« Le Magistrat l'a ordonné. »
24	Elle n'en est pas ravie.
25	« Non. »
26	Elle ne veut pas dire que vous êtes colocataires, exactement.
27	« Ça a l'air douillet. »
28	« C'est temporaire. »
29	« Quelle horreur. »
30	L'ange semble soupirer.
31	Un mimétisme.
32	Tu réalises qu'elle ne respire pas. Quelle biologie intéressante.
33	Une créature véritablement ésotérique.
34	« Je ne dors pas, Clerc. »
35	Ne dis pas bizarre.
36	« Bizarre. »
37	« Ah. Alors c'est pour ça... » (Faire un geste vers son visage.)
38	« Compris. »
39	Ou fais-le. Peu importe.
40	Elle incline lentement la tête, mais ne répond pas.
41	« Il y a un couchage à l'étage. »
42	« Ne touchez à rien. »
43	Traduction : touche à <i>tout</i>.
44	Écoute-la. OBÉIS.
45	Ses mots sont justes. Pourtant elle n'a pas le droit de te donner des ordres.
