idx	french
0	Sur le mur tu vois un classique Calendrier de Cuivre.
1	La plupart des foyers de Norvik en ont un. Ta mère en avait un qui s'illuminait aux anniversaires.
2	Chaque foyer de la cité possède l'un de ceux-ci.
3	Il tourne tout doucement. La roue extérieure avance d'un cran chaque jour.
4	La roue du milieu avance chaque mois. Et l'intérieure avance chaque année.
5	Celui-ci semble spécial. Il suit à la fois les saisons d'Askan, de Reeds et de Vourgeni, ainsi que toutes les grandes fêtes des gens d'Urth.
6	Quel jour est-on ?
7	C'est quand, l'élection ?
8	Quel est le mois courant ?
9	Quelle année indique-t-il ?
10	(Regarder de plus près les saisons marquées autour de la roue.)
11	(Examiner les jours fériés.)
12	(Regarder l'inscription qui dit FONDATION DE NORVIK.)
13	E-D'accord, ce sera tout pour l'instant, calendrier.
14	La roue extérieure t'indique que l'on est le 22 mars.
15	La roue extérieure t'indique que l'on est le 23 mars.
16	La roue extérieure t'indique que l'on est le 24 mars.
17	La roue extérieure t'indique que l'on est le 25 mars.
18	La roue extérieure t'indique que l'on est le 26 mars.
19	La roue extérieure t'indique que l'on est le 27 mars.
20	La roue extérieure t'indique que l'on est le 28 mars ou un truc comme ça. Tu as raté l'élection. Beau boulot, connard.
21	Dans cinq jours.
22	Dans quatre jours.
23	Dans trois jours.
24	Dans deux jours.
25	Dans un jour.
26	Aujourd'hui.
27	Dans le passé.
28	La roue du milieu du calendrier affiche « mars » comme mois courant.
29	C'est le troisième mois !
30	Bien. Je vérifie, c'est tout.
31	En effet. Bien joué !
32	Bien de ta part de tenir le compte.
33	Ça veut dire que c'est encore l'hiver à Askan. Pourtant le temps est incroyablement clément.
34	Il en a été ainsi la majeure partie de ta vie, mais apparemment ça ne fonctionnait pas comme ça, avant.
35	Autrefois, à l'ère précédente, les saisons changeaient à leurs jours désignés, et pas un instant avant.
36	Ça pouvait apparemment causer un sacré coup du lapin.
37	La roue intérieure est bien immobile sur le morceau de cuivre indiquant « 27 APRÈS-GUERRE ».
38	Il a toujours été facile de savoir quel âge tu as, grâce à ça.
39	Qui décide quand une nouvelle ère commence ?
40	Vu que l'ère a exactement le même âge que moi, est-ce que ça veut dire que je suis <i>l'élu</i> ?
41	Qui décide des noms des ères ?
42	Bon à savoir.
43	Jor.
44	Les objets magiquement harmonisés et les sorts de mesure du temps tiennent le compte au regard des ères. Des ères qui basculent pour des raisons dépassant l'entendement de quiconque.
45	De quiconque hormis Jor, très probablement.
46	Alors un jour tous les sorts de mesure du temps basculent juste par magie pour afficher une nouvelle ère ?
47	Très classe. J'aime la magie.
48	Oui.
49	Cool.
50	En effet.
51	C'est intrigant, oui.
52	Non.
53	C'est entièrement une coïncidence sans intérêt.
54	Oui. Évidemment.
55	<b>Bien sûr</b>.
56	Tu n'es pas ce genre d'homme...
57	Peut-être dans ton cœur.
58	Les ères n'ont pas de noms objectifs.
59	Elles sont choisies différemment par chaque culture. À Norvik, le type d'ère courant est de simplement suivre la structure commune reedsienne.
60	À savoir : l'Ère des Portes, ~3 000 ans. L'Ère du Déclin, 1 100 ans. L'Ère Divine, 379 ans. L'Ère Arcanique, 511 ans. L'Ère d'Après-Guerre, 27 ans, en cours.
61	L'Ère des Portes fut la toute première ère, pas vrai ?
62	L'Ère du Déclin fut cette époque où toutes les créatures anciennes moururent, pas vrai ?
63	L'Ère Divine en est une courte. C'est l'ère féodale, pas vrai ?
64	L'Ère Arcanique fut un peu plus longue. C'est quand les Arcanistes s'élevèrent et chutèrent, pas vrai ?
65	M-Et l'Ère d'Après-Guerre vient tout juste de commencer.
66	Oui. De la création de la Côte par Jor, à la fermeture des portes à la fin de la Guerre des Portes.
67	Plus ou moins.
68	Ce fut l'ère où les puissantes créatures piégées après la fermeture des portes luttèrent pour la domination, tout en perdant le contact avec leurs dieux extérieurs.
69	Ce fut une ère de géants, de génies, de dragons, et de grandes aberrations.
