idx	french
0	Tu vois un tas de boîtes éparpillées et de poteaux de fer.
1	L'élection se profile. Tu dois défendre la cité.
2	Qui a balancé ça en tas ?
3	Si les Errants étaient aux commandes, ce serait déjà organisé.
4	Ce tas est une merveilleuse métaphore de la démocratie.
5	Combien de temps me reste-t-il ? Jusqu'à l'élection ?
6	Cool.
7	Cinq jours.
8	On est le 22 mars. L'élection aura lieu le 27.
9	Ce qui fait cent vingt heures pour être précis.
10	Tu vois un tas de boîtes alignées, et quelques poteaux de fer disposés en sections bien nettes.
11	Quelqu'un est en train de tout monter. Étape par étape.
12	Il est censé y avoir des files d'attente ici, le jour de l'élection.
13	Il y a quelques milliers de personnes vivant sur Tolstad.
14	Si ce lieu veut accepter les cartes d'électeur de chaque citoyen, une organisation rigoureuse sera nécessaire.
15	C'est quoi, quatre jours avant l'élection maintenant ?
16	Exact.
17	On est le 23 mars. L'élection aura lieu le 27.
18	Dans quatre-vingt-douze heures, les gens se rassembleront ici pour voter.
19	Les urnes sont maintenant prêtes pour l'élection.
20	Je peux voter en avance ?
21	Pas question.
22	Ils veilleront évidemment à ce qu'elles soient vides avant de lancer le processus.
23	Ils ne le feront pas.
24	Mais quand même. Évitons.
25	Bah. Plus amusant de voter avec tout le monde.
26	Les urnes te regardent, urnement.
