idx	french
0	Quelque chose de souple se noue autour de ta cheville.
1	En faisant un pas en avant, tu touches un mince cordon.
2	Quelque chose de souple se noue autour de ta cheville. Un dispositif est désormais en marche.
3	C'est quoi ça, un serpent ou un truc du genre ?
4	Il n'y a pas de temps, c'est un-
5	<b>PIÈGE !</b>
6	<b>C'est un PIÈGE !</b>
7	Hein ?
8	Éviter le piège.
9	Il se resserre autour de ta botte. D'une secousse violente, tu es plaqué au sol, l'arrière de ta tête heurtant les marches.
10	Avant même que tu puisses réagir, tout ton corps a été traîné par-dessus le rebord.
11	« Clerc ! »
12	Non, non, non !
13	(Se débattre et hurler.)
14	Tu tombes. Mais pas loin.
15	Dans un craquement douloureux, ta chute est stoppée, et...
16	Maintenant tu te retrouves simplement suspendu.
17	Combien de temps puis-je rester suspendu comme ça ?
18	(Lever les yeux vers la corde.)
19	(Appeler à l'aide.)
20	Te hisser.
21	Sans blague.
22	Le gobelin se penche par-dessus le rebord en fronçant les sourcils.
23	« Le mécanisme est en dessous, je ne peux pas l'atteindre. »
24	« Je peux essayer de t'attraper une fois que tu arrives ici, mais tu dois faire le plus gros du travail toi-même. »
25	« Tu peux pas aller chercher une corde ou un truc ? »
26	« Ça a l'air charmant. Merci. »
27	« Pas le temps. Prends juste une grande inspiration. Tu peux y arriver. »
28	« Parle pas, concentre-toi juste sur l'escalade ! »
29	Pas longtemps.
30	Ton crâne s'engorge.
31	D'ici quelques minutes, tu perdras le contrôle de ton esprit.
32	Les humains peuvent rester tête en bas jusqu'à environ dix minutes. Cependant, des problèmes majeurs peuvent survenir après seulement la moitié de ce temps.
33	Suggestion : ne reste pas tête en bas.
34	C'est bien serré autour de ta botte. Ça devrait te maintenir suspendu longtemps.
35	Tu vois comment c'est relié à une série de pitons enfoncés en dessous et sur le côté de la passerelle de pierre.
36	À côté de toi, un rocher suspendu. Il fait office de contrepoids.
37	Un dispositif terrifiant d'efficacité et pourtant étonnamment simple. Celui qui a installé ça est un expert.
38	En y passant un peu de temps, tu comprends définitivement comment ce truc a été monté. Bon, est-ce que ça aidera à remonter ? Peut-être ?
39	Tu n'avais aucune chance de le repérer avant qu'il ne se déclenche non plus. Le déclencheur devait être un cordon fin comme un cheveu ou un truc du genre.
40	Ça t'a laissé moins d'une seconde pour réagir.
41	Ouais-ouais. Alors c'est quoi le plan ici, tu pars sur un « quelqu'un à l'aide », ou juste un hurlement guttural induit par la peur ?
42	<b>« Quelqu'un, à l'aide ! »</b>
43	(Hurler pour ta vie.)
44	Ta voix résonne de haut en bas de la spirale de pierre. Après quelques secondes elle s'éteint.
45	Personne ne t'entendra, désolé de le dire.
46	« Si tu la fermes pas, je coupe cette putain de corde ! »
47	« Maintenant grimpe ! »
48	Dans la Cité d'En Bas, tu attireras de pires fins qu'un sombre abîme si tu continues de hurler comme ça.
49	Une profonde inspiration.
50	Tu te hisses en avant, agrippant la corde attachée à ta cheville.
51	Tes muscles se tendent.
52	La douleur. Ton poids est trop lourd.
53	Tu es resté suspendu ici trop longtemps.
54	(Gémir de douleur.)
55	Tu dois réessayer. Ta quête ne peut pas s'arrêter ici.
56	« Encore une fois, Clerc. »
57	« Je ne vais <b>pas</b> dire à la Vieille Dame que tu es mort sous ma garde ! »
58	Trop... dur.
59	Le sang... dans... la tête.
60	« Allez ! »
61	Tout est... engourdi.
62	Ça pourrait aider.
63	« Tu te rapproches ! »
64	Tu es plus près.
65	Si près...
66	« Bon, celle-là c'était de ma faute- allez, je t'attrape, juste UNE DERNIÈRE FOIS ! »
67	Une dernière profonde inspiration.
68	Tu sens l'engourdissement se répandre tandis que tu te hisses vers le haut. Une main gantée agrippant la corde - puis une autre.
69	Par pure force, tu tires tout le poids de ton corps vers le haut, grimpant de plus en plus haut jusqu'à ce que...
70	Une griffe verte attrape ta main.
71	Ton compagnon gobelin grogne en t'aidant à remonter.
72	Tu roules par-dessus le rebord.
73	(Enlever la corde !)
74	Tes doigts s'agitent autour de ta cheville, désespérés d'ôter la corde nouée.
75	Tu l'arraches et la jettes sur le côté.
76	Libre. En sécurité.
77	Vivant.
78	C'était... affreux.
79	Quel genre de saloperie maléfique fabrique un piège pareil ?
80	(Rire comme un dément.)
81	Traverser un frôlement de mort marquera ton âme.
82	Un chasseur habile, très probablement. Ce n'est pas un dispositif mécanique- juste une série de pitons et une corde solide.
83	Quelqu'un qui te veut mort. Un chasseur, peut-être ?
84	Ton rire résonne dans le gouffre vide en dessous.
85	Tu as perdu la tête, ou quoi ?
86	Une décharge de dopamine a été libérée une fois que tu es passé par-dessus le rebord.
87	C'est une réaction naturelle au fait d'avoir survécu à une mort quasi certaine.
88	Tu prends une profonde inspiration.
89	Le gobelin recule en trébuchant. « Putain d'enfer. »
90	Tu réalises que tu retenais ton souffle.
91	Tes lèvres virent probablement au bleu.
92	Respire ! J'ai besoin de RESPIRER, bon sang !
93	L'air emplit tes poumons.
94	Tu es vivant.
95	(Examiner la corde.)
96	Allons-y.
97	Il hoche la tête. « C'était un vilain piège. Je crois pas que je l'aurais remarqué non plus. »
98	Ton compagnon a l'air troublé.
99	« Mais quand même. Ne laisse pas ça se reproduire. »
100	Une corde extrêmement robuste. Épaisse. Douce au toucher.
101	Tu ne connais pas le nom de ce matériau. Ce doit être exotique.
102	Du Chanvre Basquill. Le genre qui pousse à la frontière entre Hae'Xi et Kargamesh.
103	Celui qui a placé ce piège est un individu extrêmement bien financé ou hautement débrouillard.
104	Aux nœuds, tu vois une série de lettres gravées au fer. Quelqu'un a laissé un message sur les extrémités mêmes de la corde :
105	« <i>CONTEMPLE, BOULBA'SLOP.</i> »
106	Un prédateur à crocs, rôdant dans les eaux en contrebas.
107	La Rage t'observe.
108	Flippant.
109	« Je sais pas ce que ça veut dire. Mais j'aime pas son allure. »
110	« Vraiment, vraiment pas. »
111	Tu rejettes ton corps en arrière, te faufilant hors de la corde avant qu'elle ne se resserre.
112	À l'instant où tu le fais, tu vois la corde claquer et s'enrouler autour du rebord de l'escalier - disparaissant dans les ténèbres en contrebas.
113	« Trop juste », dit Snell. « Je l'ai pas vue non plus. Vilain piège. »
114	Oh que oui. Mais c'est bon, tu t'en es sorti !
115	Quelque chose te dit que ceux-ci ne sont pas de conception gobeline.
116	Garde l'œil ouvert pour d'autres de ce genre.
117	(Continuer.)
