idx	french
0	D'étranges marques couvrent les parois de la caverne.
1	Peintes en pigments délavés.
2	Des figures humanoïdes. Simples. Primitives.
3	Rouge et blanc sur la pierre sombre.
4	De multiples figures dépeintes sur plusieurs surfaces.
5	(Examiner les peintures.)
6	(Toucher la peinture.)
7	Tu t'approches pour les inspecter.
8	Le style est... troublant.
9	Des bonshommes-bâtons grossiers aux têtes circulaires.
10	Les bras écartés grand.
11	Une sorte de rituel ou de danse.
12	Tu tends la main avec précaution.
13	Le pigment est sec. Ancien.
14	Mais encore vibrant, on ne sait comment.
15	Préservé par les conditions de la caverne.
16	Le gobelin hausse les épaules.
17	« De l'art rupestre. J'en ai déjà vu. »
18	« Celui-ci a l'air plus vieux que la plupart, cela dit. »
19	Il a raison.
20	Les peintures rupestres primitives te fixent en retour.
21	D'anciennes figures humanoïdes figées dans leur danse éternelle.
22	(Compter les figures.)
23	Analyser l'âge et l'origine des peintures.
24	« Celles-là ont l'air humaines. »
25	Fascinant. Mais je devrais passer à autre chose.
26	Tu balaies les parois du regard.
27	<i>Trois</i> figures distinctes. Chacune d'un dessin unique.
28	Elles sont anciennes.
29	Plus anciennes que les ruines Whitemane.
30	Probablement de l'Ère du Déclin.
31	Quand le peuple-escargot régnait sur ces terres.
32	Avant Norvik. Avant l'humanité.
33	Mais ce n'est qu'une supposition.
34	Dater des peintures rupestres est difficile sans étude approfondie.
35	Indestructibles. Oui, peut-être.
36	(Repasser ta main sur la peinture.)
37	Il semble y avoir une couche de protection autour de chaque partie des peintures. De la majeure partie de la roche elle-même, aussi.
38	Un sort au-delà de la Limite de Jor les protège.
39	Elles ont survécu. Parfaitement.
40	Aucun délavage. Aucune dégradation.
41	Malgré ce qui devrait être des millénaires d'exposition.
42	C'est... très ésotérique.
43	Tout à fait.
44	Elles le sont.
45	Humanoïdes du moins.
46	Deux bras. Deux jambes. Tête ronde.
47	Mais le style est trop simple pour déterminer l'espèce.
48	Ça pourrait être humain. Ça pourrait être autre chose.
49	« Des gobelins ? »
50	Il rit.
51	« On n'était même pas sur ce continent quand celles-ci ont été faites. »
52	« Ma supposition serait... pré-Déclin peut-être ? »
53	Pré-Déclin ?
54	Avant l'Ère du Déclin ?
55	Ça les rendrait incroyablement anciennes.
56	Tu étudies attentivement les figures.
57	Les pigments. Le style. La préservation.
58	Ce n'est ni d'origine Whitemane ni peuple-escargot.
59	Ces peintures sont antérieures à tous ceux-là.
60	« Avant le peuple-escargot ? »
61	Oui.
62	Avant l'Ère du Déclin. Au plus tôt, celles-ci devraient être datées du début des Guerres des Portes.
63	Bien avant l'histoire <i>humaine</i> consignée.
64	Elles ont l'air plutôt extraterrestres. Que sont censées être ces créatures, d'ailleurs ?
65	Ce pourraient être des représentations d'une Bête de Jor oubliée.
66	Un type-de-peuple ou un être supérieur lié à Jor.
67	Cela dit, la réponse moins excitante serait : ce sont de rares aberrations, dépeintes par quelque peuple qui habitait Askan avant les Toulin'catl.
68	Je choisis de croire que ce sont des œuvres extraterrestres super intéressantes qui se trouvent juste être laissées ici sous la cité.
69	Je devrais... documenter ceci.
70	<i>Leur</i> intérêt est un autre indice de leur origine.
71	Tout ce que la Horde d'Or doit juger assez important pour envoyer un Ambassadeur spéléologuer doit avoir une valeur intrinsèque.
72	À moins que les célestes ne se trouvent être des idiots. Ce qui n'est pas une possibilité à écarter.
73	Tu l'es déjà.
74	(Baisser les yeux vers tes mains.)
75	Un crayon en main, tu vois un gribouillis dépeignant ces trois figures, ainsi que tout l'étrange lettrage.
76	« Je ne te savais pas connaisseur d'art, Clerc », dit ton compagnon en examinant tes croquis.
77	« Laquelle des trois préfères-tu ? »
78	« Celle de gauche. »
79	« Celle du milieu. »
80	« Celle de droite. »
81	« Hm. Pourquoi ? »
82	« Six pattes. Comme une araignée. C'est cool. »
83	« Ça a l'air stable. »
84	« Je crois que je pourrais avoir une belle conversation avec celle-là. »
85	« Six bras. J'aimerais avoir six bras. »
86	« Le dessin de la tête a l'air chouette. Comme une concentration unique dans l'esprit d'un dieu extraterrestre. »
87	« Ça a l'air <i>épicé</i>. »
88	« Parce que regarde-la- ce sont des cornes ? Des yeux pédonculés ? Deux érections géantes ? On ne sait tout simplement pas. Le mystère fait l'homme. »
89	« Un fils de pute aux jambes bien écartées. Rien ne pourrait renverser cette posture. »
90	« On dirait qu'il aurait besoin d'un câlin. »
91	Le gobelin rit de ta justification.
92	« Je vois ça. Je vais choisir la même. »
93	C'est ça. (Ranger tes croquis et partir.)
