idx	french
0	Quel que soit le contenu qui emplissait jadis cette chambre, il a été repoussé contre les murs fissurés.
1	La maçonnerie naine est endommagée en divers endroits et tout, absolument tout dans la chambre est brûlé.
2	Une puissance incroyable.
3	Il y a eu un incident ici !
4	C'est le centre. Mais d'où exactement l'explosion est-elle partie ?
5	Les carreaux de pierre, les marques de brûlure, et l'esthétique générale font ressembler ça à un antre de dragon.
6	Prends garde, prends garde...
7	La mort.
8	Tu veux bien arrêter de dire ça ?
9	(Vérifier les débris.)
10	(Vérifier les poutres de fer le long des murs.)
11	(Vérifier le plafond.)
12	D'abord, localiser le point d'origine.
13	Ceci pourrait-il être causé par un sort ?
14	E-Je devrais laisser les décombres tranquilles.
15	Une simple fouille rapide ne révèle rien d'autre que de la roche calcinée et des ferrailles.
16	Des restes de mobilier. Des étagères, peut-être. Des chaises.
17	Repoussés dans les coins de la pièce. Une force de chaleur violente et soudaine a tout comprimé.
18	Ce fut un instant. Puis tout devint néant.
19	Jadis elles se dressaient droites, maintenant l'antique tunnel debout.
20	De guingois et fragiles. Pourtant elles tiennent encore.
21	Ouais... c'est un miracle que cet endroit ne se soit pas entièrement effondré - tu devrais... probablement partir.
22	Détends-toi. Tout va bien.
23	Ton cœur bat plus vite.
24	Tu lèves les yeux, trouvant le plafond plutôt haut de la chambre calciné, mais intact.
25	Cet endroit tiendra. Pour l'instant.
26	Tu regardes autour de toi et trouves les dégâts déroutants.
27	Bien que centrés dans la chambre, les dégâts semblent inégaux, comme si la force de l'explosion luttait contre elle-même.
28	Sur cette pensée, tu reçois une vision.
29	Rejouant l'événement dans ton esprit - une explosion.
30	Dans la chambre.
31	Une conflagration se propageant.
32	Ça ne colle simplement pas.
33	Cependant, tu expérimentes dans ta tête avec l'idée... d'explosions multiples.
34	Soudain, ça fait tilt.
35	Le sol... il porte plusieurs marques.
36	Tu commences à compter. Une, deux, trois...
37	Ce n'est pas assez. En regardant autour de la chambre tu vois plusieurs points d'où le feu s'est clairement propagé.
38	L'explosion est... Non.
39	« Des explosions. »
40	Des explosions. <i>Multiples</i>.
41	Ton compagnon lève la tête des ferrailles qu'il examinait.
