idx	french
0	De tes doigts agiles tu empoignes la lourde hache.
1	Avec l'angle parfait, et le timing parfait, tu n'as même pas besoin de l'arracher à sa poigne ni rien.
2	Il ne te remarque même pas la prendre. Un exploit miraculeux !
3	(Commencer à te sentir pris de vertige.)
4	Quoi ?
5	Tu regardes une lueur violette se répandre du manche de la hache jusque dans tes mains.
6	ÇA BRÛLE.
7	Une voix crépitante emplit ton crâne.
8	Elle te parle. D'horribles choses. Dans une langue que tu ne comprends pas.
9	Mais tu sais qu'elle se moque de toi.
10	(Lâcher la hache.)
11	(Crier.)
12	Ton poing est crispé. Il n'y a aucun moyen...
13	Aucun moyen de t'échapper.
14	LE CORPS FLANCHE.
15	Mais la VIE demeure.
16	Hors des ténèbres d'encre tu vois...
17	Une main de fer.
18	Elle... t'arrache la hache.
19	« Le <b>Gardien</b> ne vous sert pas, Soldat. »
20	« Il ne le fera jamais. »
21	Sa voix... il n'est pas en colère ?
22	Non. Il souhaite simplement qu'aucun autre innocent ne tombe sous son ombre.
23	Quelque part, tout au fond.
24	Tu dois avoir cette hache. Elle est simplement trop puissante pour ne pas... mettre la main dessus.
25	Elle est clairement maudite.
26	Les malédictions peuvent être consacrées. Probablement.
27	Si tu trouves <b>qui</b> cet homme sert, peut-être pourras-tu mettre la main dessus par ce biais.
28	E-(Gémir bruyamment et marmonner des sons incohérents.)
