idx	prefix	english
0		"Mr. Cityman!" 
1		You see a throng of dwarves shuffling around inside the tiny apartment. 
2		The smell of confined sweat reminds you of that summer you spent as a farmhand on the plantation. 
3		Good times. 
4		Terrible memories. 
5		"Welcome to the Azgalian Sanctuary on Tolstad. For short, <i>AST</i>!" 
6		Hells bells... It's like they're stacked on top of one another. 
7		An apartment full of nothing but dwarven willpower. 
8		How can they even breathe in here? 
9		"This just looks like an apartment." 
10		"What a wonderful sanctuary you've built here." 
11		"...Sure. I've got some questions I need to ask you." 
12		He draws in air through his teeth and looks around. "We might not be well-funded like you city-folk." 
13		"But we use what little we have to full efficiency!" 
14		"It's central. And it's small." 
15		He draws in air through his teeth and looks around. "But we use what we've got to full efficiency!" 
16		"Questions can be answered." 
17		"Now, we're very busy here, but I'll grant you some of our time." 
18		"But now the question is, what can <i>you</i> do for the Azgalian Workers' Party?" 
19		"Oh. Right. I didn't think of that." 
20		"Do you have anything particular in mind?" 
21		"Yes. Give me a quest. Right now." 
22		"Well, then. Let's see..." 
23		The dwarf sucks in a deep breath through his teeth. 
24		Then he glances to his men, before nodding slowly. 
25		"We don't really need anything right now." 
26		"What? No..." (Despair.) 
27		"Nothing at all?" 
28		"Good. Then I have some questions." 
29		"I've got five men out on Waterlane Docks. I'm preparing speeches and overseeing poster distribution. All in preparation for the Great March, day before election day." 
30		He looks like he's thinking of several other things he needs to be doing right now. 
31		He's trying to make you think he's busy. He might also <i>be</i> busy. But still. 
32		"So no real need for a spell-slinging cleric here, I'm afraid." 
33		"Fair enough." 
34		"It is what it is. Elections are won through organization and press." 
35		"Not magic. Those days are long gone." 
36		A fool speaks of things he does not understand. 
37		IT EBBS. THEN FLOWS. 
38		If you wish to help them, do not offer a cleric. Instead... offer assistance in their printing. 
39		Speak with Modissa. 
40		"Mr. Cityman. Back again." 
41		"Whose apartment is this?" 
42		"I want to know more about you, Alfoz." 
43		"What if I'm here to shut down this entire operation?" 
44		E-"That's all for now. Thank you, citizen." 
45		"Simii was kind enough to lend us the use of his home until the election. We thank you, Simii!" 
46		You hear a voice in the back. "No problem, Foreman!" 
47		"You do, do you?" 
48		His face stiffens. 
49		He is shocked. 
50		He realizes something. 
51		"An... elf, you say." 
52		"Dead one." 
53		(Stare at him.) 
54		"Mm-hmm," he mouths in your direction while glancing around the room. 
55		He does not meet your gaze. 
56		The dwarf is faltering. 
57		He knows something. You can read him like an open... 
58		Not right now. We're in the middle of something. 
59		"Tell me what you know, Alfoz." 
60		(Stay silent until he breaks.) 
61		"The elf... was she..." 
62		"In the fire. Yeah." 
63		"But why didn't they..." 
64		"They didn't look properly. You know how it is." 
65		"Mm." 
66		"That is unfortunate." 
67		You see Modissa glance over to you, listening in on the convo with a deep frown. 
68		"Pinja'Athena was a friend of the movement. I suspected she would be involved in this, somehow." 
69		"But..." 
70		The dwarf closes his eyes. 
71		Years of toil take a toll. 
72		Suddenly, he looks very much his age. 
73		"I hoped she had simply left the city." 
74		"Who was she?" 
75		"Who did she work for?" 
76		M-"So what, she was secretly an Azgalist?" 
77		"Illym elf. Strange mixup, I agree." 
78		"But she was kind." He looks away as he says it. 
79		"Herself, from what I understand. <i>Understood</i>." 
80		"Officially she was connected with the Illym Embassy, or whatever they call it." 
81		"<i>The Outreach</i>." 
82		"That's the one." 
83		"I wouldn't go so far." 
84		"But she... <i>helped</i>." 
85		"Whatever she was, she shared information that was always helpful." 
86		"Information?" 
87		"So it was a transactional relationship?" 
88		"Yeah. She most likely played you." 
89		He smirks, a shit-eating grin. "No, Mr. Cityman." 
90		"Or if it was, it was a very unbalanced one, since we never did anything for her." 
91		"Played? Ah, you mean a game of intrigue." 
92		"Perhaps, Mr. Cityman! But if she did, she was quite awful at it, since we never did anything for her." 
93		"She would tell me things, whenever I saw her. Intercepted messages sometimes. Leverage to use in labor disputes." 
94		"Business in the Palace. Polling numbers, before they're published. Opposition that had yet to strike." 
95		"I'm sure we would have gotten ahead on that PPG issue, had she still been around." 
96		His eyes grow dark. 
97		"Thinking about it, she helped immensely over these last few years. Countless times. So I don't care what she identified as." 
98		"In my eyes, she was an Azgal, through and through." 
99		"So she was a really bad information broker?" 
100		"Was she connected with the Freestriders?" 
101		"What about the city, did she know people in the Palace?" 
102		"Did she have any enemies?" 
103		"So she sounds like she was just the best kind of person, huh?" 
104		"What about the Illym? What did she think about them?" 
105		M-"I think that's all I need to know." 
106		He chuckles heartily. 
107		With a hint of immense sadness. 
108		"Good name for it." 
109		"I'm sure she was. Somehow. Otherwise she wouldn't know half the stuff she sent over." 
110		He nods. 
111		"I don't have details. But yes, I'm sure." 
112		"Lots, I imagine!" 
113		"I warned her many times that granting us so much information could land her in danger." 
114		"She did not care." 
115		"She was alright," he mutters as his expression falls. 
116		"You know, I asked her once." 
117		"Now, she didn't exactly give me a straight answer. But something in my gut told me..." 
118		"She was trapped. That's what she looked like. Like a trapped animal." 
119		"I suppose that's why I hoped she had just upped and left when we didn't hear from her." 
120		"She deserved... to be free. The gal." 
121		"To be struck down in a damn tea shop..." 
122		"It's foul, really." 
123		"I don't see why she would." 
124		"Of course, I admit, I don't know what kind of sorcery elves are capable of- but I can't imagine a dainty elf would create a fireball of that magnitude." 
125		"At least I hope not. Otherwise the Illym will come for us all very soon." 
126		"A... what?" 
127		A dwarf would not know much about this, you imagine. 
128		"You mean the... magic item?" 
129		He knows nothing. That reaction is genuine. 
130		This dwarf really can't lie, huh? 
131		"Yes. Did Pinja ever mention it?" 
132		"That's the one. Ring any bells?" 
133		He shakes his head, slowly. "Don't think so?" 
134		"Those are dangerous, aren't they? It's the one that started the... Coast War." 
135		He stares at you for a moment. 
136		His granite block of a brain is working it out. Slowly. 
137		Just give him a second. 
138		"...Hold on. Did the tea shop blow up because of one of those damn things?" 
139		"Possibly. I'm looking into it." 
140		"No." (Whistle.) 
141		"Doesn't matter. But thank you for answering the questions." 
142		"Well, do! I don't want that kind of filth in Norvik." 
143		"Hm. Alright." 
144		"...Sure. Any time." 
145		"If there are those kinds of weapons lying about here, I'd want it taken care of." 
146		"We don't want another Coast War started over another damn evil fool with a bomb!" 
147		"Fair enough, Mr. Cityman. Fair enough." 
148		"Hm. Yes, I do believe it was for the best." 
149		"Humans do have a very different perspective from dwarves. And that's important to remember." 
150		"But the party's current manifesto focuses on collaboration and Guild organization. Calling for some kind of uprising - even an economic one - would be very disruptive towards that goal." 
151		"But at the same time, without projected power and united strength of the workers - all the workers - can we truly win the hearts of the Norvikians?" 
152		"I'm not sure." 
153		"Perhaps the gal is right. Humans might respond better to quick waves, rather than inevitable motions of the ocean." 
154		"But I wonder of the broader political situation. The party's current manifesto focuses on collaboration and Guild organization. How will that work out if we call for an uprising- even an economic one?" 
155		The dwarf shrugs. 
156		"...We will see once the votes are cast." 
157		He sounds like a man who knows very little, but feels very much. 
158		His spirit is strong. His conflict eternal. 
159		This is a <b>man</b>. 
