idx	french
0	Tu tends la main vers la masse.
1	Elle est froide.
2	Plus froide que le fer ne le permet.
3	Le métal semble... <i>anormal</i>.
4	« Tu t'es dégoté une belle arme, hein ? »
5	(L'empoigner, fermement.)
6	Tandis que ta main gantée se referme autour du manche, un frisson te remonte le bras.
7	Pas juste du froid.
8	Autre chose.
9	Une présence.
10	Attends.
11	Il y a quelqu'un-
12	Attention !
13	(Se retourner.)
14	Rien.
15	Juste la crypte vide.
16	Mais...
17	Tu as vu quelque chose.
18	Du coin de l'œil.
19	Une silhouette.
20	Qui observe.
21	« Ça va ? »
22	Le gobelin a l'air inquiet.
23	(Se contenter de regarder la masse de nouveau.)
24	« Voir quoi ? »
25	Il jette un regard autour de la crypte.
26	« Il n'y a rien ici à part de la poussière et des os. »
27	« Quoi ? »
28	Le gobelin apprête sa fronde.
29	« Où ? »
30	« Clerc ? »
31	Tu baisses les yeux vers la masse.
32	Elle est ornementée. Bien ouvragée.
33	Pourtant...
34	Ton corps semble DÉFAILLIR quand tu la tiens.
35	Quelque chose cloche vraiment, vraiment, avec elle.
36	Quoi, elle est maudite ? Je viens de me faire maudire ?
37	Non, c'est-
38	Là. Encore.
39	Merde, attention !
40	La silhouette.
41	Dans la périphérie.
42	(Pivoter d'un coup.)
43	Partie.
44	Mais tu sais qu'elle était là.
45	Tu l'as <i>sentie</i>.
46	Cette masse est hantée.
47	Maudite, peut-être.
48	Ou simplement... occupée.
49	(Essayer de la ranger.)
50	Il fixe la masse.
51	« Tu es sûr ? »
52	« J'en suis sûr. »
53	« Super. Des armes hantées. »
54	« Juste ce qu'il nous fallait. »
55	« Enfin, ouais. »
56	Il désigne la crypte d'un geste.
57	« Théorie correcte. »
58	« Non, je veux dire... ils sont encore là. »
59	Le gobelin se tait.
60	« Oh. »
61	« C'est pire. »
62	Tu t'apprêtes à l'arrimer sur ton dos.
63	La présence... s'estompe.
64	Légèrement.
65	Elle est encore là.
66	Mais plus faible.
67	Tant que tu ne la manies pas.
68	Au diable ça.
69	Tu trouves cette belle arme- prête à affronter l'immondice de la cité.
70	Et tu ne peux tout simplement PAS la manier.
71	L'horreur - comme une sorte de blême décharné venu te hanter - est trop grande.
72	Garde-la scellée.
73	Garde-la près de toi.
74	L'ESPRIT observe.
75	(Déglutir.)
