idx	french
0	Tu te tiens devant un simple cadre de lit.
1	(Regarder le matelas.)
2	« Je peux faire une sieste, Snell ? »
3	E-« Merci, le lit. »
4	Le matelas est extra épais.
5	Probablement cher.
6	C'est un matériau de soie moitié-moitié.
7	Ils sont réputés permettre au dormeur de rêver jusque dans le plan éthéré.
8	Ce matériau se vend plus cher dans toutes les boutiques.
9	Cependant, l'allégation selon laquelle ils contiendraient de la Soie d'Ym est ridicule.
10	Toute quantité au-delà d'une infime fraction rendrait le lit à demi invisible.
11	Une arnaque, alors ? Une sacrée bonne arnaque.
12	« Quoi ? Non ! » hurle-t-il depuis l'autre bout de l'appartement.
13	« N'imagine même pas te glisser dans mon lit. »
14	« Tu peux te joindre aussi ! »
15	« C'est juste. Je suis plutôt sale. »
16	« C'est trop petit pour moi de toute façon. »
17	« Ça, c'est clairement pire. »
18	« Allez... faisons une sieste entre potes ! »
19	« Je dois m'améliorer en persuasion. »
20	« <i>Encore</i> pire. »
21	« J'espère vraiment que non, vu ta proposition moyenne. »
22	« Ouais. Et tu montes pas dans mon bain non plus. »
23	« J'y avais même pas pensé. Mais ouais. »
