idx	french
0	Un cadre. Pour un tableau.
1	L'image elle-même a manifestement été consumée par l'explosion.
2	Il est en fer. Il subsiste.
3	Je n'aime pas les tableaux.
4	Triste de le voir ruiné ainsi.
5	E-Je devrais le laisser tranquille.
6	« Hm. »
7	« Drummer me fait bien l'effet du genre de type à accrocher un portrait géant de lui-même. »
8	« Qu'en penses-tu ? »
9	« Un autoportrait, ça collerait. Ces gens-oiseaux ne se soucient que d'eux-mêmes. »
10	« Peut-être sa femme et ses enfants. »
11	« Je parie que c'était un tableau d'une porte. »
12	Il ricane. « Drummer est un imitateur. Il ne fait que copier les humains. »
13	« Les humains et leurs gros <u>egos</u>. »
14	« Je n'ai pas un gros <u>ego</u>. »
15	« On a bel et bien de gros <u>egos</u>. »
16	« Ah ouais ? »
17	« Je suis extrêmement humble. Les clercs se doivent de l'être. C'est dans les règles. »
18	« J'ai un <u>ego</u> moyen. Parfaitement dans la norme. »
19	« Définis "gros". » (Faire des guillemets en l'air.)
20	« Non, c'est faux. »
21	« Si, c'est vrai. »
22	« Là tu me tiens. »
23	« Ne discute pas avec moi, <i>acolyte</i>. »
24	« Bien sûr. Maintenant <i>concentre-toi</i>. »
25	Il te donne un coup de coude sur le côté.
26	« <i>Concentre-toi</i>. »
27	Il tend les mains, mesurant la taille d'une théière.
28	« Comme ça ? »
29	« Un peu plus gros. »
30	« Un peu plus petit. »
31	« Ouais. Juste comme ça. »
32	Il se racle la gorge.
33	Il ajuste ses mains.
34	« Non. »
35	Il glousse. « Génial. Tu l'admets. »
36	(Prendre un air triste.) « Je suis désolé pour mon gros <u>ego</u>. »
37	« C'est bon d'être <u>ego</u>ïste. Sain, même. »
38	« Nous les humains, on devrait juste disparaître. »
39	Le gobelin ne croise pas ton regard.
40	« Ne t'excuse pas. Juste... »
41	« Tu parles comme un Arcaniste. »
42	« Eh bien, je n'en suis pas un. »
43	« Je suis un Magicien, après tout. »
44	« Ouais, ouais. »
45	« La vache. Détends-toi. »
46	« Ouais, négatif sur celui-là. »
47	« Je le connais pas personnellement ni rien, mais cet oiseau vole en solo. »
48	« Ils n'ont pas besoin d'être réels. »
49	« Bon à savoir. »
50	« Quoi ? »
51	« Ça pourrait être une femme et des enfants imaginaires. »
52	Il médite tes paroles. Puis les écarte.
53	« Bien sûr. »
54	« Une porte. Genre, pour berner les gens. »
55	« ...Berner les gens ? »
56	« Une porte très réaliste. »
57	« Ils fonceraient dans le mur. Ils feraient "Hé, je peux pas attraper la poignée !" »
58	« Une porte. Bien sûr. »
59	Le gobelin te fusille du regard.
60	« Ce serait drôle. »
61	« Ou peut-être pas. »
62	« Bien sûr. Drôle. »
63	« Mm. »
64	« On devrait peut-être continuer de chercher de vrais indices. »
65	« Bonne idée. »
66	« Tu es en train de dire que ce tableau brûlé n'est pas un indice ? »
67	« Ça en est un. »
68	« Ça... je... »
69	« Merde. Bien sûr. C'est un indice. »
70	Il lâche un grand soupir.
71	« Pourquoi pas ? »
72	C'est une drôle de chose à penser. Les tableaux sont de belles occasions d'exhiber ton esthétique visuelle.
73	Ouais. C'est pas ton truc.
74	Oui. C'est une tragédie. Tout art est sacré.
75	Tu n'as aucun moyen de savoir s'il était seulement beau.
76	Ç'aurait pu être une horrible abomination de tableau.
77	Il y a de la beauté dans tout art.
78	Radotage.
79	Une pensée aussi anti-canonique est exactement pourquoi l'art a perdu son sens.
80	Oui. C'est une tragédie.
81	Ce cadre devait être magnifique, avant de brûler.
82	Le cadre ?
83	Oui. Quoi d'autre ?
84	Le <i>tableau</i>.
85	Il n'y a pas de tableau ici.
86	Il y en avait clairement <i>un</i>. Avant le feu.
87	Oh. Comme c'est intéressant.
88	C'était très probablement juste une LR. Qui paie pour du vrai art de nos jours ?
89	Des pigeons. Voilà qui.
90	Du fer. Fondu jusqu'aux enfers, mais encore plus ou moins intact.
91	Pas aussi affecté par le feu que certains tuyaux que tu as vus dans la chambre centrale du salon de thé.
92	Étrange. Tu sens une légère brise.
93	Très légère. Suspicieusement légère.
94	Elle recèle un secret.
95	Un secret ?
96	(Chercher la source de la brise.)
97	D'accord. Quelque chose d'autre ?
98	Le mur.
99	Ça te fait gémir.
100	Ésotériquement.
101	Regarde. Le. Mur.
102	E-Oh ?
103	Tes yeux se lèvent.
104	Le mur. Le mur n'est pas un mur.
105	Regarde le mur.
106	Le cadre ne recèle rien d'autre.
107	Aucun signe hormis celui laissé par les flammes.
