idx	french
0	Tu fais quelques pas depuis l'entrée du haut, pour te retrouver posté devant l'une des fenêtres.
1	Il fait sombre à l'intérieur.
2	Bien que Waterlane ne dorme jamais- les Errants sont clairement occupés en ces jours avant l'élection.
3	Le bâtiment du QG a l'air désert.
4	« C'est gonflé », dit Snell en scrutant à travers la fenêtre sombre.
5	« Mais je crois que ça pourrait marcher. Faut juste l'ouvrir. »
6	Tu te tiens de nouveau devant la fenêtre verrouillée.
7	(Essayer de cogner sur la vitre.)
8	Comment est-elle verrouillée ?
9	Trafiquer le mécanisme de la fenêtre.
10	(Se contenter de partir.)
11	Ton poing heurte un matériau extrêmement solide.
12	Vitre enchantée. Coûteuse, mais pas trop rare dans les manoirs et les forts modernes.
13	Verre magique. C'est impénétrable.
14	« Ouais, ça, ça cassera pas. »
15	« Au moins il n'y a pas de Verrou Magique. »
16	Bonne question. On dirait un simple mécanisme à l'intérieur.
17	Ça ne sera pas impossible à ouvrir. Juste un peu dur.
18	Ça pourrait être difficile à ouvrir.
19	Si tu pouvais glisser un crochet à l'intérieur, alors ce serait bien plus facile...
20	Cela dit, si tu utilises le Crochet Ésotérique...
21	Une manœuvre prudente par l'interstice sur le côté de la fenêtre - et...
22	(La forcer.)
23	Ça te prend dix secondes. Dix courtes secondes, et...
24	Tu as ouvert la fenêtre, bébé !
25	Hm.
26	Ça bouge un peu, mais pas assez.
27	Mais l'interstice est plus grand. Tu pourrais essayer d'y glisser un doigt.
28	Désespéré à ce point, hein ?
29	NON.
30	La fenêtre va... le dévorer.
31	(Glisser un doigt à l'intérieur.)
32	Non. (Être prudent.)
33	Dès que tu le fais, le mécanisme qui maintient la fenêtre fermée cède- l'abattant aussitôt sur ton appendice.
34	Dans un claquement.
35	(Retenir ton cri.)
36	(Retirer vivement.)
37	« Putain de merde. Ça va ? »
38	Ton doigt se dégage de sous la fenêtre refermée.
39	Le gant intact - la chair à l'intérieur ÉCRASÉE.
40	Bon. Laisse tomber pour l'instant- tu pourras peut-être réessayer plus tard.
41	Au moins tu sais comment fonctionne le mécanisme maintenant. Ça pourrait aider.
42	Bon. Alors réessaie plus tard, parce que là ça marche pas.
43	Quelques mots, et une main posée sur le verre... puis le bruit tonitruant résonne jusqu'au plafond rocheux de Waterlane.
44	Et la fenêtre coulisse en un instant.
45	Bah. Personne ne se dit probablement que l'apparition soudaine du fameux « son de Frappe » signifie que quelqu'un tente de s'introduire. T'en fais pas.
46	Il est temps de savourer le butin...
47	« Joliment fait. »
48	« Et si on croise quelqu'un à l'intérieur, souviens-toi : tu es un clerc en mission, pas un cambrioleur. »
49	Bien.
50	« Bien sûr. C'est légèrement mieux. »
