idx	french
0	Tu t'approches de la porte.
1	« Un relieur ? Tu as affaire ici ? »
2	(Frapper à la porte.)
3	(Partir.)
4	« C'est amusant. Je m'y attendais pas, vu... tout. Je suis pas un grand lecteur moi-même, mais je m'adonne à l'occasion. »
5	Il a l'air surpris.
6	C'est grossier. <shake>Très grossier</shake>...
7	Mais ce n'est que du <i>badinage</i>. Tu peux gérer ça.
8	« Quoi, tu croyais que j'aime pas les livres ? Je suis un clerc <i>professionnel et hautement porté sur l'ésotérique</i>. Bien sûr que j'adore les livres ! » (Être offensé.)
9	« Quel genre de magicien détesterait les livres ? » (Être un magicien.)
10	« <i>Toi</i>, tu sais lire ? »
11	« Roublard. »
12	« Tu es vexé ? »
13	Il esquisse un sourire.
14	« Genre, vraiment ? »
15	Pff. Non.
16	Légèrement. Oui.
17	Tu sens un bouillonnement monter.
18	C'est... de la rage.
19	« <i>NON.</i> »
20	« Ouais, un peu. »
21	(Émettre des bruits de clerc grincheux.)
22	Le gobelin étouffe un rire.
23	Il hausse les épaules.
24	« Enfin, c'est un stéréotype. Je te pensais plus original que ça. »
25	« Alors quoi, je suis un <i>singe-magicien illettré</i> ? Ceux-là n'existent plus depuis l'Ère du Déclin ! »
26	« Que veux-tu que je te dise ? Je suis ennuyeux. »
27	« Je sais pas trop, mais... »
28	« J'apprends quelque chose de nouveau sur toi à chaque minute, on dirait. »
29	« Va te faire foutre. »
30	« Vous voulez dire une partition ? Ou... quoi ? »
31	« Je suis un barde du genre danseur, alors... non. »
32	« Mais tu viens de dire...? »
33	« Laisse tomber. Je change d'avis. »
34	Il grogne.
35	« Je sais pas, Clerc. »
36	Son bruit rend clair qu'il est las de t'entendre parler de choses druidiques, malgré le fait qu'il devrait célébrer ton amour passionné de la nature.
37	« ...Quoi ? »
38	« Pardon ? »
39	« Roublard. Je suis un roublard. »
40	« J'ai pas demandé ! »
41	« Enfin. On devrait peut-être pas juste rester plantés là à parler devant une boutique. »
42	« Tu frappes, ou on part ? »
43	Quelques secondes après le coup, la fente sur la porte coulisse.
44	Au-delà, tu vois une paire de grands yeux jaunes te fusiller du regard.
45	« Hého. »
46	Un oiseau.
47	« C'est le contrôle des nuisibles ? »
48	Les yeux s'inclinent vivement vers la gauche.
49	S'inclinent ?
50	« Non. »
51	« Oui. »
52	« En un sens ? »
53	« Non... »
54	Les yeux se rapprochent de la fente dans la porte. Ce faisant, une touffe de plumes grises dépasse.
55	Un homme-oiseau.
56	Ah ! Un hibou !
57	« Hm ? Un <i>clerc</i> ? »
58	« Non, je suis un magicien. »
59	« Non, je suis un roublard. »
60	« Ouais. Évidemment. »
61	« Hm. »
62	L'homme-oiseau derrière la porte ébouriffe ses plumes.
63	« <i>Shěn Yêlan</i> est mon nom. »
64	« Si vous n'êtes pas le contrôle des nuisibles, je n'ai besoin de rien de vous. Veuillez partir. »
65	Le guichet de la porte s'ouvre d'un coup.
66	Une paire d'yeux jaunes perçants te fixe de derrière un voile de plumes touffues.
67	(Glisser une AEFA dans la fente de dépôt.) « De la part des Errants d'à côté. »
68	« Tu veux aller boire à la taverne plus tard ? »
69	« Êtes-vous un savant ? »
70	« Merci de votre temps. »
71	Si sévère.
72	Bien. Il devrait continuer à travailler.
73	C'est honorable.
74	« Une discussion ? »
75	« Je ne vous croyais pas du genre à parler aux animaux. »
76	« Tant pis. Vous avez ma gratitude. »
77	« Moitié prix sur un futur travail ! »
78	« Un livre de prières, oui ? J'en ai vu pas mal. »
79	« Dépose à l'intérieur, je vais jeter-un-œil-voir. »
80	(Le déposer.)
81	« Peut-être plus tard. J'ai encore besoin de ce fatras cassé. »
82	« Bien. Quoi d'autre ? »
83	« Oui, oui. Horrible. Eau salée. Laissé gondolé. »
84	« Vous auriez pu éviter le pire de ceci si le processus de séchage avait été mieux géré. »
85	« Je vais relier de nouveau cet immonde fatras pour vous. »
86	« Super, merci. » (Se retourner pour partir.)
87	« Combien ça va coûter ? »
88	« Vous êtes sûr de pouvoir le faire ? Il est plutôt fichu. »
89	« Une dernière chose. Avant que vous ne détaliez. »
90	« On verra. Ça dépend du processus. »
91	« Bien sûr ! Pour qui me prenez-vous ? »
92	« J'aurai besoin d'indications sur la direction de la reliure. »
93	« Les sorts à l'intérieur sont perdus, cependant le style et la mise en forme peuvent être sauvés. »
94	« Avec mon savoir-faire je peux viser quelque chose des Tours. Ce qui serait le plus proche de l'œuvre originale. »
95	« Je pourrais aussi me concentrer sur une reliure dans le style d'un <i>registre druidique</i>. Ou peut-être d'un <i>grimoire</i> des arts sombres et interdits. »
96	« De la magie interdite ? N'est-ce pas illégal ? D'où le nom. »
97	« Vous connaissez les trucs druidiques ? »
98	« Avez-vous travaillé sur beaucoup d'outils cléricaux ? »
99	« Refais-le juste aussi bien que tu peux avec l'intention originale à l'esprit. » (Choisir une amélioration d'INTELLIGENCE.)
100	« Fais-en un Registre Druidique primordial. » (Choisir une amélioration de SAGESSE.)
101	« Je veux qu'il soit empli de magie interdite. » (Choisir une amélioration de CHARISME.)
102	« Je suis un lanceur de sorts enregistré dans votre cité. »
103	Il lâche un bruit d'oiseau agacé.
104	« Ça me donne le droit de manier tout composant et outil magique. Peu importe le résultat. Tant que je ne le lance pas moi-même. »
105	« Ainsi est écrite votre loi. »
106	« On dirait que ça pourrait être détourné. »
107	« Ça a l'air rentable. »
108	« Euh... »
109	« C'est le cas, n'est-ce pas ? »
110	« Ça l'est en effet. »
111	« Prenez votre décision. »
112	« J'ai de nombreux clients. Y compris les divers druides de cette cité. »
113	« Ils ont eux-mêmes une aversion pour les pratiques modernes. Ainsi, mes services sont bien appréciés. »
114	« Je ne suis pas un marchand officiel des Tours, mais beaucoup viennent à moi pour de meilleurs prix et un meilleur service. »
115	« Malgré le peu de plaisir que la plupart des clercs prennent à travailler avec les miens. »
116	« Oui. La plupart des clercs sont assez pleins de haine envers les non-humains, après tout. »
117	« C'est terrible. Je ne suis pas comme ces autres clercs, je vous le promets. »
118	« C'est ainsi que va le monde. » (Hausser les épaules.)
119	« En effet. »
120	« Je m'en fiche. Je ne suis pas votre ami. »
121	« Maintenant, faites un choix ! »
122	« C'est ce que je vais faire. »
