idx	french
0	Gisant dans le passage, la porte de fer est tombée de ses gonds.
1	Regarde les coins. Ils sont tordus.
2	(Regarder les coins tordus de la porte.)
3	Déterminer ce qui a pu tordre la porte ainsi.
4	(Regarder les gonds.)
5	E-(Laisser la porte tranquille.)
6	Tordre le métal comme ça. Ça demande de la puissance.
7	Elle est tordue vers toi. Donc... l'explosion a dû venir de l'autre côté de cette porte. Pas vrai ?
8	Une température incroyablement élevée a dû être en jeu pour tordre cette porte de la sorte.
9	Et elle est tordue vers l'extérieur. Donc le point d'origine de l'explosion était clairement à l'arrière.
10	Pour fondre du fer comme ça, il faudrait une chaleur incroyable. Surtout pour du Hârdsten.
11	Pour fondre du fer comme ça, il faudrait une chaleur incroyable.
12	Tu te souviens de tes études, de l'art du sort de boule de feu.
13	Une puissance redoutable. Elle fut souvent employée avec une efficacité horrifique durant la Guerre de la Côte pour éliminer des légions entières.
14	Mais pour atteindre des degrés assez chauds pour amollir ce fer...
15	Il faudrait qu'elle soit de septième niveau ou plus.
16	Plus réalistement, vu comment les flammes se sont échappées avec force des arrière-salles en tordant la porte ainsi...
17	Huitième ou neuvième niveau.
18	Un sort, peut-être ?
19	Ou un homme très en colère ?
20	La réponse t'échappe.
21	Les gonds sont reliés au mur par d'épais clous de fer.
22	Un design nain typique. Ils utilisent un métal connu sous le nom de Hârdsten sur des portes comme celle-ci.
23	On dirait qu'ils ont été arrachés de la pierre.
24	Non attends... non, non. Le fer a été tordu aussi.
25	Intéressant. Alors c'était une combinaison de force et de chaleur.
26	Un effet ésotérique ? Juste un sort ?
27	Ton pari, c'est : c'était un sort de haut niveau.
28	Alarmant.
29	« Porte est... très blessée. »
30	« Meek avoir de la peine pour porte. Mauvaise magie a fait ça. »
31	« Maître prudence. Quoi qui a fait ça... peut-être encore là ? »
