idx	french
0	Tu t'approches de la tête géante féline, réalisant que la pierre près de sa gueule scintille.
1	Une énergie ésotérique irradie de l'intérieur.
2	La surface pulse d'une magie ancienne.
3	(Poser ta main gantée sur la surface.)
4	Tandis que ta paume touche la pierre froide, elle se réchauffe sous ton contact.
5	Une voix résonne dans ton esprit, parlant dans une langue ancienne.
6	« <i>...A QUIÉN SIRVES TÚ...</i> »
7	Qui sers-tu ?
8	La langue-chat. La langue de la tribu Whitemane.
9	<i>Crinblanca</i>. Whitemane. Le dieu marcheur des chats.
10	« Qui... <i>sers</i>-tu ? »
11	« C'est en gros ce qu'elle a dit. »
12	« Aussi, je commence à en avoir vraiment marre de ces ruines de chat flippantes maintenant. Je voulais juste te le faire savoir. »
13	« Ouais. Et qui <i>sers</i>-tu ? »
14	« Urth, bien sûr. »
15	« Le peuple de Norvik. »
16	« Moi-même, surtout. »
17	« Soit. »
18	« Mais je crois pas que ce soit la réponse qu'elle cherche. »
19	Réponds-lui.
20	Ou laisse cette culture barbare dans l'Ère Divine, où est sa place.
21	« Je sers... <i>Whitemane</i> ? »
22	« <i>Urth</i>. »
23	« Je sers le peuple de Norvik. »
24	Laisser la statue. Pour l'instant.
25	La pierre se déplace.
26	Un bruit de raclement tandis que d'anciens mécanismes s'activent.
27	La gueule s'ouvre lentement, révélant une cavité à l'intérieur.
28	Quelque chose scintille dans les ténèbres.
29	« Ho là. »
30	(Glisser la main à l'intérieur.)
31	Tes doigts se referment sur du métal froid.
32	Tu en retires une amulette ancienne, faite d'or pur.
33	La facture en est exquise.
34	Putain de merde ! Ouais, tu pourrais tirer une belle pile de couronnes de ce petit bijou.
35	Beau boulot !
36	« C'est incroyable ! »
37	« Putain de merde, je suis <i>riche</i>. »
38	« Il est temps de servir ce dieu-chat mort, j'imagine. »
39	« Ouais. Waouh. Ça, c'est une TRÈS belle prise. »
40	« Oh que oui. Ça pourrait absolument te rapporter une pile de couronnes. »
41	Exactement !
42	« J'ai le sentiment que ça pourrait mal finir. Bref. »
43	« Beau boulot. Maintenant on peut quitter ce lieu glauque ? »
44	La gueule de pierre se referme dans un raclement.
45	Chouette.
46	La statue ne répond pas.
47	Silence.
48	Aucune réponse.
49	La pierre demeure froide et sans vie.
50	« Si Whitemane ne marche pas, alors j'ai aucune idée. À moins que tu veuilles essayer, euh... <i>Blanco-Mano</i>...? Je crois que c'est comme ça que ça se traduit. »
51	Peut-être qu'il te faut d'abord comprendre ce qu'elle demande.
52	Rien.
53	« Enfin merde. Je peux pas t'aider là-dessus. »
54	Rien ne se passe.
55	Mauvaise réponse, on dirait.
56	« J'imagine que le chat se fiche de ton dieu. »
57	La pierre ne réagit pas.
58	« Hmm. Pas impressionnée par ça non plus. »
