idx	french
0	Tu t'approches du mur où Détection du Secret a révélé quelque chose.
1	Il y a définitivement quelque chose ici.
2	La magie ne ment pas.
3	Mais tu ne vois rien.
4	Juste de la pierre.
5	« Qu'est-ce qu'on regarde ? »
6	(Passer ta main sur le mur.)
7	(Pousser contre le mur.)
8	(Examiner le mur attentivement.)
9	Tes doigts gantés parcourent la surface.
10	Pierre lisse. Froide.
11	Pas de joints. Pas de fissures.
12	Mais la signature magique est forte.
13	Quelque chose est ici.
14	Tu pousses fort contre la pierre.
15	Elle ne bronche pas.
16	Solide. Inébranlable.
17	Pas une porte cachée qui s'ouvre par pression.
18	« Si tu le dis. »
19	Il a l'air sceptique.
20	« On est dans les Racines, tu sais. À moins que la Cité d'En Bas ait d'une manière ou d'une autre déplacé les murs juste sous le Jardin, ça ne devrait rien contenir d'étrange. »
21	« Mais je t'en prie. »
22	Tu fouilles chaque pouce.
23	Cherchant des marques. Des symboles. N'importe quoi.
24	Là.
25	Très faible. Presque invisible.
26	Une gravure usée.
27	Une écriture draconique.
28	Trop effacée pour être lue.
29	Mais elle est là.
30	C'est une entrée scellée.
31	Elle requiert quelque chose pour s'ouvrir.
32	Une phrase, probablement.
33	Comme le Verrou Magique au salon de thé.
34	Mais plus ancienne. Plus puissante.
35	Tu t'approches du mur.
36	C'est ça. C'est l'entrée scellée. Celle dont le sectateur a parlé.
37	Tu connais la phrase maintenant.
38	Il est temps de la tester.
39	Le mur ici demeure étrange.
40	Juste un mur. À moins que tu n'en saches plus.
41	« Ça ressemble encore juste à un mur pour moi. »
42	« Un très joli mur, remarque. »
43	Je peux essayer de défoncer ce mur ?
44	J'imagine que je devrais chercher plus d'indices autour.
45	Évidemment.
46	(Fixer le mur.)
47	Tu le fais.
48	Le <i>sommant</i> par ta volonté de s'ouvrir.
49	Ça finira par marcher. Évidemment. Mais tu n'as peut-être pas le temps.
50	Il doit y avoir un mot de passe.
51	Ou une clé.
52	Quelque chose. Il te manque quelque chose ici.
53	Rien.
54	Ça valait le coup d'essayer.
55	Non.
56	C'est simplement une dalle trop épaisse.
57	Malgré tes muscles proéminents et saillants...
58	Tu dois trouver une autre piste dans cette affaire.
59	Souviens-toi : un vrai homme est celui qui porte une épée - mais sait quand la garder au fourreau.
60	« À propos du mur ? »
61	Il hausse les épaules.
62	« Je suis encore fermement dans l'équipe c'est-un-mur. »
63	Les mots draconiques résonnent dans la chambre.
64	« <i>Ave, Esuthe. Ignis Litus Verrat.</i> »
65	Un instant, rien.
66	Puis le mur se met à scintiller- puis à FLASHER...!
67	La pierre ondule comme de l'eau.
68	Et disparaît.
69	Révélant un passage sombre au-delà.
70	« D'accord. Tu m'as convaincu. »
71	Le sceau du sectateur a été brisé.
72	« Le Trésor d'Esuth attend. »
