idx	prefix	english
0		You see a bunch of scattered boxes and iron poles. 
1		The election is looming. You must defend the city. 
2		Who tossed these in a pile? 
3		If the Freestriders were in charge, this'd be organized already. 
4		This pile is a wonderful metaphor for democracy. 
5		How long do I have? Until the election? 
6		Cool. 
7		Five days. 
8		It is March 22nd. The election will occur on the 27th. 
9		Which is one hundred and twenty hours to be precise. 
10		You see a bunch of boxes lined up, and some iron poles set up in neat sections. 
11		Someone is putting it together. Step by step. 
12		There's supposed to be queues here, on election day. 
13		There are a couple of thousand people living on Tolstad. 
14		If this location wants to accept the voting cards of each citizen, some stern organization will be required. 
15		What is it, four days until the election now? 
16		Correct. 
17		It is March 23rd. The election will occur on the 27th. 
18		In ninety-two hours, people will gather here to vote. 
19		The ballot boxes are now ready for the election. 
20		Can I put in my vote early? 
21		No way. 
22		They'll obviously make sure they're empty before they start up the process. 
23		They won't. 
24		But still. Let's not. 
25		Eh. More fun to vote with everyone else. 
26		The boxes look at you, boxingly. 
