idx	french
0	Tu jettes un œil à l'échelle.
1	C'est une sacrée ascension.
2	Ces rouages... ils pourraient t'engloutir. Tout entier.
3	Ça a l'air plutôt dangereux...
4	Quel genre d'homme - non - quel genre d'<i>humain</i> est incapable de gravir une simple échelle sur six petits mètres ?
5	Ce serait embarrassant pour quiconque, de tout âge, d'échouer à ça.
6	Tenter de gravir l'échelle.
7	E-Peut-être... pas maintenant. Ouais. Plus tard.
8	Tes mains dessinent cette forme familière, et quelques mots particuliers sortent de ta bouche.
9	Et en un instant, l'échelle se retrouve enduite d'une épaisse couche de graisse magique colorée.
10	Ton compagnon gobelin perd toute forme de respect jadis présente sur son expression.
11	« D'accord. »
12	« Sympa. »
13	« T'as graissé ce truc, hein ? »
14	Posant un pas assuré sur l'échelle, tu entames ton ascension.
15	Tu fermes les yeux en le faisant, afin de t'immerger pleinement dans l'expérience du changement d'altitude.
16	Tu as peur. C'est très haut.
17	Pourtant ton corps demeure calme.
18	EFFRAYANT.
19	Mais en un instant...
20	Attends...
21	Ton pied gauche. Il n'est pas...
22	Il n'est plus sur l'échelle.
23	Ce n'est pas bon.
24	Ton pied droit...
25	Celui-là doit bien être sur l'échelle, pas vrai ?
26	Hum. J'ai bien peur de dire que... non.
27	Tes deux pieds ont glissé de l'échelle.
28	Le cri lointain d'un gobelin inquiet est loin, très loin de toi maintenant.
29	Tandis que ton être tout entier se dissout en néant sur le sol de ce rollermill quelconque de Tolstad.
30	Attends- je suis MORT ?
31	À quoi t'attendais-tu en graissant l'échelle comme ça ?
32	Nul besoin de s'agiter.
33	Tu as reçu ton dû. C'est fini.
34	Voilà le bout de bâton qui te revient.
35	C'est juste... non. Ça n'a pas de sens.
36	Tu es un serviteur d'Urth. Tu as consacré toute ta vie d'adulte à le servir.
37	Ce n'est pas ainsi qu'on te récompense. Non...
38	Non.
39	Tu es...
40	Non. Je refuse cette fin. (Tendre la main.)
41	Pas. Encore.
42	Tu... refuses ?
43	R-PAS. COMME. ÇA. (T'agripper à tout ce que tu peux.)
44	<b>Tu as encore du travail à accomplir</b>.
45	Le monde se distord autour de toi. Tu tombais. Puis tu ne tombais plus.
46	Tortillant. Tournoyant. Des forces au-delà de ta puissance.
47	DES FORCES ÉSOTÉRIQUES FOISONNENT.
48	Je, euh... qu'est-ce que j'ai fait ?
49	C'est un événement ésotérique. Ton esprit peut à peine l'enregistrer.
50	Ton corps est sur le point de se briser. Chaque instant un douloureux rappel des mille autres qui ont échoué exactement comme tu viens de le faire.
51	Tu ne t'en sortiras pas indemne.
52	Mais tu peux encaisser.
53	Je ne suis plus mort ?
54	J'ai peur.
55	(Rire.)
56	Tenter de tirer sur les <i><b>Fils</b></i>.
57	Non <no>.
58	<i>Ne t'en fais pas, mon chéri. Il ira bien. Les clercs savent ce qu'ils font.</i>
59	Pourquoi ris-tu ?
60	Ne fais pas ça. Ton rire est nul. Tais-toi.
61	Tu les suis tandis qu'ils dansent.
62	L'un semble aller bien. Mais il est loin.
63	Pourtant il se rapproche. Par quelle force ?
64	Est-ce... <b>lui ?</b>
65	<i><b>Ne pars pas.</b></i>
66	<i><b>Saisis le Fil qu'on te tend.</b></i>
67	Le Fil pend devant toi. Presque espièglement.
68	Tu sais que tu n'as pas le choix.
69	Il te faudra traverser ceci.
70	Même si ce n'était pas un chemin que tu idéalisais.
71	Parfois, la pire chose qu'une personne puisse subir, c'est qu'on lui tende un Fil, sur l'ordre du destin.
72	Pourtant tu ne saurais dire si c'est l'un de ces moments.
73	Saisis le Fil.
74	Ce n'était vraiment, vraiment pas censé arriver, alors.
75	Pas cette fois.
76	Je suis désolé, mon fils.
77	<i><b>...Qui êtes-vous ?</b></i>
78	(Lâcher prise.)
79	Tu ne mérites pas ceci, Ragn.
80	<i>Moi</i>, je le dois. Mais toi...
81	<b>...tu peux recommencer ça, n'est-ce pas ?</b>
82	Tu chutes dans les fissures ésotériques du monde.
83	Tu <i>me</i> manqueras.
84	« Dieux, ce que tu es lent. On peut avancer maintenant ? »
85	E-Allons-y.
86	Tu t'approches de nouveau de l'échelle.
87	UNE LONGUE CHUTE.
88	UNE LONGUE ASCENSION.
89	Cette fois devrait être plus facile.
90	Merci aux dieux. Tu n'as pas à tant forcer cette fois...
91	(Gravir l'échelle de nouveau.)
92	E-Pas maintenant.
93	Tu poses le premier pied sur l'échelle, et puis...
