idx	french
0	Semblant surgir de l'air lui-même, une silhouette masquée apparaît.
1	« Maître- mauvaise vibe <shake>derrière</shake> ! »
2	L'ombre intimidante se tient prête à frapper, dague en main.
3	L'arme d'un lâche, pour une créature qui préfère un combat de biais.
4	Seul.
5	Le temps... se raccourcit.
6	La frange... <shake>proche</shake>.
7	Tu n'aurais pas dû-
8	« Attends- attends...! »
9	(Utiliser ta vitesse de réaction super-rapide pour réagir super-rapidement.)
10	(Rester juste planté là.)
11	Ouais. Essaie de lui demander gentiment.
12	Ça va super bien marcher. Juste-
13	Oui !
14	Mais l'assassin bouge plus vite.
15	Non !
16	Qu'est-ce que tu FAIS ?!
17	L'acceptation.
18	Il n'y a pas de... solution à ça.
19	Quel manque d'honneur.
20	Tu ne peux pas juste poignarder quelqu'un dans le dos comme ça !
21	C'est pas-
22	<shake>TU N'AURAIS PAS DÛ VENIR ICI SEUL</shake>.
23	(Se faire poignarder par une lame-maléfice ténébreuse.)
24	« ...c'est peut-être un de tes amis, Clerc ? » parvient à demander le gobelin, avant que ses yeux ne s'écarquillent.
25	Un inconnu n'est qu'un ami que tu ne t'es pas encore fait ! Renseigne-toi sur sa routine d'exercice.
26	« Ah, merde. »
27	« Pas <i>ça</i> encore... »
28	« Je n'aime pas cette situation non plus. »
29	(Pointer l'assassin.) « Ça, c'est un assassin. »
30	(Se contenter de se préparer au combat.)
31	Ses yeux tombent sur la dague et il se saisit aussitôt de sa fronde.
32	Oh ! Ça arrive, <shake>c'est partiii...</shake> !
33	Jet d'initiative.
34	Tu peux entendre une respiration précise et contrôlée derrière leur masque ésotérique.
35	C'est le moment. Ils sont prêts à tuer.
36	Tu passes à l'action, prêt à agir.
37	Ton compagnon gobelin prend l'initiative.
38	Le Masqué lève la dague, plus vite que tu n'es capable de réagir.
39	Ou, du moins, cette fois. Tu es rapide comme l'éclair, juste, tu sais, on ne peut pas toutes les gagner.
40	Snell fait claquer sa fronde avec une aisance exercée, et lance une pierre.
41	L'assassin fait un saut périlleux arrière pour tenter de l'esquiver, mais elle atteint quand même sa cible dans un bruit écœurant.
42	Le bruit d'une branche-fragile-qui-se-brise.
43	La tête de la silhouette masquée s'incline soudain vers toi.
44	Un coup de poignet, un mouvement vif des mains, et une énergie sombre t'entoure.
45	Mais seulement dans ton esprit...
46	Un Maléfice !
47	Tu subiras des dégâts constants de ceci - <i>typique sort d'occultiste</i>.
48	Tu sens un profond malaise imprégner tes os juste au moment où l'assassin projette une décharge d'énergie maladive.
49	Mais tu es assez proche pour le voir préparer la décharge, et tu t'accroupis. Elle t'arque au-dessus sans te toucher.
50	Elle atterrit en plein dans ta poitrine, causant une éruption de douleur.
51	La sensation de malaise se mue en une sensation d'aiguilles s'enfonçant en toi.
52	<shake>...Rrngh</shake>.
53	Des aiguilles... plutôt inutiles, ouais ! Hé... déteste les aiguilles.
54	L'assassin compte user à son avantage de la distance entre vous.
55	<b>Concentre-toi</b>.
56	Lance-lui quelque chose ! N'importe quoi !
57	Écoute, tu dois manifestement te rapprocher.
58	Fais ton choix maintenant. C'est soit un combat mental, soit un combat physique. N'essaie pas d'aller dans deux directions à la fois.
59	« Clerc- il y a un... <i>Maléfice</i> ! »
60	« Tu connais le <i>Maléfice</i>, Snell ? »
61	Lancer quelque chose sur l'attaquant.
62	Te blinder contre cette menace.
63	Combler l'écart.
64	Crier quelque chose de surprenant.
65	« Tu peux peut-être pas le voir- mais il y a des petits vers-d'ombre qui rampent partout sur toi ! »
66	« Bref- CONCENTRE-TOI ! Chope l'enfoiré ! »
67	Tu ramasses la première chose que tu peux attraper et la lances de toutes tes forces.
68	(Attraper une poignée de...)
69	C'est une motte de terre de donjon... et de <b>mousse</b> !
70	Elle file dans les airs et explose sur la poitrine de l'assassin.
71	Putain ouais ! C'est <i>ton</i> terrain !
72	Le Masqué baisse les yeux vers la terre, semblant vérifier s'il est blessé.
73	Il est surpris de n'en trouver aucune - mais il semble bien ébranlé par l'expérience.
74	Mais elle se désagrège presque aussitôt et les particules retombent tout autour de toi. Mince !
75	Tu respires profondément, te recentrant avant que l'assassin n'attaque.
76	Tu respires profondément, te recentrant après avoir vu de quoi l'assassin est capable.
77	Le souffle vient aisément, fluidement, et profondément, emplissant ton corps de calme.
78	Tu es préparé à la lutte.
79	Tu fermes les yeux et essaies de respirer profondément, mais la panique de la situation te gagne.
80	En rouvrant les yeux, tu te retrouves ni plus calme ni plus préparé qu'il y a quelques instants.
81	<shake>Rrngh</shake>.
82	Waouh, ne rien faire n'a rien fait ? Quelle surprise !
83	Tu cours vers le Masqué, usant de toute ton énergie pour te rapprocher.
84	L'assassin culbute vite en arrière, mais pas assez vite. Tu es à portée de frappe !
85	Ça va rendre le combat <i>bien</i> plus facile.
86	Si tu veux le résoudre physiquement, oui.
87	Tu cours vers le Masqué, usant de toute ton énergie pour-
88	Tu trébuches et te fracasses la tête sur le sol.
89	Tu gémis de douleur et te relèves.
90	Si tu comptes courir à fond comme ça, tu dois d'abord t'<i>échauffer</i>.
91	Tu cherches à tâtons quelque chose qui perturbera son rythme.
92	Et tu le trouves.
93	« Il n'y a pas d'échappatoire ! On t'a encerclé ! »
94	L'assassin se met en alerte d'un coup et jette un regard par-dessus ses deux épaules.
95	Hé. Tu vois qu'il te croit, et il est distrait par la possibilité.
96	Tu es un <i>bon</i> menteur.
97	Et toi... enfin, il va falloir tenter ta chance.
98	« Surprise ! »
99	L'assassin ne réagit pas d'un iota.
100	Pas très fun, hein ? Il pourrait au moins jouer le jeu, faire un petit faux « oh waouh ! » avant de te poignarder ou peu importe.
101	Tu as des idées aussi horribles <i>tout le temps</i>.
102	Qu'est-ce que c'<i>est</i>, un iota ?
103	Tu charges de l'énergie sombre dans ton poing avec une aisance fluide, sprintes en avant, et frappes directement l'assassin.
104	Tu mets le <i>mauvais jus</i> dans ta main et tu frappes.
105	Ton poing atteint son épaule, et l'énergie nécrotique déferle à travers son corps.
106	Un grognement de douleur échappe à l'assassin posé.
107	D'une culbute flamboyante, il est de nouveau hors de portée.
108	Tu charges de l'énergie sombre dans ton poing et balances un crochet sauvage vers ton ennemi.
109	L'assassin n'a même pas à esquiver ; tu étais bien trop loin.
110	Embarrassant.
111	Franchement, c'était une des choses les plus embarrassantes que tu aies jamais faites. Mais tu n'as pas le temps de t'y attarder.
112	Tu lèves une paume, frottes tes doigts ensemble, et ouvres la main, invoquant un torrent de graisse.
113	Elle gicle sur tout l'assassin et la zone environnante.
114	Fais-toi graisser, idiot !
115	Un choix stratégique.
116	L'heure de devenir tout glissant-coulissant.
117	La récré est finie.
118	Tu ne laisseras pas un sale rôdeur te tuer.
119	Tu es en danger.
120	« Clerc ! Tu as été Maléficié ! » crie le gobelin, faisant tournoyer une autre pierre.
121	Ah, oui. Bien sûr.
122	La pierre manque le Masqué. Il jette un regard acéré vers Snell.
123	Le Masqué lève de nouveau la main, tirant une décharge verdâtre.
124	Tu endures la douleur du mieux que tu peux.
125	Puis, la sensation de malaise s'aiguise et te tranche les nerfs.
126	L'assassin paraît frustré d'avoir perdu sa dague. Il la cherche.
127	Tu dois te rapprocher. Et <b>intimement</b>.
128	Tu es assez proche pour agir.
129	Ça suffit. C'est <i>parfait</i>.
130	Qu'est-ce que tu vas faire ?
131	Frapper !
132	Le désarmer !
133	Considérer la nature de la magie.
134	On ne bat pas les classiques.
135	Tu armes ton poing, et atteins puissamment le masque du Masqué.
136	Il recule en titubant et se tient le visage un moment.
137	Ça n'a offert aucune protection. Ce n'est pas du tout une armure au sens traditionnel.
138	C'est vraiment juste pour cacher son identité.
139	Tu balances un coup de poing, mais il n'a pas assez de force derrière lui. Il est mou.
140	L'assassin t'esquive aisément.
141	Tu fais un pas en avant et, des deux mains, pousses vite son poignet d'un côté et le plat de la dague de l'autre.
142	La dague jaillit de sa main et atterrit au sol à quelques pas.
143	Tu le surprends à haleter avec plus de panique que tu ne l'aurais cru.
144	Cette dague est d'une importance critique pour lui. Un héritage ? Non, c'est lié à son être même... c'est une lame-maléfice !
145	Tu fais un pas en avant et balances maladroitement la main vers la dague de l'assassin.
146	Le Masqué ajuste légèrement son poignet, et tu attrapes la lame elle-même.
147	Tu prends un instant pour considérer quel genre d'ennemi tu affrontes.
148	C'est généralement difficile de réfléchir en plein feu du combat, mais la conclusion est claire : c'est un occultiste.
149	Tu as été Maléficié, et tu es attaqué par des Décharges occultes.
150	Ce qui veut dire que cette dague est une lame-maléfice. <i>Sa</i> lame-maléfice.
151	Bon, alors... c'est un mage qui manie la dague...
152	Et...
153	Tu n'arrives pas à comprendre.
154	Tu regardes l'assassin déjà blessé tandis que tu charges de nouveau de l'énergie dans ton poing.
155	Balançant un puissant uppercut, tu attrapes le dessous du masque du Masqué.
156	Excellent. Il est très gravement blessé.
157	L'assassin s'accroupit aisément en dessous tandis que l'énergie se dissipe.
158	Tu asperges de nouveau l'assassin de graisse.
159	Il continue d'être graisseux.
160	Fais-toi graisser, idiot.
161	Vous commencez tous les trois à fatiguer.
162	Commencez à fatiguer... un peu comme un vélo utilisé pour la première fois !
163	Bah, celui-là ne sera pas intéressé par les blagues. Laisse tomber.
164	La fin est proche.
165	Tandis que l'assassin se tortille dans ta prise, Snell accourt et s'empare des jambes du Masqué.
166	Vous avez tous deux une prise solide sur votre ennemi, mais cet assassin continue de se débattre avec une vigueur surprenante.
167	Oh, non. Sont-ils trop forts et puissants pour être retenus par ta prise ? Ohhhh...
168	Snell sprinte vers l'assassin et tente de lui faire un tacle glissé aux jambes.
169	L'assassin bondit dans les airs pour esquiver...
170	Mais Snell lève une main et atteint la cheville du Masqué.
171	L'assassin culbute sur le côté, manquant de tomber à terre.
172	Oui ! C'est <i>ton</i> Snell, bébé !
173	Quel acolyte.
174	L'assassin lève sa main libre comme s'il allait de nouveau te frapper d'énergie...
175	Mais il lance plutôt un coup de dague.
176	Elle t'entaille l'avant-bras, ouvrant une plaie déchiquetée dans ta chair.
177	De nouveau, la douleur du maléfice impose sa prise cuisante.
178	Le Masqué se démène pour trouver la lame au sol.
179	Il faut quelques précieuses secondes à l'assassin pour la trouver.
180	Mets fin à ce combat. <b>Maintenant</b>.
181	Tu peux perturber le Fil de cette lame magique. Tu en as la capacité.
182	Tu peux dérégler le fonctionnement de cette dague.
183	Ce masque serait précieux à avoir. Et savoir qui essaie de te tuer est généralement une bonne idée.
184	Empoigner !
185	Perturber le Fil ésotérique de la dague.
186	Attraper le masque.
187	Plus de jeux.
188	Tu fonds sur l'assassin qui culbute et esquive. Tu projettes ta paume en avant et attrapes le bras de l'assassin.
189	Il se tortille et se débat, ce qui te donne un angle sur l'autre bras.
190	Tu te manœuvres et serres à chaque lutte, chaque panique. Tu es un python.
191	Tu <b>enserres</b>.
192	Tu fonds sur l'assassin, posant une paume sur son avant-bras.
193	Mais ta prise est faible. L'assassin te secoue et recule.
194	<b>Mince</b>.
195	Tu lèves les deux mains devant toi et recourbes les doigts.
196	Tu tends la main- non pas physiquement, mais ésotériquement.
197	Et tu te connectes au Fil reliant l'assassin à la dague.
198	Le Fil d'un occultiste et de sa lame-maléfice.
199	Tu cisailles le Fil, et la lame se rompt avec le relâchement de la tension ésotérique.
200	<i>« Non ! »</i>
201	Elle bondit du sol dans le flanc de l'assassin, tranchant profondément, puis retombe sur la roche dans un cliquetis.
202	Tu cisailles le Fil, et regardes la dague libérée dans un rapide mouvement tournoyant.
203	Elle l'entaille profondément. Un murmure douloureux échappe au masque.
204	L'assassin lâche un souffle tremblant.
205	Tu tends la main ésotériquement et pinces le Fil qui attache l'assassin à la dague.
206	Tu essaies de cisailler le Fil, mais sa force te résiste. Il rebondit vers toi, s'éloigne, et revient, te frappant sèchement.
207	Tu feintes bas, puis tends soudain les deux mains et atteins le masque.
208	Tu tires d'un coup, et il se décolle du visage de l'assassin. Il culbute au sol.
209	« <shake>Non</shake> ! »
210	Tu vois le visage de l'assassin un instant.
211	Le... hein. Son visage à lui ? Son visage à <i>elle</i>.
212	« Tu n'es qu'une...? »
213	« Pourquoi fais-tu ça ?! »
214	« <i>...Hé, c'est quoi ce bordel</i> ? »
215	<i>Elle</i> fronce les sourcils. Et dit...
216	« <shake>Va te faire foutre</shake>. »
217	Puis, en un instant, le masque est remis sur son visage, comme une brume qui se matérialise.
218	Quoi ?
219	Tu es attaqué par une <i>jeune demoiselle</i> ?!
220	Cette pauvre enfant.
221	Tu feintes bas, puis tends soudain les deux mains et balances la main vers le visage de l'assassin.
222	Il se penche nonchalamment en arrière et tes mains claquent l'une contre l'autre.
223	Merde !
224	Ça ne s'est pas déroulé comme l'assassin l'attendait.
225	Ils pensaient probablement qu'ils allaient te tuer.
226	Ils pensaient probablement que tu allais leur donner une grosse récompense.
227	Tes muscles brûlent.
228	Le gobelin s'est relevé de son tacle glissé et tente de s'emparer de l'assassin.
229	Il peine à assurer une prise, mais l'assassin est harcelé et concentré à l'empêcher.
230	L'assassin pose les deux mains sur sa dague.
231	Tentant clairement de... faire quelque chose.
232	Tentant clairement de canaliser une sorte d'énergie dedans.
233	Mais il découvre qu'il ne peut pas.
234	Dans une rage, il te tranche d'un coup de dague.
235	L'assassin pose les deux mains sur sa dague et y canalise une volute d'énergie vert pâle.
236	Il te tranche de la lame, atteignant ton torse.
237	Une douleur horrifiante s'ensuit, te frappant encore plus PROFONDÉMENT que les dégâts physiques bien RÉELS.
238	Puis... le MALÉFICE te fait de nouveau MAL.
239	Tu peux mettre fin à ce combat épuisant tout de suite.
240	Tu es épuisé.
241	Le convaincre que c'est une impasse.
242	Frappe. Frappe. Frappe !
243	Tu expires avec colère, comme si tu contrôlais tout juste ta rage.
244	« <b>Assez !</b> C'est fini ! »
245	L'assassin t'observe avec méfiance, puis marmonne quelque chose.
246	Tu expires en tremblant. Tu es <i>fatigué</i>.
247	« Assez, s'il te plaît. Je ne veux plus me battre contre toi. »
248	« Lâche. »
249	<b>Quoi ?!</b>
250	Bon. Personne ne te manque de respect comme ça. Il est temps de démolir ce minable !
251	Tu dois faire tes preuves. Tu es pathétique <i>trop souvent</i>. C'est le moment !
252	Attends, peut-être prends ton temps-
253	(Sprinter vers l'assassin.)
254	Bon. Tu commences à courir vers l'assassin.
255	Le Masqué s'avance vers toi et plonge sa dague dans ton ventre.
256	<shake>UGH...</shake>
257	« <i>Merde...!</i> »
258	Cette voix semble vouloir poser la question : « <shake>pourquoi tu ne meurs pas...</shake> ? »
259	Tu armes ton poing, jetant ta force restante dans un seul coup. Il touche.
260	L'assassin s'effondre, poids mort, au sol.
261	« Enfin ! »
262	Mais quelque chose s'échappe du tuyau. Un sort ?
263	Le Masqué bouge de nouveau soudain !
264	Tu armes ton poing, jetant ta force restante dans un seul coup. Tu manques.
265	<b>Mince, mince, <i>mince</i></b>.
266	Maintenir l'empoignade !
267	Le Masqué se débat puissamment, mais ne peut se libérer.
268	L'assassin se met à s'agiter d'avant en arrière selon un rythme régulier.
269	Tes bras te font mal.
270	« Qu'est-ce que tu fais ? »
271	Soudain, le Masqué change le rythme du balancement et se tord dans ta prise, se libérant.
272	Tu entends un bruit de croquement venant de la bouche de l'assassin, et soudain, il rétrécit au dixième de sa taille.
273	Tu entends un bruit de croquement venant de la bouche de l'assassin, et soudain, elle rétrécit au dixième de sa taille.
274	Quoi...?!
275	L'enfoiré a croqué quelque chose ?
276	Un sort de Rapetissement.
277	« Le- le tuyau ! Il fonce vers le tuyau ! »
278	« Le- le tuyau ! Elle fonce vers le tuyau ! »
279	Tu tends la main, mais... ton corps te lâche.
280	Le tout petit, minuscule assassin... saute dans le tuyau.
281	(Fixer, sous le choc.)
282	Le Masqué recule d'un pas.
283	Ton compagnon recule d'un pas.
284	(Reculer d'un pas.)
285	Bonne idée.
286	L'épuisement pèse sur vous tous comme une lourde couverture. Snell lève ses griffes - paumes tournées vers l'attaquant.
