idx	prefix	english
0		A frame. For a painting. 
1		The actual picture was obviously burnt away in the blast. 
2		It is iron. It remains. 
3		I don't like paintings. 
4		Sad to see it ruined like this. 
5		E-I should leave it alone. 
6		"Hm." 
7		"Drummer does strike me as the type of guy to hang a giant picture of himself." 
8		"What do you think?" 
9		"Self-portrait sounds about right. These bird-folk only care about themselves." 
10		"Maybe his wife and kids." 
11		"I bet it was a painting of a door." 
12		He scoffs. "Drummer's a copycat. He just copies humans." 
13		"Humans and their big <u>egos</u>." 
14		"I don't have a big <u>ego</u>." 
15		"We do have big <u>egos</u>." 
16		"Oh yeah?" 
17		"I'm extremely humble. Clerics have to be. It's in the rules." 
18		"I have a medium <u>ego</u>. Perfectly average." 
19		"Define 'big'." (Do air quotes.) 
20		"No it's not." 
21		"Yes it is." 
22		"You got me there." 
23		"Don't argue with me, <i>sidekick</i>." 
24		"Sure. Now <i>focus</i>." 
25		He elbows you from the side. 
26		"<i>Focus</i>." 
27		He holds out his hands, measuring the size of a tea pot. 
28		"Like that?" 
29		"Bit bigger." 
30		"Bit smaller." 
31		"Yeah. Just like that." 
32		He clears his throat. 
33		He adjusts his hands. 
34		"No." 
35		He chuckles. "Great. You admit it." 
36		(Look sad.) "I'm sorry for my big <u>ego</u>." 
37		"It's good to be <u>ego</u>tistical. Healthy, even." 
38		"We humans should just disappear." 
39		The goblin does not meet your gaze. 
40		"Don't apologize. Just..." 
41		"You sound like an Arcanist." 
42		"Well, I'm not." 
43		"I am a Wizard, after all." 
44		"Yeah, yeah." 
45		"Geez. Relax." 
46		"Yeah, negative on that one." 
47		"I don't know him personally or anything, but that bird's flying solo." 
48		"They don't have to be real." 
49		"Good to know." 
50		"What?" 
51		"It could be an imaginary wife and kids." 
52		He's contemplating your words. Then dismisses them. 
53		"Sure." 
54		"A door. Like, to trick people." 
55		"...Trick people?" 
56		"A very realistic door." 
57		"They'd walk into the wall. They'd go 'Hey, I can't grab the handle!'" 
58		"A door. Sure." 
59		The goblin glares at you. 
60		"It'd be funny." 
61		"Or maybe not." 
62		"Sure. Funny." 
63		"Mm." 
64		"Maybe we should keep looking for actual clues." 
65		"Good idea." 
66		"Are you saying this burned painting is not a clue?" 
67		"It is." 
68		"It... I..." 
69		"Fuck it. Sure. It's a clue." 
70		He lets out a big sigh. 
71		"Why not?" 
72		That's a strange thing to think. Paintings are great opportunities to show off your visual aesthetic. 
73		Yeah. Not your thing. 
74		Yes. It is a tragedy. All art is sacred. 
75		You have no way of knowing if it was even beautiful. 
76		It could have been some horrific abomination of a painting. 
77		There is beauty in all art. 
78		Drivel. 
79		Such anti-canonical thought is exactly why art has lost its meaning. 
80		Yes. It is a tragedy. 
81		This frame must have been beautiful, before it burned. 
82		The frame? 
83		Yes. What else? 
84		The <i>painting</i>. 
85		There is no painting here. 
86		There clearly <i>was</i>. Before the fire. 
87		Oh. How interesting. 
88		It was most likely just an LR. Who pays for actual art these days? 
89		Suckers. That's who. 
90		Iron. Melted to hell, but still somewhat intact. 
91		Not as affected by the fire as some pipes you saw in the central tea shop chamber. 
92		Strange. You feel a slight breeze. 
93		Very slight. Suspiciously slight. 
94		It holds a secret. 
95	DC20 con-	A secret? 
96	DC20 wis-	(Look for the source of the breeze.) 
97		Right. Anything else? 
98		The wall. 
99		It causes you to groan. 
100		Esoterically. 
101		Look. At. The wall. 
102		E-Oh? 
103		Your eyes glance upwards. 
104		The wall. The wall is not a wall. 
105		Look at the wall. 
106		The frame holds nothing else. 
107		No signs beyond that left by the flames. 
