idx	french
0	Le mimique dévoile son apparence depuis le panneau.
1	« Grand homme d'acier ! »
2	« Et plus petit, joli homme ! »
3	Le gobelin grimace clairement, et ouvertement.
4	Tu fixes le panneau.
5	Ton compagnon se joint aussi à la fixation.
6	Il est bel et bien écrit : <i>Pas un Mimique</i>.
7	Il te parle.
8	Qu'est-ce qui me parle ?
9	Qui a mis ce panneau ici ?
10	Alors je suppose que le coffre est un mimique, alors ?
11	Comprendre ce qui cloche dans toute cette mise en scène.
12	(Toucher le panneau.)
13	(Regarder le panneau.)
14	Hm.
15	La <i>gueule</i>.
16	Elle attend.
17	Mais ne crains rien.
18	C'est un ami.
19	Écoute, l'estomac dit ce qu'il veut dire.
20	Parfois les os disent la vérité.
21	Mais cette fois, tu n'es pas trop sûr de ce que cette vérité signifie même.
22	<i>Un ami</i>.
23	Une question intéressante.
24	Ça pourrait être une équipe de fabricants de panneaux qui font le tour de la Cité d'En Bas à planter des panneaux utiles.
25	Ce serait charmant.
26	Cependant, il y a très probablement une explication plus ésotérique.
27	Il y a bien des mystères dans la Cité d'En Bas. Y compris les tunnels changeants, et les poches ésotériques étrangement intenses.
28	Normalement, une magie comme celle-ci serait plutôt rare aussi près de la Côte, mais la Cité d'En Bas est spéciale.
29	Alors ce panneau pourrait très bien être une manifestation d'un événement ésotérique.
30	En d'autres termes, le panneau pourrait très bien être un phénomène naturel de Jor.
31	Le panneau dit clairement le contraire.
32	Le panneau semble pointer vers ça, oui.
33	Cependant, toute cette zone est clairement de nature ésotérique. Alors méfie-toi.
34	« Mes "potes gobelins" ? »
35	Il n'aime pas le ton de cette expression.
36	« Ouais, tu sais. Les <i>gobros</i>. »
37	« Tu n'as pas d'amis, Snell ? »
38	« Réponds juste à la question. »
39	« Les quoi maintenant ? »
40	Il ne connaît pas le jargon ?
41	« Les <i>gobmiches</i>. »
42	Il te foudroie du regard.
43	Essaie-en d'autres.
44	« Les <i>gobpotes</i> ? »
45	« Tes <i>crocmignons</i> ? »
46	« Euh... genre, les <i>gremlinets</i> ? »
47	« Et les <i>goulinets</i> ? »
48	Le gobelin lève un doigt.
49	« N'emploie plus ce mot. »
50	« Oh. C'est un mot réservé aux gobelins ? »
51	« Non, pas du tout. »
52	« Mais ça ne veut pas dire ce que tu crois. »
53	« Au-delà de ça... »
54	Il est exactement comme toi.
55	Vraiment.
56	« C'est pas- »
57	Il s'interrompt.
58	« Non, Clerc. »
59	« Je peux te garantir : <i>personne</i> des Halfways n'a mis ce panneau. »
60	(Attraper le panneau.)
61	(Ne pas attraper le panneau.)
62	Attends.
63	Attends VOIR.
64	Quoi ?
65	Regarde le panneau.
66	Ça fait un moment que je fais ça. Qu'est-ce qu'il a ?
67	Pose-toi une question basique.
68	<b>Comment le panneau est-il fixé au mur ?</b>
69	Enfin, manifestement c'est... le clou. Là-haut.
70	Oui. Mais regarde-le.
71	(L'inspecter de plus près.) Oh. Il n'est pas...?
72	Ce clou n'est pas fixé au bois. Il ne pend non plus à rien d'autre d'apparent.
73	Il pourrait être fixé à l'arrière ?
74	Ce serait une étrange façon d'accrocher un simple panneau comme ça.
75	C'est vrai.
76	Un homme le clouerait juste directement à travers.
77	Plus important encore, pourquoi la corde serait-elle encore dressée de cette façon ?
78	C'est comme si quelqu'un avait tenté de créer un fac-similé de panneau suspendu, sans réfléchir à toutes les étapes logiques du pourquoi chaque pièce est assemblée.
79	Alors... qu'est-ce qu'il a ?
80	C'est suspect.
81	Ouais, ça au moins c'était évident dès le début. Qu'est-ce que j'en fais ?
82	Tu vois ces cailloux sur le sol ?
83	Lances-en un sur le panneau.
84	Un test basique de corporéité.
85	Corpo-quoi ?
86	(Lancer un caillou sur le panneau.)
87	(Attraper plutôt le panneau.)
88	Fais-le, c'est tout.
89	Non !
90	Nan.
91	Tu n'en as aucune idée.
92	Mais tu devrais probablement être prudent.
93	Tu devrais voir s'il y a quelque chose derrière le panneau, peut-être ?
94	Tu remarques bien un léger interstice sur le côté du panneau.
95	Un interstice dans le mur. Il y a quelque chose derrière, peut-être.
96	Mm.
97	Hm ?
98	Pourquoi ai-je le sentiment que je pourrais... toucher le panneau ?
99	Ce n'est qu'une possibilité parmi tant d'autres.
100	Peut-être devrais-tu d'abord y réfléchir.
101	Y réfléchir beaucoup.
102	C'est la seule façon de vraiment enquêter sur quelque chose.
103	Faux.
104	Tu peux aussi user de tes yeux.
105	C'est un panneau.
106	Il est écrit : « Pas un Mimique. »
107	À la seconde où ta main gantée touche la surface du panneau, tu réalises que quelque chose cloche.
108	Principalement parce que c'est mou.
109	Et puis...
110	Les très, très nombreuses longues dents s'enfoncent dans ta main.
111	Brisant la peau, écrasant l'os.
112	« Je le <b>savais</b> ! »
113	Non, il ne le savait pas.
114	Une douzaine d'yeux surgissent de nulle part sur la surface de bois, qui devient vite caoutchouteuse et frétillante.
115	(Hurler et se débattre.)
116	Ta main est coincée, clouée dans la gueule de la Bête.
117	« Je m'en occupe ! »
118	Elle lâche un gargouillement gloussant en vibrant sur le mur.
119	Un ami.
120	Tu dois faire tes preuves ici. Encaisse la douleur !
121	Va plus profond !
122	Tandis que la créature mâche ta chair, tu sembles te rappeler une anecdote intéressante.
123	CE N'EST PAS LE MOMENT !
124	C'est toujours le moment pour le savoir. Vois-tu, tu as lu une fois que si tu te fais mordre, mâchoire-verrouillée par une Bête comme celle-ci, il n'y a qu'une seule chose à faire.
125	Enfonce la main plus profond.
126	Oui. OUI.
127	C'est risqué. Mais aller plus profond pourrait bien marcher.
128	Quoi que tu fasses : ne la touche SURTOUT PAS avec l'autre main.
129	Dégager ta main en la remuant.
130	Enfoncer ta main plus profond.
131	Le poing heurte une surface molle, et se coince aussitôt.
132	Le mimique émet un gargouillement satisfait.
133	« Bon sang ! N'aggrave pas les choses ! »
134	Attends !
135	QU'EST-CE QUE C'EST ?
136	Pousse et tire ! Dedans dehors ! Vite !
137	(Enfoncer un peu ta main, puis la retirer.)
138	Tandis que tu projettes ton bras en avant, les nombreuses petites dents acérées sont en fait extraites de ta chair.
139	Puis... tu retires !
140	Ta main échappe à la gueule de la Bête.
141	Le moindre contact te laisse incapable de contrôler ton bras.
142	Tandis que tu tentes de la remuer, ça envoie une douleur incroyable dans tout ton bras.
143	Merde. Il te faut une autre méthode. Et vite !
144	La douleur est intense.
145	Elle te ronge.
146	Embrasse-la.
147	(Enfoncer ton bras entier dans la gueule.)
148	Tandis que tu pousses ton bras en avant, les nombreuses petites dents acérées sont en fait extraites de ta chair.
149	(Aller plus profond.)
150	Les nombreux yeux de la créature s'écarquillent de plus en plus.
151	Tandis que les dents se mettent à racler contre ton coude, elle commence à émettre un couinement mouillé.
152	Comme un écureuil s'étouffant avec des noix.
153	Hé. Des noix.
154	Puis... sa gueule s'élargit elle aussi.
155	Elle te lâche !
156	Tu vois ? Un ami.
157	(Retirer ton bras.)
158	Les dents ne tranchant tout ton bras en lambeaux de chair que de justesse, tu l'arraches vite de la gueule du mimique.
159	Elle reste à haleter et gargouiller sur le mur.
160	Une douleur incroyable. Ce qui ressemble à un millier de petits couteaux se tortillant à l'intérieur de ton bras.
161	Tu ne peux pas en supporter beaucoup plus.
162	Ton bras s'engourdit. Ça va aider.
163	Il attrape déjà un rocher voisin, et le fracasse contre les yeux ouverts de la Bête.
164	« Juste... essaie de te sortir de sa prise ! »
165	« Mais sans perdre ton satané bras ! »
166	Si exigeant. Ce gobelin.
167	Ton bras est un vaisseau-muscle héroïquement chargé. Nulle aberration ne le consumera sans un <b>combat</b>.
168	Personne ne le consumera du tout, de préférence.
169	C'est un ami. Sois proche.
170	Ferme-la, bordel !
171	Reculant en titubant, tu tiens ta main ensanglantée.
172	Le gobelin s'interpose entre toi et le monstre. « Recule ! »
173	Ses nombreux yeux se focalisent sur vous deux, et puis...
174	Tu attrapes un caillou au sol et le lances doucement vers le panneau.
175	T'attendant à ce qu'il rebondisse aussitôt - au lieu de ça, il... s'arrête, tout simplement.
176	Il se coince sur la surface du panneau.
177	Ho là.
178	« Ho là. »
179	C'est un... c'est mou ?
180	Le caillou s'est arrêté comme s'il avait heurté un mur de miel mou et collant.
181	« Hein ? »
182	Tandis que tu regardes le caillou juste posé là sur le panneau- tu vois aussi quelque chose émerger.
183	Un œil qui te fixe.
184	« Je le savais ! »
