idx	french
0	Les rouages continuent de tourner.
1	Mais tu remarques quelque chose.
2	Une <i>chose</i> rouge et luisante, collée à la partie interne de la roue supérieure.
3	Le dedendum.
4	Ça s'appelle le dedendum.
5	Tu t'approches du rouage, et de la chose rouge et collante qui y adhère.
6	Dans le dedendum.
7	Dédé-<i>dum</i> ?
8	Attraper la chose rouge et collante des rouages sans y perdre tes doigts.
9	E-Je reviendrai.
10	Dedendum.
11	Ah. Le dedendum. Je vois. C'est la distance radiale du cercle primitif jusqu'au fond de dent.
12	Oui.
13	Mais le <i>fond de dent</i> (aussi appelé <i>pied de dent</i> par certains ingénieurs de moindre valeur) est la surface plate ou incurvée à la base même de ce creux.
14	Tu connais bien ça.
15	Tu l'as lu dans un livre une fois. C'était un très vieux guide de machinerie, écrit avant la Guerre de la Côte.
16	Cool. Ça pourrait s'avérer utile.
17	Bien sûr que ça le sera.
18	En un instant de concentration, une giclée de graisse magique apparaît sur tous les rouages.
19	En quelques secondes, tandis qu'elle se répand à travers le système, la vitesse de l'ensemble s'emballe.
20	« Ouah. »
21	« Tout l'endroit tremble. T'as vraiment accéléré cette merde. »
22	« Je sais pas trop pour quelle raison, mais... je suis sûr que t'as un plan là. »
23	Tu glisses une main, et...
24	(La retirer vivement, avec la <i>chose</i>.)
25	OUI !
26	Souple comme tout.
27	Hé, cool. C'est un Cube Anti-Stress !
28	Ça te ramène en arrière.
29	Tous les gamins en raffolaient.
30	Tu sais, ceux qui t'appelaient <i>Appleboy</i>.
31	APPLE. BOY.
32	Ouais. C'est pas un super souvenir d'enfance pour moi.
33	Quel sentiment nostalgique. C'est génial pour un adulte comme moi de s'adonner à ces jouets d'enfant.
34	Un jouet. Pour un <i>enfant</i>.
35	Un jouet ? Comme c'est pittoresque.
36	Une tranche d'un véritable cube gélatineux.
37	Tu pourrais probablement le revendre pour un billet vite fait la semaine prochaine.
38	D'ici là, bah, peut-être lui donner une pression. Ça pourrait aider avec les nerfs.
39	E-Peut-être que je le ferai.
40	Tu glisses une main.
41	Et...
42	(La retirer.)
43	Hm ?
44	(La retirer. Maintenant.)
45	Euh...
46	Ça n'a pas l'air de faire quoi que ce soit.
47	Quoi ?
48	Elle est coincée.
49	QUOI ?!
50	Ouais. C'est...
51	MAUVAIS... !
52	(Crier. Hurler. Vociférer.)
53	Tes DOIGTS... !
54	Tes putains de doigts !
55	(Se faire entraîner vers le bas.)
56	La douleur t'aveugle. Mais tu la sens.
57	La chute...
58	(Heurter le sol.)
59	<shake>AHHH... !</shake>
60	Bon.
61	Tu es vivant.
62	D'une manière ou d'une autre.
63	(Se relever.)
64	C'était... putain d'atroce.
65	Mais c'était si près... !
66	Ta cupidité est écœurante.
67	« Clerc ! C'est quoi ce BORDEL ?! »
68	« Tu es- je... pff... »
69	Le gobelin lâche un grognement exaspéré.
70	« Sois plus prudent. D'accord ? »
71	« Maître blessé ! »
72	« Meek doit devenir bon à repérer menace de fer. »
73	« Meek suppose : maître ne va pas mettre main dans machine à broyer. »
74	Ouais. La prochaine fois, ne tombe pas.
75	E-(Laisser le rouage géant(?) tranquille.)
76	« Ne lui dis pas ça. »
77	« Meek le fera ! Meek le FERA ! »
78	Allez. Faut que t'ailles réessayer, non ?
