idx	french
0	« Hé. »
1	Le nain marmonne son salut avec l'impact d'une fleur qui pousse.
2	Il a peur de toi. Domine-le.
3	Tu captes l'ambiance ici. Tu sais. L'ambiance.
4	Le genre d'ambiance « tu pourrais lui voler ses biens les plus précieux et il ne ferait rien ».
5	IL EST BON.
6	LE PLUS BON QUE TU AIES CROISÉ DEPUIS DES MOIS.
7	« Toi et moi, on devrait être amis. »
8	« T'as réussi à caser un sacré paquet de nains dans ce minuscule appartement. »
9	E-« Ce sera tout pour l'instant. Merci, citoyen. »
10	« Ouais. Ça fait beaucoup. »
11	« Ça devrait être seulement... cinq ou six ? Combien y en a maintenant... »
12	« Ett, tvâ, tre... »
13	Il regarde autour et tapote ses doigts pour compter.
14	« ...fyra, fem, sex... »
15	« Ouais, peut-être quelques-uns de trop là. Mais c'est juste jusqu'à l'élection. Alors c'est bon. »
16	« Oh, c'est ton appartement ? »
17	« Merci de ton sacrifice pour la cause. »
18	« C'est vraiment pas grave de le garder aussi à l'étroit ? »
19	« Oui. Je devrai... nettoyer après. »
20	« Euh. D'accord. »
21	« Enfin, oui. À tout moment. »
22	« La machine, c'est un peu beaucoup... mais l'impression est importante pour gagner l'élection. »
23	« Alors ça en vaut la peine. »
24	Tu entends dans le ton de sa voix un « j'espère » sous-entendu à la fin.
25	Il a l'air mal à l'aise avec les arrangements actuels.
26	Alfoz l'a probablement convaincu, hah.
27	C'était facile.
28	Si seulement tout le monde était aussi accommodant.
29	Maintenant pousse le bouchon. Il peut bien te servir.
30	« J'ai dit amis ? Je voulais dire plutôt genre une... dynamique maître-esclave. »
31	(Lui faire un check du poing.)
32	Il fronce les sourcils.
33	Le premier froncement de sa vie.
34	« Non, j'aime pas ça. »
35	« Dommage. T'y as déjà consenti. »
36	« Juste. J'aime pas ça non plus. Mais qu'y faire ? »
37	« Ouais, t'as raison. Évitons. »
38	« Non, je n'ai pas. »
39	« Tu peux- tu peux pas. »
40	Il hoche la tête.
41	Il joint lentement son poing au tien.
42	« Le marché est scellé. Tu es à moi désormais. »
43	« Merci, mon frère ! »
44	(Hocher la tête.)
45	« Ouais. »
46	Il hoche la tête en retour.
47	« D'accord. »
48	« J'ai quelques autres questions. L'ami. »
49	Il regarde autour de lui. Puis il hoche la tête.
50	Tu l'as embrouillé.
51	Tu l'as surpassé en malice.
52	Tu l'as dominé.
53	Tu tournes autour de lui à toute allure, bon sang.
54	« Rien, vraiment. »
55	Il grogne et fait un geste vers Alfoz. « Demandez au Contremaître. »
56	(Hurler.) « Hé, Alfoz ! Simii dit que tu sais quelque chose de compromettant sur le salon de thé ! »
57	« Je vais aller faire ça. Merci. »
58	« Non ! »
59	« C'est pas vrai, Contremaître ! »
60	« Si, c'est vrai ! Simii est un mouchard ! »
61	« Ah. C'est ça. »
62	« Qu'est-ce que t'as à hurler ? »
63	« Arrête tes bêtises. »
64	« Exactement, Simii. Arrête tes bêtises. »
65	« Désolé, ma faute ! »
66	« Alfoz est un peu susceptible, hein ? » (Faire un clin d'œil à Simii.)
67	« Euh- je- je- »
68	« Euh, je- »
69	« Toutes mes excuses, Contremaître ! »
70	« Euh- je... »
71	« Non. Il ne l'est pas. »
72	Il hoche la tête, <i>nerveusement</i>.
73	« L'élection ? »
74	« Le Parti Ouvrier. »
75	« Choix intéressant. Pourquoi ? »
76	« Merci du partage. »
77	« Je m'en fiche vraiment. Je demande juste pour pouvoir te parler de mes opinions politiques. »
78	« Je travaille pour eux. »
79	« Bonne raison. »
80	« Mauvaise raison. »
81	« C'est une raison médiocre. »
82	« Oh. »
83	« De rien. »
84	« Tu vas pas me demander pour qui je vote ? »
85	« En fait je ne vote pas, car je suis une entité apolitique. »
86	Il te regarde un long moment. Sa face de terre désolée et rocheuse à l'infini ne bouge pas d'un pouce.
87	Puis il ouvre la bouche et marmonne...
88	« D'accord ? »
89	« <i>Neutre</i>. »
90	« Ah. » Il hoche la tête.
91	« Complètement dénué d'opinions. De toute sorte. »
92	« Je vote pour le Parti de Norvik. »
93	« Les Errants, pour moi. »
94	« Moi aussi, je vote pour les verts. »
95	« Je vote pour moi-même. Parce que je suis un grand magicien, et que je devrais être aux commandes. »
96	(Marmonner.) « Agrarien. »
97	Ce nain. Est-il fait de pierre ou de soie éthérée ?
98	Cette face. Cette foutue face sévère ne te donne rien. Ni amour ni haine.
99	Ce « Simii »... il rivalise avec les horreurs eldritch de l'Ère des Portes par sa forme ineffable.
