key	english	french
AR_Viira_Ivcx_127	"Since he is not interested, we shall not be in contact."	« Puisqu'il n'est pas intéressé, nous ne serons pas en contact. »
CB_CraniumAnt_314	we... do not know.	nous... ne savons pas.
CB_GelCube_131	"Not... yet..." (Pant.)	« Pas... encore... » (Haleter.)
CB_Moongore_555	"I yield! I take it back!" (Abandonner.)	« Je cède ! Je retire ce que j'ai dit ! » (Abandonner.)
CB_Skeleton_165	"A great... battle..." (Reprendre ton souffle.)	« Une grande... bataille... » (Reprendre ton souffle.)
CB_Skeleton_166	A great... battle... (Reprendre ton souffle.)	Une grande... bataille... (Reprendre ton souffle.)
CB_WhitemaneLift_48	"I am a MAN." (Leave while speaking aloud to no one.)	« Je suis un HOMME. » (Partir en parlant tout haut à personne.)
DN_Darrow_444	"I need access to the tea shop." (Gulp.)	« J'ai besoin d'accéder au salon de thé. » (Avaler difficilement.)
DN_Ettir_50	(Gulp.) "Okay."	(Avaler difficilement.) « D'accord. »
DS_Olzis_901	"Ne t'en fais pas. I've seen worse in my days. <> #LOC_901	« Ne t'en fais pas. J'en ai vu pire dans mes jours. <> #LOC_901
DS_Well_26	I know, I know. (Juste sauter.)	Je sais, je sais. (Juste sauter.)
DS_Well_89	"How...? Quoi... ?"	« Comment... ? Quoi... ? »
Enc_Final_39	Bon sang. I got stabbed again!	Bon sang. Je me suis encore fait poignarder !
Enc_Night_16	...I can dodge it!	...Je peux l'esquiver !
EP_Ost_49	"Okay." (Give him 10,000 crowns.)	« D'accord. » (Lui donner 10 000 écus.)
EP_Simii_9	"Many memories."	« Plein de souvenirs. »
EP_Simii_12	"Big fan of tea?"	« Grand fan de thé ? »
EP_Simii_38	Okay. More reasonable.	D'accord. Plus raisonnable.
EP_Simii_47	"Right, I think I was supposed to find him. Tant pis."	« Vrai, je crois que j'étais censé le retrouver. Tant pis. »
EP_Simii_61	"Thanks. <i>Cleric</i>."	« Merci. <i>Clerc</i>. »
EP_Simii_70	"I think I'll name it after my father."	« Je crois que je vais le nommer d'après mon père. »
EP_Simii_74	Really paints a picture.	Ça brosse vraiment un tableau.
EP_Simii_77	"He was a good man."	« C'était un brave homme. »
EP_Simii_85	"A <i>Strokeback Mountain</i>, on which we... make a stand."	« Une <i>Montagne Strokeback</i>, sur laquelle nous... tenons bon. »
EP_Simii_87	"Great name. Love it."	« Excellent nom. J'adore. »
EP_Simii_88	"Thanks, Cleric."	« Merci, Clerc. »
EP_Simii_98	I'll leave him to it.	Je vais le laisser à ça.
EP_Snell_831	"Want me to squat first?" (Bend down a little.)	« Tu veux que je m'accroupisse d'abord ? » (Se pencher un peu.)
GG_Miska_18	"Okay." (Frissonner.)	« D'accord. » (Frissonner.)
JC_Darkness_9	Why is it so quiet?	Pourquoi est-ce si silencieux ?
JC_Darkness_11	Cleric ruminates a bit to himself.	Clerc rumine un peu pour lui-même.
JC_Darkness_13	It's probably some Far Realm aberration, coming to eat me.	C'est sans doute quelque aberration du Royaume Lointain, venue me dévorer.
JC_Darkness_14	Look up, Cleric.	Regarde vers le haut, Clerc.
JC_Darkness_24	It's stars.	Ce sont des étoiles.
JC_Gorm_1757	"Un magicien... does not kneel... to some <i>fallen paladin</i>."	« Un magicien... ne s'agenouille pas... devant quelque <i>paladin déchu</i>. »
LL_Intro_384	Okay. Merci.	D'accord. Merci.
PC_Frey_154	"Okay." (Feel awful.)	« D'accord. » (Se sentir affreux.)
RM_StorageRoom_137	"Diables ouais. Love me some bourgeoisie bullshit."	« Diables ouais. J'adore les conneries de la bourgeoisie. »
SP_Snell_224	"It's a nice apartment." (Be nice.)	« C'est un bel appartement. » (Être gentil.)
ST_Button_46	Great?	Génial ?
ST_Lever_51	Great.	Génial.
ST_Lever_55	Great.	Génial.
ST_PebbleOfSending_10	Okay...	D'accord...
ST_PebbleOfSending_115	(Send a message to Rixbiter.) "Hey. Any news?"	(Envoyer un message à Rixbiter.) « Hé. Des nouvelles ? »
TE_SecretPassage_14	Laisser tomber. We were not meant to manage such mystical things as 'secret doors'.	Laisser tomber. Nous n'étions pas faits pour gérer des trucs mystiques tels que des « portes secrètes ».
TS_Ettir_129	Whisper back, "Why? Aren't angels good?"	Chuchoter en retour : « Pourquoi ? Les anges ne sont-ils pas bons ? »
TS_Rollermill_147	It's a broken immovable rod. C'est un... movable rod?	C'est un bâton d'immobilité cassé. C'est un... bâton mobile ?
TS_Rollermill_148	"It's a broken immovable rod. C'est un... movable rod?"	« C'est un bâton d'immobilité cassé. C'est un... bâton mobile ? »
TS_Spear_5	Probably not, no.	Probablement pas, non.
TS_Spear_9	"Big stick!"	« Gros bâton ! »
TS_Thal_410	"I already handled it, Je crois."	« Je m'en suis déjà occupé, je crois. »
TU_Borgo_328	"...Oh oui. I've met him. He almost killed me."	« ...Oh oui. Je l'ai rencontré. Il a failli me tuer. »
UP_Meri_803	"Sure. C'est logique."	« Bien sûr. C'est logique. »
WL_Bookbinder_215	"Okay." (Pay 250 crowns.)	« D'accord. » (Payer 250 écus.)
WL_Giorgio_195	"A Bard can be multi-legged. Je crois."	« Un Barde peut avoir plusieurs pattes. Je crois. »
VL_Ost_535	Tiens bon. Make it an endurance contest.	Tiens bon. En faire un concours d'endurance.
