key	english	french
AR_HiddenFreestriderSafe_3	Intéressant. I'll have to come back when Viira isn't around.	Intéressant. Je devrai revenir quand Viira ne sera pas là.
CB_Akzel_296	« <shake>For helvede</shake> ! »	« <shake>For helvede</shake> ! »
CB_Bondavol_20	« Hm ? Quoi ? » (Weigh the gemstone in your hand.)	« Hm ? Quoi ? » (Soupeser la gemme dans ta main.)
CB_Bondavol_353	« Entraîné aux <i>Arts</i> par des légendes de Haagin-Dim, envoyé combattre pour le compte du <shake>grrrrr</shake>and empire de toute l'histoire de l'empreinte de cul de Jor ! »	« Entraîné aux <i>Arts</i> par des légendes de Haagin-Dim, envoyé combattre pour le compte du <shake>grrrrr</shake>and empire de toute l'histoire de l'empreinte de cul de Jor ! »
CB_Dancer_21	(Donner un coup de coude à Snell.) "You think we should do something with this?"	(Donner un coup de coude à Snell.) « Tu penses qu'on devrait faire quelque chose avec ça ? »
CB_DeadAdventurer_87	"The Trove of Esuth. Intéressant."	« Le Trésor d'Esuth. Intéressant. »
CB_HallwaySolution_861	« Tu sais... » (Gesture towards him.) "It's good to see this."	« Tu sais... » (Faire un geste vers lui.) « Ça fait du bien de voir ça. »
CB_LordPuu_211	"A green witch? Intéressant. Where can I find her?"	« Une sorcière verte ? Intéressant. Où puis-je la trouver ? »
CB_Moongore_250	« J'ai trouvé l'homme en jaune. Celui qui vous a charmée. » (Get ready to show how you avenged her.)	« J'ai trouvé l'homme en jaune. Celui qui vous a charmée. » (Se préparer à montrer comment vous l'avez vengée.)
Default_PillarofJor_535	<i>En lucidité Will lui professe — pas de pubs grattées à arrière-pensées.</i>.	<i>En lucidité Will lui professe — pas de pubs grattées à arrière-pensées.</i>.
DN_Darrow_802	"I went in through the back. Évidemment."	« Je suis entré par derrière. Évidemment. »
DN_Darrow_869	"I went in through the back. Évidemment."	« Je suis entré par derrière. Évidemment. »
EP_Alfoz_6	« Bonjour. » (Bow your head slightly.)	« Bonjour. » (Incliner légèrement la tête.)
