idx	french
0	Tu t'approches de la colonne.
1	Un pilier massif de pierre ancienne.
2	Se dressant au-dessus de toi.
3	Lourd. Très lourd.
4	Pourrait aisément t'écraser s'il tombait.
5	Oui.
6	OUI.
7	<b>SOULÈVE-LE</b>.
8	Soulever la colonne.
9	Tu enlaces la base de tes bras.
10	Les muscles se tendent.
11	Le tronc engagé.
12	<b>SOULÈVE</b>.
13	(SOULEVER.)
14	La colonne s'élève.
15	Centimètre par centimètre.
16	Ton corps hurle.
17	Mais tu es <b>PLUS FORT</b>.
18	(PLUS HAUT.)
19	À quelques centimètres du sol.
20	C'est assez.
21	Tu la maintiens là.
22	Sentant le poids.
23	Sachant que tu pourrais en soulever davantage si tu le voulais.
24	(La reposer.)
25	Tu la redescends avec précaution.
26	Elle se remet en place.
27	Parfait.
28	Tu as fait tes preuves.
29	Auprès de toi-même.
30	C'est ça, être un homme.
31	(SOULEVER !)
32	La colonne ne bronche pas.
33	Ton dos proteste.
34	Quelque chose tire de travers.
35	<b>SOULÈVE QUAND MÊME</b>.
36	(SOULEVER PLUS FORT !)
37	Une douleur aiguë remonte le long de ta colonne vertébrale.
38	La colonne demeure fermement plantée.
39	Tu recules en titubant, te tenant le bas du dos.
40	Mince.
41	Mais tu as essayé.
42	Ça compte pour quelque chose.
43	« Je suis un HOMME. » (Partir tout en parlant à voix haute à personne.)
44	« Je suis fier de toi. »
45	« Tu as fait de ton mieux pour récupérer le butin derrière ce truc. »
46	« Si tu me l'avais dit, j'aurais pu aider, tu sais ? Mais tu ne m'as pas vraiment donné l'occasion de- »
47	« Il n'y avait pas de butin derrière. »
48	« Hm ? Pardon ? »
49	« Je l'ai juste soulevée pour prouver que je le pouvais. »
50	« Oh. »
51	Un moment de silence.
52	« Pour la satisfaction de savoir- que je pouvais faire ça. Que je suis UN HOMME. »
53	« C'est ça. »
54	Il s'avance vers toi et te tapote le dos.
55	« Alors je retire mon commentaire. »
56	Zut.
