idx	french
0	Jadis il y avait ici des étagères remplies de magazines.
1	Tu as déjà vu ce type de construction, dans d'autres salons de thé de la cité.
2	Des images de nains bruyants se disputant à propos d'articles te traversent l'esprit.
3	L'attrait principal des salons de thé, c'est l'offre de magazines disponible.
4	Paie pour une tasse coûteuse, et accède aux dernières histoires. Gagnant-gagnant.
5	(Regarder les amas de charbon de bois.)
6	Ne reste-t-il vraiment rien de lisible ?
7	E-Je devrais... regarder autre chose.
8	« Bien sûr. Mais pas cette camelote. »
9	« T'as raison. Dur à lire quand c'est brûlé comme ça. »
10	« Qu'est-ce que tu veux dire ? »
11	« Non, pas- »
12	Il secoue la tête. « Des zines de cuivre. Rien qu'un tas de mensonges et de fariboles. »
13	« Ça peut être drôle si tu veux faire monter ta tension. »
14	« Tu ne sais pas de quoi tu parles. »
15	« Je suis d'accord. Je déteste le journalisme. »
16	« Merci d'avoir exprimé ton opinion. Retournons maintenant au travail. »
17	« Oh, je suis vraiment désolé, Clerc ! »
18	« Bien sûr que tu devrais continuer de lire tes torchons à ragots et tes zines de propagande. »
19	Il t'adresse un sourire aimable. « Tes opinions sont aussi valables que n'importe quelles autres. »
20	Va savoir pourquoi, tu te sens comme un idiot d'avoir défendu cette merde.
21	Hé, les mensonges peuvent être très divertissants. Tu n'es pas obligé d'y <i>croire</i>.
22	« C'est pas- »
23	« Je veux dire, y a de bons journaux, c'est juste... »
24	« Vraiment ? »
25	« Donne-moi un exemple. »
26	« Bien sûr. Mais je comprends ce que tu veux dire. »
27	« Bien sûr. La Route Verte. »
28	« Donne-moi dix exemples de plus. »
29	« Oh. J'ai pas lu ça. »
30	« Non. »
31	« C'est pas grave. Merci de m'avoir prêté attention. »
32	« Je t'en prie. »
33	« Ouais. Je comprends ça. »
34	« Je mettrais bien le manque de bon journalisme sur le dos de l'élection, mais franchement c'était pas tellement mieux avant. »
35	« D'accord. »
36	Il te lance un regard. Ses yeux emplis d'inquiétude.
37	« Juste pour être sûr, tu es pas en train de... t'effondrer ou un truc du genre ? »
38	Quand as-tu jamais fait ça ?
39	« Quoi ? »
40	« Peut-être. »
41	« Bien sûr que non. Ce serait ridicule. Retournons maintenant à être productifs. »
42	« C'est juste que je remarque que tu commences à agir un peu bizarrement parfois. »
43	« Je voulais juste être sûr que tu es pas... je sais pas. »
44	« En train de fuir de la tête ou un truc du genre. »
45	« Merci de ta sollicitude. Je n'ai aucun trou indésirable et/ou hémorragie en cours. »
46	« D'accord. Bien ! Content de l'entendre. »
47	Il a toujours l'air inquiet. Ne l'effraie pas comme ça.
48	« D'accord ? »
49	Fais un pouce en l'air.
50	Snell te rend le pouce en l'air.
51	Éparpillés à travers l'alcôve de pierre, tu vois des morceaux de... eh bien, du charbon de bois.
52	C'était jadis du bois. Ces étagères de pierre avaient jadis une façade en bois.
53	Il y avait du bois ici ?
54	Pourquoi y en aurait-il ? Le papier brûle assez facilement.
55	Mais et si... ?
56	E-Bien sûr. Je vais regarder ailleurs.
57	Bien sûr. Peut-être que tu trouveras un journal magiquement immunisé au feu ou un truc du genre.
58	C'est ça ! Tu dois jeter un vrai coup d'œil ici avant de passer à autre chose.
59	Génial. Vraiment génial.
60	Tes yeux balaient les restes cendreux.
61	Chercher... quelque chose. N'importe quoi.
62	E-Je devrais regarder autre chose.
63	Parmi le désordre tu remarques quelque chose de solide.
64	En écartant une petite pile de magazines brûlés, tu découvres un papier complètement indemne des flammes.
65	Il est un peu sale, mais une rapide secousse révèle le titre.
66	« L'Undercommon. »
67	Bordel de merde.
68	Ce papier est maudit, je te le dis.
69	« On a passé une quinzaine à repêcher ces saletés des égouts l'an dernier. »
70	« Quel genre de connard a cru qu'un journal magiquement indestructible était une bonne idée ? »
71	Il y a un léger contour turquoise sur le papier. Pas tout à fait luisant dans le noir. Mais presque.
72	E-Ranger le magazine et regarder ailleurs.
73	« Nan. Même pas une flamme magique. »
74	« Le zine ? »
75	« Nan. C'est de la merde. »
76	« L'immunité aux dégâts de feu, ça a de quoi impressionner, hein ? »
77	Nan. Il n'y a rien ici.
78	Mais ça valait le coup d'essayer.
79	Tu en es sûr ?
80	« Clerc - on peut passer à autre chose ? Je pense pas que les magazines soient bien lisibles à ce stade. »
81	(Continuer de fixer.)
82	« Ohé-é ? »
83	« T'es là ? »
84	Tes yeux ne peuvent se détacher de la pile de cendres sur l'étagère.
85	Tu es figé.
86	Et aveuglé.
87	Ça change. Tu le sens.
88	Le royaume est touché par les Fils.
89	(<i>Saisir le Fil.</i>)
90	Tu t'exécutes.
91	Tu entrevois vers l'arrière.
92	Ton corps est immobile. Inerte.
93	Tu n'as aucun contrôle.
94	Le gobelin se tient à côté de toi, apparemment si habitué à ce que tu agisses bizarrement qu'il ne le questionne même pas.
95	« Ouais ? »
96	« Je crois que j'ai rencontré un Événement Ésotérique. »
97	« Mm-hm. »
98	« Tu dois me sauver. Je suis coincé. »
99	« ...Attends, pour de vrai ? »
100	« Je suis en train de mourir, Snell. À l'aide. »
101	Il te flanque vivement un coup de pied dans le tibia.
102	Ta main gauche. C'est la seule chose qui bouge.
103	L'heure est venue.
104	Tu dois te libérer.
105	(Te frapper toi-même.)
106	Le coup atteint ton heaume. L'immense puissance t'accorde la seule chose que tu désires...
107	La liberté !
108	Le coup atteint ton heaume.
109	Ce n'est pas un coup massif, mais assez pour te tirer de ton état de gel.
110	Tu recouvres tous tes sens.
111	La liberté.
112	« Bon, tu vas mieux maintenant ? Tu peux essayer de... pas te faire coincer dans des "Événements Ésotériques" à l'avenir ? »
113	« S'il te plaît ? »
