idx	french
0	Une Lanterne à Pierre-de-Lueur.
1	Elle semble hors service.
2	Une Lanterne à Pierre-de-Lueur ?
3	Qu'est-ce qui cloche avec ?
4	« Hé, Snell ! T'as besoin d'aide pour réparer ce truc ? »
5	Réparer la lanterne.
6	E-Nan.
7	La pierre-de-lueur à l'intérieur doit dysfonctionner.
8	Un problème courant avec ces lanternes bon marché produites à l'Ère d'Après-Guerre.
9	Elle est cassée. Évidemment.
10	« C'est pas grave, Clerc. »
11	C'est... <i>pas grave</i>. Pas grave ?
12	Ça veut dire... qu'il a besoin de ton aide, clairement.
13	Le gobelin ne sait pas ce qui est le mieux pour lui.
14	Tu examines la lanterne, en vérifiant l'intérieur.
15	Au-delà du verre fin et bon marché, gît une pierre-de-lueur verte. De type éclat.
16	(La toucher.)
17	Ce faisant, elle te brûle la main.
18	« Aïe. »
19	« Clerc ? »
20	« Ce truc déconne depuis des semaines. Laisse tomber. Je vais bientôt le jeter. »
21	Tu passes quelques minutes à l'examiner, réalisant un peu plus tard que tu ne l'aurais dû qu'il y a un effet ésotérique sur la lanterne elle-même.
22	En l'inspectant davantage, le problème se révèle : la connexion de la pierre-de-lueur avec la fragile plaque de métal qui l'entoure.
23	Bien que la chaleur soit demeurée, et que la pierre soit assez chaude, sa faible lumière ésotérique était ésotériquement diffusée sur toute la surface de la lanterne, au lieu d'être concentrée sur la pierre-de-lueur elle-même.
24	(Ré-attacher la pierre-de-lueur sans te brûler.)
25	D'un rapide claquement, la lumière revient dans la lanterne.
26	Une solution si simple. Tu aurais dû la trouver plus vite.
27	C'était une tâche difficile. Tu es un génie.
28	« J'ai réparé la lampe, Snell. »
29	« Huh. Merci. »
30	Il te fait un pouce en l'air.
31	Le gobelin parle ta langue.
32	Quelle gratitude.
33	Tu te tiens devant la Lanterne à Pierre-de-Lueur, désormais fonctionnelle.
34	« Maintenant t'auras plus à trébucher en allant aux toilettes au milieu de la nuit. »
35	Je suis tellement doué pour bricoler des trucs.
36	E-Cool.
37	« C'est pas vraiment un problème. Tu sais. »
38	Il pointe ses yeux.
39	« Vision dans le noir. »
40	« C'est vrai. Tu es un gobelin. J'arrête pas d'oublier. »
41	« Alors pourquoi t'as une lampe ? »
42	« Pareil pour toi. J'arrête pas d'oublier que t'es pas un gnome anormalement grand. »
43	Un... GNOME ?!
44	C'est drôle. Le gobelin est drôle.
45	Fais une imitation. Ça lui plaira.
46	Ne fais surtout pas d'imitation.
47	Hm. Snell n'a pas l'air du genre à apprécier les caricatures racistes.
48	Alors je t'en prie, ne fais pas une caricature raciste de gnome pour l'amuser.
49	« Non, tu oublies pas. »
50	« Retire ça. »
51	(Imiter les gestes de main stéréotypés du gnome.) « Regardez-a-moi, je suis-a-le gnome le plus grand de-a-tout le monde. »
52	« J'ai peut-être plaisanté. »
53	« Bien sûr. Je vais pas mourir sur cette colline. »
54	« Bah. Légèrement raciste. Mais je peux adhérer. »
55	Suffisant.
56	« C'est pas une vision dans le noir parfaite. »
57	Il s'étire un peu.
58	« Mais ouais. La lampe réparée aidera. Merci encore, Clerc. »
59	Tu es légèrement au-dessus de la moyenne.
60	Ce qui en dit plus long sur la moyenne que sur toi.
61	Oui. Tu es, véritablement, un génie.
