idx	prefix	english
0		You approach the column. 
1		A massive pillar of ancient stone. 
2		Towering above you. 
3		Heavy. Very heavy. 
4		Could easily crush you if it fell. 
5		Yes. 
6		YES. 
7		<b>LIFT IT</b>. 
8	ROLL20 str-	Lift the column. 
9		You wrap your arms around the base. 
10		Muscles tense. 
11		Core engaged. 
12		<b>LIFT</b>. 
13		(LIFT.) 
14		The column rises. 
15		Inch by inch. 
16		Your body screams. 
17		But you are <b>STRONGER</b>. 
18		(HIGHER.) 
19		A few inches off the ground. 
20		That's enough. 
21		You hold it there. 
22		Feeling the weight. 
23		Knowing you could lift more if you wanted. 
24		(Put it down.) 
25		You lower it carefully. 
26		It settles back into place. 
27		Perfect. 
28		You have proven yourself. 
29		To yourself. 
30		This is what it means to be a man. 
31		(LIFT!) 
32		The column doesn't budge. 
33		Your back protests. 
34		Something pulls wrong. 
35		<b>LIFT ANYWAY</b>. 
36		(LIFT HARDER!) 
37		A sharp pain shoots up your spine. 
38		The column remains firmly planted. 
39		You stumble back, clutching your lower back. 
40		Damn. 
41		But you tried. 
42		That counts for something. 
43		E-"I am a MAN." (Leave while speaking aloud to no one.) 
44		"I'm proud of you." 
45		"You did your best to get the loot behind this thing." 
46		"If you told me, I could have helped, you know? But you didn't exactly give me a chance to-" 
47		"There was no loot behind it." 
48		"Hm? Sorry?" 
49		"I just lifted it to prove I could." 
50		"Oh." 
51		A moment of silence. 
52		"For the satisfaction of knowing- I could do that. That I am A MAN." 
53		"Right." 
54		He walks up to you and pats you on the back. 
55		"Then I retract my comment." 
56		E-Drat. 
