idx	french
0	Parmi tous les tomes et écritures anciens - chacun recelant un monde de savoir - celui que tu cherches est ici, à même le sol.
1	Une couverture turquoise picotante. Des pages dorées. Une gemme ésotérique sur le fermoir. Elle t'aveugle presque de sa radiance.
2	Livre_de_l'Esprit,_Sixième_Édition
3	Il est grand, en largeur comme en épaisseur.
4	Comme en son contenu.
5	Un tome de <i>faim</i>.
6	Tu le CRAINS. Tu le CONVOITES.
7	(Ouvrir le fermoir.)
8	Tout de suite, il est écrit sur la première page, en grosses lettres grasses : <i>PROPRIÉTÉ DE SANG DE LA MAISON HAGGINSHAGS</i>.
9	<i>LIVRE DE L'ESPRIT, par CIVIDIX. 6ᵉ édition</i>.
10	Hm. Comme c'est intrigant. Cela appelle une question des plus indomptables :
11	Est-ce haggin-<i>shags</i>, ou <i>haggins</i>-hag ?
12	Ah.
13	Hagginshags. Bien sûr. Il doit avoir un siècle.
14	Hein. Regarde l'encre.
15	Elle a l'air plutôt moderne, non ?
16	Hm.
17	Une observation intéressante.
18	« Regarde-moi ça... »
19	Le livre qu'Appledent voulait. <b>Quête accomplie</b>.
20	Ou plutôt, il veut voir la conséquente préface, occupant la première douzaine de pages du livre.
21	Le savant sera content une fois que tu le lui livreras.
22	« Si la classe supérieure pouvait être encapsulée en un seul tome, je crois qu'il ressemblerait à ça. »
23	« Je me sens indigne. »
24	C'était facile. Trop facile. (Regarder autour.)
25	(Se contenter de partir.)
26	« Bah. Peut-être. Ou couvert du sang de la classe ouvrière. »
27	« C'EST TEL QUE CELA DOIT ÊTRE. »
28	« TU L'ES. »
29	Attends. Il y a quelque chose...
30	« Qu'est-ce qu'il y a ? »
31	« TU CESSERAS. »
32	« RESTE. LÀ. OÙ. TU. ES. »
33	Une lumière aveuglante, d'en bas- fusant vers l'infini au-dessus.
34	DERRIÈRE TOI.
35	(Se retourner.)
36	Au centre de l'étrange abîme en spirale, flottant, tes yeux s'ajustent pour saisir un aperçu d'une forme surréaliste.
37	Un glorieux délice spectral.
38	Cette lumière... c'est une Apparition Arcanique.
39	Nul autre que les plus grands Arcanistes ne possédaient le savoir d'en façonner une...
40	« Qui es-tu ?! Identifie-toi ! »
41	« Une Apparition. Attention, Snell. »
42	« NOUS SOMMES MAINTES PAGES. TOUS MOTS. »
43	« NON. »
44	« TES ARCA-NISTES NE M'ONT PAS PRODUITE. »
45	Le gobelin foudroie du regard l'horrible <i>chose</i>, criant : « Moi ! C'est moi ! »
46	« NON. CE N'EST PAS TOI. »
47	« NOUS. TE. VOYONS. »
48	« Je n'ai pas le droit de prendre le livre, je présume. »
49	« Le livre est à moi. »
50	« On m'a chargé de récupérer ce livre. Tu ne peux pas m'arrêter. »
51	« Désolé, je vais le remettre. »
52	« UNE AFFIRMATION VRAIE. »
53	« UNE AFFIRMATION FAUSSE. »
54	« NOUS LE POUVONS ET LE FERONS. »
55	« IL EST HORS DE L'ÉTAGÈRE. »
56	« En fait, il était par terre, je- »
57	« LE FIL EST EN MOUVEMENT. »
58	Tandis que la bibliothèque tremble légèrement au ton de la voix de cette entité ésotérique, tu sens bien qu'il n'y a nulle menace immédiate ici.
59	Cela, cependant, pourrait changer vite.
60	Ton compagnon te jette un regard nerveux, et chuchote : « Tu fais ton truc, d'accord ? »
61	« Intéressant, parle-moi davantage de toi. »
62	« Peux-tu voir les Fils de Jor ? »
63	« Quels sont les livres les plus rares que tu as ici ? »
64	« Restes-tu au même endroit, ou te déplaces-tu ? »
65	« Qui t'a créée ? »
66	« C'était ton livre, à l'extérieur ? »
67	« Je ne voulais vraiment pas te voler. »
68	« ...Que veux-tu de moi ? »
69	« NOUS SOMMES LA BIBLIOTHÈQUE VIVANTE. CELLE QUI ARPENTE LES MURS, LES CHAMPS, LES FRANGES D'IOMESTRA. »
70	« BÂTIE SUR LES MOTS DE TOUS. LES MOTS DE CEUX QUI FILENT LE RÉCIT, MAIS N'ENFILENT PAS LE FIL. »
71	Hm. Elle parle à travers un filtre. Comme si elle traduisait ses mots directement d'une langue ancienne.
72	« C'est quoi ce bordel que tu racontes ? »
73	« C'est très intéressant. Que peux-tu me dire d'autre ? »
74	« <i>Iomestra ?</i> »
75	« LA VÉRITÉ. »
76	« TOUT. ET RIEN. »
77	« L'APPRENTIE LOCALE. CELLE QUI S'EST FONDUE À LA PIERRE. »
78	L'une des huit... comme c'est fascinant. Cela signifie-t-il que l'apprentie-d'Askan est coincée dans les fondations de Norvik ?
79	Une communication si claire et efficace.
80	Cet être ésotérique a pour instruction de ne dire que ce qu'il sait être vrai.
81	Peut-être ne sait-il que ce que savent les livres qui l'entourent ?
82	Quelque chose de semblable serait logique.
83	« NOUS NE FAISONS QU'UNE. AVEC LE FIL. »
84	« LA RARETÉ EST UN TRAIT DÉTERMINÉ PAR CELUI QUI CONTEMPLE. »
85	« Enfin, ouais, mais genre dans <i>ton</i> opinion. »
86	« Mais genre, quel livre ne se trouve nulle part ailleurs ? »
87	« Je vois. »
88	« Mais si tu devais en choisir un, lequel est objectivement le plus recherché et, en termes d'information contenue, le plus difficile à trouver ailleurs ? »
89	« NOUS NE TRANSMETTONS PAS PAR L'OPINION. NOUS VIVONS PAR LE FAIT ÉCRIT. »
90	« NOUS DÉTENONS DES MILLIERS D'ŒUVRES ÉCRITES, QUI NE SE TROUVENT NULLE PART AILLEURS. »
91	« TOI, NON. TU ATTENDS UNE RÉPONSE. »
92	« C'est vrai. »
93	« Tu es un peu difficile pour tenir une conversation, bibliothèque spectrale. »
94	« NOUS DÉTENONS TROIS TOMES, DONT CHACUN POSSÈDE UN NIVEAU D'UNICITÉ ET DE DÉSIR UNIVERSEL PARMI LA POPULACE DE CE PLAN TEL QU'ILS PEUVENT ÊTRE CONSIDÉRÉS COMME LES COPIES LES PLUS "RARES" DE LA COLLECTION. »
95	« SEIZE LEÇONS DE CHRONOMANCIE, DU CHRONOMANCIEN. »
96	« LE CODEX DE LA SAGESSE ULTIME, D'AUTEURS DIVERS. »
97	« ET UNE COPIE DE LA VULGATE, DE SAINT JÉRÔME. »
