idx	french
0	Il y a deux faibles empreintes de patte ici- une de chaque côté du couloir.
1	« Je crois que les pièges comme ceux-ci sont ma partie la moins préférée du boulot. »
2	« Alors... on retente le coup ? »
3	(Hocher la tête et toucher l'empreinte de patte. Encore.)
4	« Non. Non. Non. »
5	Il suit ton exemple.
6	Tandis que tu touches les empreintes de patte, le même texte apparaît sur le mur.
7	<i>ENTRAD EN PAR Y PROBAOS.</i>
8	« Entrez en paire, blabla bla », marmonne-t-il.
9	« On fait vraiment ça ? »
10	(Se mettre en position.) « Allons-y. »
11	Devrais-je en toucher une ?
12	(Presser l'empreinte de patte droite.)
13	(Presser l'empreinte de patte gauche.)
14	J'imagine que je reviendrai voir ça plus tard.
15	Il te lance un regard.
16	Le genre de regard qu'un père lance à son fils quand il apprend la destruction de l'héritage familial - une épée transmise de génération en génération.
17	« C'est un piège, Clerc. »
18	Ça pourrait mal finir, mais...
19	Oui. Le seul moyen de découvrir si elles sont alignées ésotériquement ou non.
20	Ça ne peut pas faire de mal. Ce n'est que la marque qu'un chat a laissée sur ce mur.
21	Ça <i>ne peut pas</i> te faire de mal.
22	Sois juste prêt au pire.
23	Les conneries ésotériques comme ça ont tendance à <i>faire des trucs</i>.
24	Tu ne peux physiquement pas les atteindre toutes les deux en même temps, non.
25	Il te faudrait deux fois la longueur de bras pour ça.
26	Peut-être si tu te déboîtes les épaules.
27	Quoi ?
28	Tu ne peux pas juste faire sauter ces machins de leurs articulations à la demande ?!
29	Devrais-je... vraiment me déboîter les épaules ?
30	D'accord. Triste.
31	<shake><b>NON</b></shake>.
32	Ouais. Pour une fois, écoute vraiment ton petit mal de bidon, d'accord ?
33	Les deux murs semblent si, si éloignés l'un de l'autre.
34	En la saisissant, tu sens un picotement ésotérique le long de ton bras.
35	Mais rien ne se passe.
36	Pas même ton poids entier - pressant contre la pierre - ne pourrait faire quoi que ce soit.
37	« J'ai le sentiment que ce serait un comportement fort idiot que d'aller toucher des <i>empreintes de patte</i> dans la Cité d'En Bas. »
38	« Mais honnêtement ? Vu les étranges pièges dont j'ai entendu parler, ça ne m'étonnerait pas que ce soit une énigme à la con. »
39	« Une énigme à la con ? »
40	« Une énigme ? J'adore ça. »
41	« ...Intéressant. »
42	« Ça pourrait être quelque chose comme... »
43	« On doit presser <i>les deux en même temps</i>. Et ça désactive le piège pour un moment, d'une manière ou d'une autre. »
44	« Ça vaut le coup d'essayer. »
45	« Évitons. »
46	« Ah ouais ? »
47	« Ça se connecte manifestement à... assez près des égouts. »
48	« Mais qui sait ? Ça pourrait être quelque chose de vraiment chouette de l'autre côté. »
49	Il hausse les épaules. « C'est hors de la juridiction HWBT. »
50	« Vu les conneries ésotériques qui se passent ici en bas, il est impossible de dire exactement ce qu'il y a derrière. »
51	« Mais si tu cherches à fouiller plus profond ? Ça pourrait être la voie. Malheureusement. »
52	« Je suppose. »
53	« Qu'est-ce qui pourrait arriver de pire ? À part être polymorphé en Monstre Rouilleur, ou un truc. »
54	« ...Ça n'arrivera pas, si ? » (Se mettre en position.)
55	« Être un homme, c'est prendre des risques. Faisons-le. » (Se mettre en position.)
56	« Ça ne m'arriverait jamais. Je suis trop chanceux. » (Se mettre en position.)
57	« Oh, non. Bien sûr que non, Clerc. »
58	Un sarcasme intense.
59	Un mécanisme de défense.
60	« J'ai entendu que les hommes vivent moins longtemps que les femmes, en moyenne. C'est peut-être pour ça. »
61	C'est un fait, selon le Bureau des Statistiques de la Cité.
62	Le courage face au danger est le signe de la vraie masculinité.
63	Tu ne devrais vraiment pas être ici en bas à la base...
64	Ou du moins rapide sur tes pieds.
65	« J'aimerais avoir ta confiance. »
66	Tu te mets en position, et jettes un regard vers ton compagnon à la patte gauche.
67	Il tend la main vers elle après un moment d'hésitation.
68	« Beurk. Ouais, c'est magique. »
69	Tu le vois frissonner à cette prise de conscience.
70	« Mais rien de plus que ça », dit-il en y mettant tout son poids. « Essaie de presser la tienne. »
71	Juste deux gaillards, pressant le mur.
72	Presse-la avec une intense <b>puissance masculine</b> !
73	(Presser l'autre.)
