idx	french
0	Ouais.
1	C'est une paire de pattes de poulet géantes, sinistrement sombres.
2	Elles ne sont pas de taille géante.
3	Elles sont de grande taille. Possiblement énorme.
4	Des griffes - vêtues d'OMBRES.
5	Tu te retrouves debout entre les pattes de cette étrange hutte de bois.
6	Elles bougent, les longues griffes affûtées comme des rasoirs tapotant la pierre - leur surface n'étant que ténèbres de quelque sort immonde.
7	Flippant.
8	Sympa.
9	Elles ne semblent pas trop réagir à ta présence.
10	Cependant, cet artefact magique est sûrement conscient.
11	La patte de poulet ténébreuse ne réagit pas à ta présence.
12	(La caresser.)
13	« Salut, la <i>griffe</i>. »
14	« Tu ne peux pas parler, je présume ? »
15	« Je peux faire quelque chose pour toi ? »
16	J'imagine que je vais y aller ?
17	Tu donnes quelques tapes à la « patte » droite, et elle ne semble réagir d'aucune manière significative.
18	Elle ne répond pas.
19	Aucune réponse.
20	On dirait que non.
21	Le gobelin te regarde. Puis l'ombre ésotérique.
22	« Non. »
23	« Je préférerais ne pas être transpercé par ce truc. »
24	« <i>Chochotte</i>. »
25	« Je suis d'accord. Tu es malin. »
26	« Ça n'a pas besoin d'être violent. »
27	Ton compagnon gobelin fait un double- non, merde, il fait un triple regard en arrière !
28	Putain de merde !
29	« Tu... »
30	« Tu m'as entendu. Il est temps de te bouger tes miches. Quoi- t'as peur d'une petite patte de poulet ténébreuse ? »
31	« D'accord. Vas-y, alors. » Il te fait une révérence. « Antagonise la <i>hutte-poulet magique aux épées-en-guise-de-griffes</i>. »
32	« Espèce d'enfoiré. »
33	Oh oh.
34	Tu le dois. Un défi doit être relevé, aussi stupide soit-il.
35	Quoi que tu fasses ici, tu vas souffrir.
36	Rassembler le courage de donner un coup de pied dans l'une des pattes de poulet.
37	« Non. Je n'en ai pas envie. »
38	C'est insensé.
39	C'est funeste.
40	Mais tu es maître de ta propre chair.
41	Malheureusement.
42	(Donner un coup de pied dans la patte de poulet.)
43	Tandis que ta botte heurte le flanc de la patte, tu-
44	OH PAR LES DIEUX !
45	Que... qu'est-ce qui se passe...?
46	Tu as reçu un COUP DE PIED.
47	« Que... que... que <i>se passe</i>...? »
48	La patte de poulet t'a botté.
49	Tu t'es fait botter.
50	« Clerc ? Est-ce que tu... est-ce que ça va ? »
51	« Peut-être que je devrais pas dire "ça va". Mais est-ce que tu es en train de mourir ? »
52	« Que... se passe ! »
53	« Oh par les dieux. Je vais juste regarder sous ton heaume, voir si t'as toujours ta tête sur les épaules. »
54	LES QUESTIONS, C'EST BIEN.
55	« D'accord, bon sang ! Calme-toi. »
56	Tu te relèves vite et t'époussettes.
57	Un conseil ? Ne donne pas de coups de pied aux pattes de poulet géantes.
58	Encore une fois. Elles ne sont pas de taille géante.
59	Elles sont de grande taille. Possiblement <i>énorme</i>.
60	« On peut y aller maintenant ? »
61	Ton corps flanche.
62	« Alors ? »
63	Non. Tu ne peux pas.
64	Tu vois la patte de poulet. Les griffes acérées.
65	Tu serais embroché.
66	« ...Non. Je... »
67	Le gobelin lève un sourcil.
68	« Je... je n'en ai pas envie. »
69	« Envie de quoi ? »
70	« Je n'ai pas envie de donner un coup de pied à la patte de poulet. »
71	Il t'adresse un large sourire. Du genre qu'on ne voit pas souvent sur la gueule du gobelin. Puis il ouvre la mâchoire, un seul mot dégoulinant d'une intense animosité s'envole comme le chant d'un Hurleur de Verdune sauvage.
72	« J'imagine que t'aurais dû te bouger tes miches. »
73	Ton âme flanche.
74	Il n'y a nul intérêt à vivre.
75	Plus maintenant.
76	Ton compagnon a ressenti un plaisir intense à te le rendre ainsi.
77	Tant mieux pour lui.
78	« Bien sûr. »
79	« Mais d'une manière ou d'une autre, d'une façon indescriptible, j'ai le sentiment que ça viendra. »
