idx	french
0	Tu fixes la merveilleuse sculpture sur bois.
1	Une représentation d'Urth à son apogée. Un homme, un vrai.
2	Cependant, tu remarques aussi un message gravé dans le socle de l'œuvre.
3	Ce n'était pas l'intention de l'artiste.
4	Il dit « Goblon était là ».
5	Une hérésie. Quel genre d'ingrat profanerait un objet sacré ?
6	« Héh. On dirait que Goblon a encore sévi. »
7	Ton travail sur la statue a effacé le message immonde du socle.
8	Maintenant il ne reste que du bois lisse.
9	Tu tentes de soustraire ton regard aux horreurs de la fissure que tu as causée.
10	Tu as envie de pleurer.
11	Bien. Tu es un monstre.
12	La statue de bois est à jamais marquée par tes mains.
13	Une représentation fidèle d'Urth, après tout. Fissuré et brisé.
14	E-Mon travail est terminé ici.
15	Du vandalisme. Terrible à voir. Si tu avais été là, tu l'aurais arrêté. Sûrement.
16	Quoi qu'il en soit, tu dois devenir plus fort. Pour empêcher cette désintégration de la société de se propager.
17	Du vandalisme. C'est arrivé parce que tu es un homme faible au petit membre.
18	Et le monde entier continuera de se dégrader au fil des siècles à cause de ça. Et c'est pas grave. C'est juste comme ça.
19	« Un artiste célèbre, ce type. Jamais vu, mais t'as forcément vu son œuvre. »
20	« Un peu grossier de juste graver son nom dans la statue comme ça, mais il est connu pour être un peu m'as-tu-vu. »
21	Je n'ai pas un petit membre.
22	Il est toujours petit comparé aux plus grands.
23	La compétition ne finit jamais.
24	La compétition de mesure de bites ?
25	Le gobelin te jette un rapide regard en arrière.
26	« Hein ? »
27	« Il est parfaitement dans la moyenne. »
28	Il plisse les yeux. « Ça fait un moment que tu restes planté là en silence. T'es conscient que j'ai aucun contexte de ce dont tu parles, pas vrai ? »
29	« ...C'est bien, en fait. »
30	« D'accord ? Bien. Continue. »
31	(Se retourner vers la statue.) Bref, où en étions-nous ?
32	La compétition.
33	C'est ça. La compétition de mesure de bites.
34	<b>Oui</b>.
35	Tu devrais voir ça davantage comme une métaphore.
36	C'est probablement plus sain.
37	Pourquoi est-ce que je pense à ça ?
38	Tu es un homme. Tu peux pas juste <i>ne pas</i> y penser.
39	Qui ne pense pas à des bites deux ou trois fois par jour ?
40	La nature phallique de la statue doit l'invoquer.
41	Ce fil de pensée est débile. Ça te va bien, mais débile.
42	Si tu t'inquiètes vraiment tant que ça, il existe des potions et des sorts pour ça.
43	Un homme ésotérique n'a que faire des questions physiques.
44	« Tu le feras pas. »
45	Tu le ferais pas.
46	« Autant j'adorerais te voir essayer, personne ne peut même l'approcher. »
47	« Le type est aussi insaisissable qu'une araignée éthérée. »
48	« Vraiment ? »
49	« Ouais. C'est un vieux monument. C'est bon. Le passé est le passé. »
50	(Contenir tes larmes.) « Ouais. C'est bon. »
51	Il plisse les yeux et hoche la tête, lentement.
52	« Bien sûr. »
53	Goblon est un artiste. Il est techniquement recherché dans la plupart des districts.
54	Tu as vu sa marque à travers la cité de nombreuses fois.
55	Mais personne ne sait même s'il est réel.
56	Il y a peut-être une douzaine de petits gars qui se baladent avec de la peinture et des outils de gravure. Qui sait ?
57	La mort et la décomposition. Comme le reste du monde.
58	Rien que le monde n'ait déjà fait.
59	Oh que oui. Tu nettoies le monde, un message à la fois.
60	Tu n'as presque rien fait. Mais c'est déjà ça.
61	Et comment ! T'as assurément fait du bon boulot. Le seul problème ?
62	Tu l'as fait <i>gratuitement</i>. Comme un concierge d'assistance publique.
63	La prochaine fois, fais un devis.
64	« Les humains aiment vraiment leurs trucs en bois. »
65	« Ouais, beau boulot. Je m'attendais à ce que tu casses le truc en deux. »
66	Mais tu ne l'as pas fait !
67	« Ouais. Une métaphore parfaite. »
68	« Fissuré en deux mais toujours debout. »
69	Le gobelin a raison.
70	Quoique morbidement.
71	Tu le devrais ! Il n'est que juste que le Clerc nettoie un tel gâchis.
72	Est-ce vraiment ton devoir ?
73	Boulot facile !
74	Tu devrais t'inquiéter du travail que ça implique.
75	Il te faudrait prendre ce couteau à graver près des bougies, et...
76	Peut-on confier au Jaune cette importante mission ?
77	Ta foi doit être forte.
78	Tenter de retirer le message « Goblon » de la statue.
79	Est-ce que ça doit vraiment être un truc d'<i>escamotage</i> ? Je peux pas... user du pouvoir de ma foi ou un truc ?
80	Qu'est-ce que tu vas faire, fermer les yeux et prier ?
81	Si tu veux nettoyer ce vieux truc en bois, tu dois le manier avec soin.
82	Non...
83	La prière fonctionne bel et bien. Place juste ta confiance en Urth. Il te guidera.
84	Oui. Ce n'est pas quelque chose que tu peux résoudre avec la foi.
85	Fais confiance à l'artisan qui est en toi.
86	(Faire confiance à ta foi.)
87	(Faire confiance à ta foi.)
88	(Non. Faire confiance à tes capacités.)
89	(Non. Faire confiance à tes capacités.)
90	Oui. Peut-être peux-tu...
91	Non. C'était une mauvaise idée.
92	Voilà l'état d'esprit !
93	Maintenant mettons-nous au travail...
94	Voilà l'état d'esprit.
95	Un état d'esprit peut-être légèrement déplacé, mais bon !
96	Juste. Tes mains sont plutôt tremblantes.
97	Bien. Fais comme tu veux.
98	Tu te mets au travail.
99	En ramassant le minuscule couteau à graver, le même qui a servi à rayer le bois.
100	Tu peux nettoyer ça en un rien de temps...
101	(Passer 10 minutes dessus.)
102	De tes doigts habiles tu retires précisément une couche de la statue.
103	En quelques minutes le message a entièrement disparu.
104	Glorieux. Travail merveilleux.
105	S'accrocher à un dieu mort. C'est triste.
106	Triste ? C'est une tragédie. Mais ça ne veut pas dire qu'on peut oublier son héritage.
107	Un bel ouvrage, voilà ce que c'est.
108	Tu aurais pu être sculpteur sur bois dans une autre vie !
109	Si tant est que ce soit une carrière lucrative, cela dit.
110	ELLE parlait toujours avec mépris des entreprises artistiques.
111	L'une des nombreuses choses sur lesquelles tu n'étais pas d'accord avec ta mère.
112	En saisissant le minuscule couteau à graver, le même qui a servi à rayer le bois.
113	Tu peux nettoyer ça en un rien de temps ! Mets-toi juste au travail.
114	(Se mettre au travail.)
115	Juste un... petit...
116	Un craquement et un claquement.
117	Ce son te hantera jusqu'à ce que la dernière porte se referme.
118	Ce son te hantera jusqu'au jour de ta mort.
119	Tandis que les éclats et la poussière retombent, tes yeux se posent dessus.
120	La fente.
121	« <shake>Bon sang</shake> ! »
122	Tu...
123	Urth est <b>mort</b>, et tu l'as <shake>tué</shake>.
124	Est-ce à ça que ça ressemble, de faire partie d'une culture faible et morte... ?
125	Oups !
126	« Qu'est-ce que... qu'est-ce que j'ai FAIT ?! »
127	Tu as de la poussière dans les yeux. Dans la bouche.
128	Quel raté.
129	Je suis un tel raté.
130	Tu l'es.
131	Tu te souviens comme il t'a hurlé dessus ?
132	Le patriarche ne rigole pas - tu aurais vraiment dû fuir.
133	Fuir les tours ?
134	Oh que oui. Fuir les tours.
135	Bon sang, tu t'es fait prendre à utiliser du papier et des impressions financés par la cité pour écrire des tribunes ERRANTES.
136	Tu as de la chance qu'ils n'aient pas trouvé la douzaine d'autres que tu avais déjà envoyées.
137	<shake>Manquement</shake>.
138	Bjôrn t'a donné une tape dans le dos quand on t'a convoqué.
139	Tu te souviens de son sourire narquois ? Cette raclure a savouré chaque seconde.
140	Une fois le cuisinage terminé, le Patriarche t'a arraché ton rang. Mais il ne t'a pas exilé.
141	Il n'en avait manifestement pas le pouvoir. Dépouiller de son rang un clerc expert en ésotérisme de haut niveau, c'est comme braquer une banque pour rembourser un prêt. Tu vas juste finir avec encore plus de merde sous les semelles.
142	À moins d'être un enfoiré chanceux. Ce que tu es clairement.
143	C'est ça. C'est pourquoi-
144	C'est pourquoi tu fais ce sale boulot de tâcheron.
145	Mais bon, ça pourrait être pire.
146	Ça pourrait être coursier.
147	Le gobelin te tape dans le dos tandis que tu te relèves.
148	« Écoute, c'est juste une statue. »
149	« Personne ne remarquera la, euh, fissure », dit-il en fusillant du regard le <i>ravin</i> massif que tu as causé dans le bois.
150	« Alors t'en fais pas. »
151	(Regarder la fissure dans la statue.)
152	Ouais. Pas de souci.
153	Personne se soucie d'un vieux dieu mort de toute façon.
154	(Geindre.)
155	Ouais... ça ira. Personne ne le saura.
156	Tu contemples le symbole ruiné d'Urth le cœur lourd.
157	Du sang a été versé. Ç'aurait dû être le tien.
158	Ça fait... mal.
159	PEURS. DÉVERROUILLÉES.
