idx	french
0	Tu inspectes la tour, Clerc ?
1	Oui. Il y a des documents qui pourraient s'avérer utiles.
2	Je pensais aller me coucher.
3	Ce ne sera pas long.
4	Cool. Fais ça, je serai là. À t'attendre.
5	T'as quoi, t'es malade ?
6	Si t'es fatigué, lance-toi juste un sort sur toi-même.
7	Tu sais, remonte-toi par les lacets. Ou peu importe ce que les Errants racontent toujours.
8	Tu peux normalement aller te coucher après 20:00.
9	Ouais. Je te crois.
10	Il soupire et regarde ses griffes limées.
11	E-« Très bien. Je vais jeter un œil. »
12	Longue journée.
13	J'ai le sentiment que demain sera encore plus longue.
14	Je rentre. À demain, Clerc.
15	Ça, c'était une journée bien remplie.
16	On dirait que demain en réserve encore davantage.
17	Je te retrouve au matin, Clerc.
18	Journée chargée, hein ?
19	J'ai l'impression que demain ne ralentira pas non plus.
20	Repose-toi. On se voit là, Clerc.
21	Encore une longue derrière nous.
22	Quelque chose me dit que demain s'annonce pareille.
23	Bon, je file. Bonne nuit, Clerc.
24	Voilà. Ça suffit pour aujourd'hui.
25	Et demain... eh bien, on gérera quand ça viendra.
26	Dors bien, Clerc. Je serai dans les parages.
27	J'arrive pas à croire que t'as séché ce rendez-vous avec le Magistrat.
28	J'aime bien, cela dit. Jamais cru qu'un clerc serait aussi anti-establishment.
29	Je suis complètement crevé.
30	Et juste pour vérifier, t'es debout depuis... <i>combien</i> d'heures là ?
31	Je vais bien. Je... vais bien. (Vaciller un peu.)
32	Je ne sais pas, Snell. Je suis très fatigué.
33	Mm-hm. Ouais.
34	C'est pas ce que j'ai demandé. Mais je saisis l'idée.
35	Eh ben, quel <i>drôle de phénomène banal</i> tu fais. À moins que je me sois trompé sur les humains, et que vous puissiez tous vous balader comme des zombies sans sommeil.
36	Il te toise de haut en bas tandis que tu tiens à peine debout.
37	Faut dire, je suis un peu perplexe que t'aies juste raflé une clé comme ça...
38	Et que tu sois parti.
39	C'était souple comme tout.
40	Il est impressionné, mais inquiet.
41	Je ne voulais pas lui parler.
42	Honnêtement, j'ai eu peur.
43	J'étais censé lui parler ?
44	C'est ça.
45	Ben, j'ai le sentiment que ça va te retomber dessus plus tard.
46	Mais t'as vu la tête de Darrow quand t'as juste fait demi-tour et que t'es parti ?
47	Impayable.
48	Bref, je rentre. On reprendra tout ça demain.
49	Tu entends Snell glousser tout seul en s'éloignant.
50	Sacré cinglé.
51	Un terme d'affection.
52	J'arrive toujours pas à en revenir.
53	Enfin, un elfe ? Dans un salon de thé ?
54	C'est comme le début d'une énigme débile.
55	Il grogne et se gratte le menton. « Je déteste les énigmes. »
56	J'ai besoin de dormir. À demain, Clerc.
57	Donc un type invisible qui fume.
58	En route vers le Pilier de Jor.
59	Il secoue la tête.
60	C'est de la connerie ésotérique s'il en est. Mais...
61	Il commence à descendre les marches.
62	Occupons-nous-en demain, Clerc. J'ai le sentiment qu'il nous faudra être bien reposés pour en venir à bout.
63	Dors bien.
64	Tu te tiens seul dans la tour.
65	E-Heure de dormir.
