idx	prefix	english
0		On the wall you see a classic Copper Calendar. 
1		Most households in Norvik have one. Your mom had one that would glow on birthdays. 
2		Every household in the city has one of these. 
3		It's spinning ever so slowly. The outer wheel moves one full step every day. 
4		The middle wheel moves every month. And the inner moves every year. 
5		This one seems special. It keeps track of both the seasons of Askan, Reeds, and Vourgeni, as well as all major Urthfolk holidays. 
6		What day is it? 
7		When's the election? 
8		What's the current month? 
9		What year does it say it is? 
10		(Look closer at the seasons marked around the wheel.) 
11		(Check out the holidays.) 
12		(Look at the marking that says FOUNDING OF NORVIK.) 
13		E-Okay, that's all for now, calendar. 
14		The outer wheel tells you it is March 22nd. 
15		The outer wheel tells you it is March 23rd. 
16		The outer wheel tells you it is March 24th. 
17		The outer wheel tells you it is March 25th. 
18		The outer wheel tells you it is March 26th. 
19		The outer wheel tells you it is March 27th. 
20		The outer wheel tells you it is March 28th or something. You missed the election. Good job, asshole. 
21		In five days. 
22		In four days. 
23		In three days. 
24		In two days. 
25		In one day. 
26		Today. 
27		In the past. 
28		The calendar's middle wheel is showing 'March' as the current month. 
29		That's the third month! 
30		Good. Just making sure. 
31		It is. Well done! 
32		Good of you to keep track. 
33		That means it's still winter in Askan. Yet the weather is incredibly fair. 
34		It has been this way most of your life, but it apparently did not use to work like this. 
35		Back in the day, in the previous era, seasons changed upon their designated days, and not a moment before. 
36		It could apparently cause quite the whiplash. 
37		The inner wheel is very still on the piece of copper saying, '27 POSTWAR'. 
38		It has always been easy to keep track of how old you are, thanks to that. 
39		Who decides when a new era begins? 
40		Since the era is just as old as I am, does that mean I'm <i>the chosen one</i>? 
41		Who decides on the names of the eras? 
42		Good to know. 
43		Jor. 
44		Magically attuned items and time-keeping spells will keep time in regards to the eras. Eras which shift for reasons beyond anyone's understanding. 
45		Anyone's but Jor's, most likely. 
46		So one day all the time keeping spells just magically shift to show a new era? 
47		Very cool. I like magic. 
48		Yes. 
49		Cool. 
50		It is. 
51		It is intriguing, yes. 
52		No. 
53		It is entirely an unremarkable coincidence. 
54		Yes. Obviously. 
55		<b>Of course</b>. 
56		You are not that kind of man... 
57		Maybe in your heart. 
58		The eras have no objective names. 
59		They are chosen by each culture differently. In Norvik, the common era-type is to simply follow the Reedsian common structure. 
60		Which is: Gate Era, ~3 000 years. Fade Era, 1 100 years. Divine Era, 379 years. Arcane Era, 511 years. Postwar Era, 27 years, ongoing. 
61		Gate Era was the earliest era, right? 
62		Fade Era was that time when all the ancient creatures died, right? 
63		Divine Era is a short one. That's the feudal era, right? 
64		Arcane Era was a bit longer. That's when the Arcanists rose and fell, right? 
65		M-And the Postwar Era has just begun. 
66		Yes. From the creation of the Coast by Jor, to the closing of the gates at the end of the Gate War. 
67		More or less. 
68		It was the era when the powerful creatures trapped after the gates shut struggled for dominion, while losing connection with their outer gods. 
69		This was an era of giants, genies, dragons, and great aberrations. 
70		Indeed. While short in comparison, almost four centuries is a long time in times of great change. 
71		This was when mortal walking gods ruled the Coast. When great kingdoms rose and great empires conquered vast lands. 
72		Or, as you say, feudalism and barbaric governments. 
73		It was an era marked by man's power and corruption. 
74		When gods' influence waned in juxtaposition with the might of the esoteric. 
75		We will see how long it lasts. 
76		You will most likely not see its end. 
77		Indeed. 
78		You see the months and seasons marked into the copper plate. 
79		Gorgoni - <i>Vourgeni Summer</i> (6th) 
80		Felteni - <i>Reedsian Spring</i> (1st) 
81		March - <i>Vourgeni Autumn</i> (22nd) 
82		Beltan - <i>Askanii Spring</i> (3rd), Reedsian Summer (1st) 
83		Thisi - <i>Vourgeni Winter</i> (20th) 
84		Thusi - <i>Reedsian Autumn</i> (1st) 
85		Chronus - <i>Askanii Summer</i> (28th) 
86		Ingarmi - <i>Vourgeni Spring</i> (14th) 
87		Eltre - <i>Askanii Autumn</i> (14th) 
88		Soumil - <i>Askanii Winter</i> (7th), Reedsian Winter (1st) 
89		It only mentions three of the Bands. What about the rest? 
90		My birthday is on the 13th of Chronus! 
91		Do I have to keep track of this? 
92		Oh right. Every band's seasons shift on different days. That's confusing. 
93		Okay. Good. Neat. (Look at something else.) 
94		A list of all eight bands would be excessive. 
95		You saw a true season-calendar once. 
96		It was in the Palace Longhall. 
97		The great wheels turned by use of some ancient esoteric force, and every band had its seasons marked clearly on the glowing plates. 
98		A glorious magic item. 
99		It is! 
100		It would be ridiculous for a grown man to not know the names of the months. 
101		Way too many names. Hurts just thinking about it. 
102		Don't worry. No one will ask you to remember the months. 
103		But don't worry, you have never left Askan in your life. 
104		And you never will. 
105		<b>Leva och dô i Askan</b>. That is your fate. 
106		You do so. 
107		You look at the various holidays marked into the copper plate. 
108		Gorgoni - <i>Urth's Passing</i> (7th) 
109		Felteni - <i>Fast of Tûk</i> (17th) 
110		March - <i>Great Migration</i> (5th) 
111		Beltan - <i>Bloodnight</i> (1st), Seven Silence (7th) 
112		Thisi - <i>River Run</i> (3rd), Giant's Crown (23rd) 
113		Thusi - <i>Folk's Feast</i> (15th) 
114		Chronus - <i>Tol's Dance</i> (28th) 
115		Ingarmi - <i>Phoenix Watch</i> (16th) 
116		Eltre - <i>Torna's Flame</i> (14th), The Ascent (26th) 
117		Soumil - <i>Robelight Night</i> (2nd) 
118		The calendar says, 468 ARCANE. 
119		The Arcane Era was 511 years. 
120		Since it is currently the 27th year of the Postwar Era, that means Norvik was founded 70 years ago. 
121		It probably will not reach a hundred. 
122		Don't say that. Don't EVER say that. 
123		Urth's City will live for a thousand years, you blue <shake>KNAVE</shake>. 
124		Keep telling yourself that. If the Arcanists could not reach more than half a millennia, this city has no chance in all the hells. 
125		That, you feel, is guaranteed. 
