idx	french
500	« C'est pas la vérité ou la fausseté qui compte- c'est le contenu ! Le message ! C'est- »
501	« Va i alla hêlveten... » marmonne le nain pour lui-même, en te remarquant approcher.
502	« M. le Citadin. »
503	« J'interromps quelque chose ? »
504	« J'ai ton encre spéciale ici. »
505	« Les journaux n'apportent rien que des frictions. »
506	« Génial. Merci. »
507	La fille lève les yeux au ciel.
508	Elle fait un pas vers toi et attrape vivement le jeu de cartouches d'encre.
509	« Regarde, Alfoz. Le Clerc vient de nous permettre d'atteindre toute la cité. »
510	Elle brandit le papier vers sa face rocheuse. « Ils ont besoin d'entendre ça. »
511	« J'ai eu accès à l'Entrepôt. C'était plutôt dur, j'ai dû- »
512	« Tu sais à quel point le Palais adorerait voir un article pareil ? »
513	« Ne me mets pas dans une position où je dois demander aux Contremaîtres de renier le Chant ! »
514	« Contre-<i>gens</i>. »
515	« <b>Bah</b> ! »
516	Interviens. Résoudre ce conflit sera une belle conclusion à cette quête de récupération.
517	« J'ai le sentiment que je dois intervenir ici. »
518	« Vous avez l'air de bien gérer ça, tous les deux. »
519	« Je devrais peut-être partir. » (Ne pas y parvenir.)
520	« Ah bon ?! » gronde le nain.
521	Puis il prend une profonde inspiration, se frottant les yeux.
522	« Je m'excuse. On a un différend. »
523	« J'ai l'habitude. »
524	« J'essaie juste de- » marmonne-t-il.
525	« M. le Citadin. Je vous en prie, éclairez-nous. Que dit la loi sur l'incitation criminelle ? Précisément dans les médias imprimés ? »
526	C'est un dédale de règles. Peu d'entre elles bien écrites.
527	En pratique c'est toujours un « ça dépend ».
528	Rien que d'y penser, ça te donne mal à la tête.
529	« Donnez-moi un exemple concret. »
530	« Tu crois que <i>moi</i>, je connais la loi ? »
531	« Ça dépend de qui l'applique. Et sur qui on l'applique. »
532	« En général je crois pas que la cité en serait très contente. »
533	« Je suis sûr qu'ils s'en accommoderaient. »
534	« Genre, et si quelqu'un imprimait un journal appelant à un soulèvement violent ? »
535	Il grogne. « On peut l'espérer ! »
536	« Ah. Alors j'imagine que cette zone grise serait un merveilleux endroit où mourir. »
537	« Tu vois ? »
538	Il ricane. « Tu en es sûr ? »
539	« Regarde, Alfoz. Regarde où on en est ! »
540	« Je suis dans un <i>placard</i>, avec cette putain de machine ésotérique bordélique qui me souffle de l'air chaud dans le train ! »
