idx	french
0	« Halte, humain. »
1	Une bête poilue, te dominant de toute sa hauteur. Son visage tordu en un froncement sévère (et probablement permanent).
2	« Ne va pas plus loin. »
3	C'est un gobelours.
4	Ils sont plus courants à l'ouest, vivant dans les terres rudes entre Fordnip et la VK.
5	Cette <i>femme</i> n'a nul pouvoir sur toi.
6	Ne la laisse pas se dresser sur ton chemin.
7	Oui. C'est clairement une femelle. Une <i>vraie</i>, capable d'une terreur au-delà de ta vue et de ton ouïe.
8	« Bonjour, <i>femme</i>. »
9	« Je n'aime pas ton ton. »
10	« Comment allez-vous ? »
11	« Pourquoi vous tenez-vous ici en bas ? »
12	« Êtes-vous une sorte de monstre de donjon ? »
13	Elle renâcle vers toi.
14	« Je n'aime pas ton ton, <i>chose-humaine</i>. »
15	« Hein. J'allais justement dire la même chose. Sans le commentaire sur la "chose-humaine". C'est plutôt intéressant. »
16	(Se racler la gorge.) « Vous vous portez bien ici en bas ? »
17	« Quoi ? »
18	« Qu'est-ce que tu baragouines ? »
19	« ...Je ne suis pas sûr. »
20	Elle te foudroie du regard.
21	« De quoi parlions-nous ? »
22	« Tu n'as pas le droit de passer ! Recule. »
23	« Vous vous portez bien ? »
24	« Je ne t'aime pas. »
25	« Maintenant, recule ! »
26	Elle t'adresse un regard perplexe, et fait des gestes dans plusieurs directions.
27	« Je travaille ! Va-t'en. »
28	Elle ricane. « Oui. Maintenant <b>recule</b> avant que je ne t'écrase la face. »
29	« Moi, <b>Moongore la Rigide et de la HWBT</b>, l'exige. »
30	Le gobelours pose une main sur son arme.
31	Un morgenstern. Méfie-toi.
32	Un morgenstern. Est-il pour toi ?
33	Un morgenstern ? Non, c'est clairement juste une masse cloutée.
34	Je crois que le terme est masse « à ailettes ».
35	Attends, laquelle a la boule-sur-une-chaîne, et laquelle a la boule-sur-un-bâton ?
36	UN GOURDIN.
37	Fais simple.
38	Elle ne s'en servira pas.
39	Elle garde bien la main dessus.
40	« <i>Humain</i>. »
41	« Tiens-toi à carreau. C'est un territoire Halfway. »
42	Elle remarque Snell avec toi, et lui adresse un signe de tête.
43	« Coursier. »
44	« Salut, Moongore. Ça va ? »
45	« Ça va. »
46	Elle hoche la tête dans ta direction. « C'est ton clerc ? »
47	« On dirait bien, ouais. »
48	« Je le croyais plus grand », dit-elle avec un ricanement.
49	« Où est ton Coursier ? »
50	« Tu ne devrais pas explorer la Cité d'En Bas seul. Tu seras détruit. »
51	(S'incliner.) « Je suis Le Clerc. Enchanté. »
52	Snell te regarde comme si tu étais fou.
53	« Hein. J'allais justement dire la même chose. Sauf le commentaire sur la "chose-humaine". C'est plutôt intéressant. »
54	« Et je ne t'aime pas. »
55	« Je ne crois ni en toi, ni en ta faible carcasse. »
56	« Tu devrais aller chercher ton gobelin. »
57	« Moongore garde les Racines. »
58	« C'est notre <i>championne des profondeurs</i>. »
59	Elle grogne. « Nul monstre ne montera. Pas tant que je <b>respire</b>. »
60	« ...Sérieuse comme toujours. Content de le voir. »
61	Elle renâcle. « Je suis Moongore la Rigide. Servante de Dame Sageleaf. »
62	Le gobelours pose une main sur son arme.
63	« Ne cause pas d'ennuis. »
64	Attends, laquelle est la boule-sur-une-chaîne, et laquelle est la boule-sur-un-bâton ?
65	On fait simple. Super.
66	« <i>Toi</i>. Humain heaumé. »
67	« Tu ne passeras pas, chose-humaine heaumée. »
68	« Nul besoin de ça. Puisque je n'ai nul besoin de passer. »
69	« ...Vous êtes sûre que vous ne pouvez pas me laisser passer ? »
70	« Qui sers-tu ? »
71	« Puis-je vous poser quelques rapides questions ? »
72	« Puis-je poser quelques questions plus... <i>personnelles</i> ? » (Tenter de flirter.)
73	« D'accord. Salut. »
74	« Bien. »
75	« Oui. »
76	Elle grogne. « Je ne le recommande pas. »
77	« Il y a des pièges diaboliques disposés le long de ces salles. »
78	« Et n'entre pas dans les cryptes. Il y a un gardien mort-vivant. »
79	« Un mort-vivant ? Mais c'est le genre de trucs dont je m'occupe ! »
80	« Toi ? Non. Je ne crois pas que tu puisses affronter un guerrier mort-vivant tout seul. »
81	« ...Vraiment ? »
82	« Enfin. » Elle te toise de haut en bas.
83	« Je suis impressionnée. Moins de choses pour nous inquiéter. »
84	OUI...!
85	« Assez impressionnée pour me laisser passer ? »
86	« Non. »
87	« Zut. »
88	Elle renâcle. « Je travaille pour les Halfways. Je sers Dame Sageleaf. »
89	« Alors je dois lui demander la permission si je veux passer ? »
90	« Je travaille pour les Halfways aussi. »
91	Elle plisse les yeux, et réfléchit quelques secondes.
92	« Oui. Si elle te donne la permission, je te laisserai passer. Mais je ne crois pas- »
93	Elle s'arrête au milieu de sa phrase.
94	« Non, en effet. Je- »
95	Elle s'arrête au milieu de sa phrase, et te plisse les yeux.
96	« Es-tu un clerc ? »
97	« Je suis <b>Le</b> Clerc, oui. »
98	« Plutôt un magicien, en vérité. Mais soit. »
99	« Je me vois plutôt comme un fringant roublard, personnellement. »
100	« Pourquoi ? »
101	« Je ne connais pas la différence. Je m'en fiche, franchement. »
102	Une simplette. Comme c'est triste.
103	« Un fringant...? Non. Tu es clairement un clerc. »
104	Si méprisante.
105	« Hm. Un truc de musique magique ? »
106	« Je travaille sur les deux. »
107	« Hein. »
108	Elle ricane.
109	« Hm. »
110	« J'ai entendu qu'un clerc avait été envoyé. À cause de l'explosion. »
111	« Pourquoi es-tu ici en bas ? Le Dragon attend ! »
112	Un <b>QUOI</b> ?!
113	(Regarder autour, frénétiquement.) « <b>Où</b> ?! »
114	« Je suis désolé, je me suis juste en quelque sorte retrouvé ici. »
115	« Je ne suis pas les ordres. Même s'ils viennent d'un dragon. »
116	« Je ne sais pas trop où aller. Je suis assez perdu. »
117	Elle grogne, bruyamment.
118	« Espèce d'<b>idiot</b> ! »
119	Dur mais vrai.
120	J'aime bien ce gobelours. Elle te comprend bien.
121	« Je parle de Dame Sageleaf ! De la Tribu du Pont Halfway ! »
122	« Quoi ? Comment ?! »
123	« On n'entre pas comme ça dans la Cité d'En Bas ! »
124	« C'est comme ça que les idiots se font tuer. »
125	« Pas <i>un</i> dragon. <i>Le</i> Dragon. »
126	« Elle te mangera tout entier si tu ne t'y dépêches pas. Tout de suite. »
127	Elle secoue la tête et soupire.
128	« Monte les escaliers. Le tunnel des pommes est généralement verrouillé, alors tu devras quitter la maison-liche en montant tout en haut. »
129	« ...Le tunnel des pommes ? »
130	(La laisser parler.)
131	« Silence ! »
132	« Tu montes les escaliers, d'accord ? »
133	« Après ça, tu vas vers le sud. Traverse l'herbe. Il devrait y avoir un gobelin de garde. »
134	Écoute-la.
135	« Juste à l'entrée du Jardin. Parle-lui. Es-tu capable de suivre ces instructions ? »
136	Traite-la avec respect. C'est clairement une femme puissante.
137	M'dame.
138	« Oui, madame. »
139	« Oui, m'dame. »
140	« Possiblement. »
141	« ...Je peux l'entendre à nouveau ? »
142	Le gobelours s'arrête et te regarde avec une rage sauvage dans les yeux.
143	« Alors <b>va</b> ! »
144	Son rugissement te fait sursauter.
145	Elle tend la main, agrippant ton uniforme.
146	Elle te tire tout près, hurlant dans ton visage : « <b>En haut des escaliers, à travers le parc, jusqu'au Jardin</b> ! »
147	Elle est aux commandes.
148	Merveilleux.
149	Beurk. Tu as de la bave de gobelours partout sur le visage.
150	<b>Génial</b>.
151	Puis elle te lâche, avant de reculer d'un pas.
152	« Va. Maintenant. »
153	« Non ! »
154	Elle est, en effet, dégoûtée par toi.
155	Pas nécessairement un problème.
156	« Je ne te divertirai pas d'une réponse. »
157	« Maintenant <b>pars</b>. »
158	« J'ai quelques questions sur le jour de l'explosion du salon de thé. »
159	« C'est comment de travailler pour la HWBT ? »
160	« Vous avez l'air d'une grande guerrière... et <i>femme</i>. » (Tenter de flirter.)
161	(Hocher la tête et partir.)
162	« Je m'en suis rendu compte. »
163	Elle a l'air furieuse.
164	Compréhensible.
165	« Vous n'allez pas me frapper ni un truc ? Peut-être mordre ? »
166	« C'est un joli bouclier. »
167	« Je le récupérerai. »
168	« Pour l'instant, mon allégeance à Dame Sageleaf m'interdit de <shake>t'écraser les os</shake>. »
169	« Je recommande de ne pas tenter ta chance davantage. »
170	Oh, seigneur Urth. Voilà la vie.
171	C'est tout l'intérêt.
172	Tu as eu de la chance ! Chouette.
173	« ...UN TROLL ? »
174	La femme poilue t'adresse un sourire mauvais.
175	« Je dirais que tu mens, mais je ne crois pas que tu en sois capable. »
176	Ça va sûrement aider.
177	« Il a effectivement tué un troll. Techniquement parlant. C'était juste- »
178	« <i>Silence</i> », l'interrompt-elle.
179	Elle hoche la tête dans ta direction.
180	« Bien joué, humain. Je trouve tes <i>talents</i> hautement excitants. »
181	« ...<i>Oh</i>. »
182	« Merci, je les ai faits moi-même. »
183	(Rester silencieux et sourire en coin comme un dément à l'intérieur de ton heaume.)
184	(Rester silencieux et sourire en coin comme un dément à l'intérieur de ton seau.)
185	(Rester silencieux et sourire en coin comme un dément à l'intérieur de ton pot.)
