idx	french
0	Les gars t'accueillent d'un grognement et d'un marmonnement collectifs et hésitants.
1	« Hé ! Ouah. Un clerc, hein ? »
2	« Vous êtes de la milice ? »
3	« Beau petit truc que vous avez là. »
4	« Pourquoi traînez-vous ici, les gars ? »
5	« Identifiez-vous. »
6	Le gamin blond secoue la tête.
7	Il sourit. « Merci, Clerc ! »
8	« Traîner ? Euh. C'est une réunion. Une réunion importante ! »
9	« Bien sûr ! »
10	« Je suis Rollo », dit le gamin blond en s'inclinant. « Rollo Malach ! À votre service. Avec moi ici il y a Nisse, Stenbusken et Toli. Nous sommes membres de la Résistance Norvikienne, un mouvement pour- »
11	« Urth-Nisse. C'est mon nom complet. »
12	« Ouais, bien sûr. Bref, ravis de faire votre connaissance, Clerc ! »
13	« <i>Une bande de larpeurs</i> », te chuchote le gobelin.
14	« Clerc ! »
15	« Génial de vous revoir ! »
16	Il fait un salut poing-sur-la-poitrine mal exécuté.
17	(Rendre le salut.)
18	« Vous avez rejoint la Garde-d'Urth ? »
19	« Qu'est-ce que vous faites ici, les gars ? »
20	Il t'adresse un sourire niais.
21	« Euh. Non ! »
22	« On mène le bon combat pour la cité, cela dit. Notre cité. »
23	Il fait un geste vers toi et lui.
24	« Une réunion ! On se retrouve d'habitude ici pour planifier, et partager des informations. »
25	« Vous nous rejoignez juste à temps, on allait justement faire l'appel. »
26	« Vous êtes libre de vous joindre à nous ! Ce que vous avez fait en bas à Waterlane a été <i>très</i> utile. »
27	« Et même si c'est une victoire temporaire, virer cette crasse des rues de Tolstad, c'est un sacré exploit. »
28	« Vous êtes une véritable source d'inspiration. »
29	« Clerc. »
30	Il te fait un lent hochement de tête.
31	« Vous vous amusez bien ici, les gars ? »
32	« Vous êtes prêts à rejoindre la Garde-d'Urth ? »
33	« Vous ne causez pas d'ennuis ici, si ? »
34	« Ouais ! Enfin, non. On tient une réunion. Une réunion importante ! »
35	« Non ! Euh. On tient une réunion. Une réunion importante ! »
36	« En fait, vous nous rejoignez juste à temps pour l'appel. »
37	« Bon, je dois dire, je suis pas exactement à cent pour cent d'accord avec la façon dont vous avez tout réglé en bas à Waterlane, mais... »
38	« Je respecte immensément votre travail. Travailler pour la cité doit être incroyablement exigeant. »
39	« Quelle célébrité », te chuchote le gobelin avec un gloussement.
40	« Arrête de lécher des bottes. Tiens juste la réunion. »
41	« Ouais, je suis génial. Maintenant fais ton appel. »
42	(Se contenter de hocher la tête et attendre qu'ils commencent.)
43	« Euh. Bien. »
44	« Oui ! D'accord. »
45	« Oh », articule le gamin en te fusillant du regard.
46	Il est terrifié.
47	Le moment d'asseoir ta domination.
48	« Qu'est-ce que vous faites ici ? »
49	« Je suis là pour vous massacrer, les gars. »
50	« C'est ma question. Vous traînez ici, ou quoi ? »
51	(Regarder autour.) « C'est une sorte de secte ? »
52	« Q-quoi ? »
53	Il regarde ses potes, les yeux écarquillés.
54	« Une blague. »
55	« Pas maintenant. Plus tard. »
56	(Se contenter de les fixer.)
57	« Euh. D'accord ? On allait justement... tenir une réunion. »
58	« Une secte ?! »
59	« Non ! C'est une... réunion. Une réunion importante ! »
60	Il regarde Stenbusken, qui lui répond d'un haussement d'épaules.
61	« Oh dieux, ça sonne comme une secte. Ça n'en est pas une, promis ! »
62	« Vous pourriez... partir ? »
63	« <b>Non</b>. »
64	(Le fusiller du regard et respirer lourdement.)
65	« Quoi, vous êtes en colère contre moi ? »
66	Tu le vois jeter nerveusement un œil à ses amis qui restent assis en silence, tentant de ne pas croiser ton regard.
67	« C'est juste que... écoutez, vous nous avez vraiment mis dans la merde à Waterlane. »
68	« On avait bossé dur pour mettre un terme à ce journal illégal. »
69	« Pour la cité ! »
70	« Votre organisation est tout aussi illégale. Ou du moins tout aussi dans la zone grise. »
71	« Vous leur avez volé et vous avez tenté de brûler leur dur labeur. »
72	« C'était un choix difficile. »
73	« J'aurais dû trancher en votre faveur. C'était une honnête erreur. »
74	« Eh bien, je... ne suis pas d'accord. »
75	« On est juste un club politique. Eux, c'est un... journal sans licence. »
76	« Un club ? Appelé "la résistance" ? »
77	« C'est un argument qu'on peut avancer. »
78	« Je m'en fiche. Vraiment, vraiment je m'en fiche. »
79	« La Résistance Norvikienne. Et oui. »
80	« Ça l'est. Et je le ferai. »
81	« C'est... exactement ce genre d'attitude qui met cette cité à terre ! »
82	« On a saisi de la contrebande, plutôt. »
83	« Bon. C'était le mauvais choix, si vous voulez mon avis. »
