idx	french
0	Enchâssée sur cet autel, tu vois une dalle de pierre circulaire.
1	Quiconque a exploité ce site de relevé par le passé a tenté de la placer dans sa position naturelle.
2	Elle a été calée. C'est un site de relevé.
3	Elle te rappelle un calendrier de cuivre. Mais bien, bien plus ancien.
4	C'est une Carte-Lune, laissée par les barbares Whitemane de l'Ère Divine.
5	Elle ne tourne pas. Elle n'a pas tourné depuis des siècles.
6	Pourtant, en approchant ta main - tu LA PERÇOIS. Le plus ténu bourdonnement de pouvoir ésotérique, pulsant à travers les glyphes.
7	Elle mesure encore le temps. Même avec son mécanisme FÊLÉ.
8	Les divers glyphes à la surface ne dénotent pas une langue, mais plutôt des sigils, semble-t-il.
9	(Déchiffrer le jour actuel.)
10	(Laisser le cercle de pierre tranquille.)
11	Tu ne peux pas faire ça.
12	Elle est clairement cassée.
13	Non.
14	Ça ne sert à rien. Elle est cassée.
15	Oh.
16	Oui. C'est un morceau de technologie inutile - si tu juges qu'il est digne d'un tel terme.
