idx	french
500	« J'avais quelques renseignements, bien sûr. Nous avions déjà été en contact avec cette courtière en informations. »
501	« Mais nous étions prudents. Elle était liée à la fois aux radicaux d'Illym et d'Azgal. Une combinaison effrayante. »
502	« Et vu la nature de son contact avec nous... et nos précédentes discussions... »
503	« Ma supposition, c'est qu'elle essayait de s'enfuir. »
504	« Quelque chose que les Errants pouvaient faciliter. »
505	« Une fuite en échange d'un artefact. »
506	« Lisa a manqué la réunion. »
507	« Que savez-vous d'autre sur la courtière ? »
508	« Possiblement. »
509	« Cela dépend entièrement de sa négociation. »
510	« Dommage que ça n'ait pas abouti. »
511	« Oui, j'étais au courant. »
512	« Toutes mes excuses de ne pas vous l'avoir dit plus tôt, ça a dû me sortir de l'esprit. »
513	« Mais d'après ce que je sais, elle dit la vérité. Elle est arrivée en retard à la réunion, de quelques minutes, et ça lui a sauvé la vie. »
514	« La vie n'est-elle pas étrange parfois ? »
515	« Jamais vu son visage. Je ne connais pas son nom. »
516	« J'ai entendu que Lisa était une amie à elle, il y a un moment. Je ne fais pas trop dans les ragots, alors je ne sais pas pourquoi elles se sont brouillées. »
517	« Mais c'est tout. »
518	Elle hoche la tête. Lentement.
519	« Je m'en doutais. »
520	« Bien sûr, je n'avais aucune connaissance explicite. Alors ne croyez pas que j'essayais de vous cacher quoi que ce soit, Clerc. »
521	« Mais je suis véritablement horrifiée par cette issue. »
522	« Dites-moi ce que vous savez, alors. »
523	« C'était une elfe d'Illym qui vendait des informations sur ses "amis". »
524	« Nous lui avons acheté des infos sur les Azgals par le passé. »
525	« Un petit lynx traître. C'est l'impression que j'ai eue, sans jamais l'avoir réellement rencontrée. »
526	« Mais je suis sûre qu'elle était très persuasive et charmante. Les espionnes le sont d'ordinaire. »
527	« S'il n'en tenait qu'à moi, elle n'aurait jamais approché d'obtenir une réunion avec notre organisation. Mais hélas... »
528	« C'est tout ce que vous savez ? »
529	« J'en ai bien peur. »
530	« Ma suggestion serait de parler aux Azgals. Ils devraient en savoir plus, si vous arrivez à les faire jacasser. »
531	« Oh, ils le feront. »
532	« Vous savez à quel point je suis charmant. Ce sera facile. »
533	« Bien sûr. »
534	« Bien sûr, Clerc. »
535	Elle hoche la tête et regarde l'horloge.
536	Le signal universel de « On peut conclure ? »
537	« Non. Ils sont restés vagues. »
538	« Ce qui d'ordinaire signifie que c'est une arnaque. Mais dans ce cas-ci... »
539	« Je pense qu'il s'agissait possiblement d'un objet très dangereux. Un que les Askanii-Reeds voudraient récupérer à la fois pour des raisons pécuniaires- mais aussi au nom de la sécurité norvikienne. »
540	« Pourquoi pensez-vous que c'était dangereux ? »
541	Elle émet un bref rire.
542	« À cause de la façon dont ils l'ont nommé. »
543	« Chaque fois que quelqu'un emploie le terme "artefact" au lieu d'"objets magiques", il s'agit généralement bien d'un. »
544	« Bien sûr. Je vous souhaite bonne chance dans votre enquête, Clerc. »
545	« Un oiseau visqueux. Mais il est bon dans son travail. »
546	« Que sait-on de lui ? »
547	« Que savez-vous de lui ? »
548	« Laissez tomber. Une autre question. »
549	« C'est un Yobu. Il parle à travers ces voix d'imitation. »
550	« Nous avons travaillé avec lui par le passé. Il y a eu un genre de conflit sur la propriété de son bien à un moment. Avec le HWBT. »
551	« Ça s'est réglé. »
552	« Aucune idée. »
553	« C'est... »
554	« Pas trop surprenant. Un peu agaçant, cela dit. »
555	« Alors c'est ce qu'il croyait que c'était. »
556	« Écoutez. Clerc. M. Drummer entretenait une relation tendue avec la Compagnie Marchande Askanii-Reeds. »
557	« Il louait un espace dans l'une de ses arrière-salles. Une pièce qui se trouvait être plutôt incognito aux yeux du HWBT. »
558	Elle adresse un signe de tête à ton compagnon.
559	Il ricane.
560	« S'il avait quelque affaire inavouable en cours dans ce commerce qui est le sien, alors l'AR n'y est pas impliquée, je vous l'assure. »
561	Elle relève la tête et plisse les yeux.
562	« Êtes-vous certain de vouloir mettre les pieds sur ce terrain, Clerc ? »
563	Le gobelin ricane à côté de toi.
564	« Réflexion faite, non. Évitons. »
565	« J'ai besoin de réponses, Agente Viira. »
566	« Homme avisé. »
567	« Oh, vraiment ? »
568	« Je suppose que c'est votre prérogative. »
569	« Il avait bien quelque dette liée à l'AR, mais je suis sûre que nous pourrons la recouvrer à une date ultérieure. »
570	Elle sourit.
571	« Oh », articule-t-elle en parcourant le document.
572	« Comme vous êtes impitoyable. Bien joué. »
573	« Il détient bien quelque dette liée à l'AR, alors ceci rendra la gestion de ce problème précis beaucoup, beaucoup plus facile. »
574	« Comme vous êtes serviable, Clerc. Continuez ainsi et vous pourriez finir avec une distinction de la compagnie. »
575	« C'est bien, ça ? »
576	« C'est ce qui est juste. »
577	« C'est très bien. Croyez-moi. »
578	« Oh, à coup sûr... »
579	Elle rit. « Oh, je n'oserais pas penser ça. »
580	« Mais l'AR vous remercie. »
581	« Bon. »
582	« Comme vous pouvez l'imaginer, bien des marchandises pas-si-légales sont échangées à travers la juridiction de la cité chaque jour. »
583	« Parce qu'il y a des acheteurs. Et là où il y a des acheteurs, le capital arrivera pour les satisfaire. »
584	« D'une manière ou d'une autre. »
585	« La Compagnie Marchande Askanii-Reeds ne s'engage pas dans de tels échanges. Évidemment. Cependant, la cité nous a chargés de surveiller ces routes illégales. »
586	« Conformément à la répression des entreprises commerciales des syndicats du crime. »
587	« Si la cité devait les fermer entièrement, comme elle l'a fait par le passé, elles resurgiraient, portées par des syndicats malfaisants, incontrôlés. »
588	« Au lieu de ça, nous veillons à les garder sous contrôle, via des acteurs privés. Votre ami M. Drummer est l'un de ces acteurs. »
589	« Il y a d'autres opérations de contrebande comme la sienne ? »
590	« Vous savez qu'il déplaçait des marchandises illégales ? »
591	« On dirait que c'est vous, le syndicat du crime. »
592	« Beaucoup, oui. Nous les avons tous à l'œil. »
593	« Bien sûr. Pour la sécurité de la cité. »
594	« Un commentaire un peu grossier, mais je vais mordre à l'hameçon. »
595	« Sans la CM Askanii-Reeds, la cité serait incapable de suivre la trace des monceaux de slush de pixie, de potions prohibées, de puissants parchemins de sorts, et parfois de <i>gens</i>, qui transitent en contrebande par ses ports. »
596	« Nous veillons à ce que rien de trop terrible ne passe. C'est un secret de Polichinelle, je vous l'assure. »
597	« J'espère que cela ne change pas votre opinion sur votre affaire ici. »
598	« Oui. C'est vous, le syndicat du crime. Vous tous, les Errants. »
599	« Non. Nous faisons de bonnes affaires ici. Je devais juste vérifier les détails de ceci. »
600	« Vous faites du bon travail ici. Continuez à protéger la cité. »
601	« Je n'ai aucune opinion là-dessus. Je devais juste demander. »
602	« Je suis désolée que vous le ressentiez ainsi. »
603	« Bien. Et oui, je suis d'accord, c'est bien de votre part de suivre ces zones d'ombre. »
604	« D'accord ! »
605	« J'apprécie cette attitude, à coup sûr ! »
606	Elle sourit et incline la tête.
607	Elle sort son carnet.
608	« Avez-vous livré les documents ? »
609	« Je crois. »
610	« Hm ? » Elle lève les yeux de ses notes et hoche la tête. « Bien- je vais juste attendre des nouvelles des signataires dans ce cas. »
611	« Ça devrait être imminent ! »
612	Il faut en fait que tu fasses signer les papiers à quelques personnes, à ce qu'il paraît.
613	Trois entrepreneurs locaux, c'était ça ?
614	Ça pourrait être un défi. Mais on verra.
615	Ça devrait être facile !
616	« Bien sûr ! On pourrait arranger ça. »
617	« Ça prendrait un peu de temps, bien sûr. Habilitation de sécurité, et tout. »
618	À moins que tu-
619	« À moins que... »
620	« À moins que ? »
621	« Je suppose que ça pourrait être accéléré, si vous m'aidiez dans l'affaire dont je m'occupe en ce moment. Cela vous intéresserait-il ? »
622	« Je peux écouter. »
623	« Hm. Bon, d'accord. »
624	« Alors on pourra parler de l'entrepôt plus tard- peut-être une semaine environ après l'élection ? »
625	Elle demande qu'on lui gratte le dos. Pour se faire gratter le dos en retour, tu piges ?
626	Va juste dans son sens.
627	« Peut-être que j'ai bien un peu de temps. »
628	Elle a l'air imperturbable.
629	« Parfait ! »
630	Elle se dirige vers un tiroir, et en sort plusieurs papiers.
631	« J'ai une tâche parfaite pour un clerc robuste comme vous. »
632	Ouais, c'est le cas.
633	Elle te fourre les documents jaunes dans la main.
634	« Des AEFA. »
635	Ah, cool.
636	Tout bon entrepreneur les connaît.
637	« Un Accord Économique Errant. »
638	« Un quoi ? »
639	« Aféa ? »
640	« C'est bien ça ! »
641	« Un Accord Économique Errant <i>Askanii</i>. »
642	« Nous n'avons pas pu les distribuer jusqu'ici, pour un certain nombre de raisons juridiques qui sont en train d'être balayées une fois que nous - si nous - obtenons une bonne position dans le futur gouvernement. »
643	« Alors en préparation, nous ouvrons des discussions avec un certain nombre d'entrepreneurs locaux. »
644	« Les faire distribuer par un clerc officiel rendrait cependant le processus beaucoup plus officiel, l'accélérant grandement. Du moins nos chiffres semblent indiquer que les gens sont bien plus conciliants envers les officiels de la cité qu'envers notre propre personnel. »
645	« Je suppose que vous devinez pourquoi. »
646	« Ouais. Les Errants font peur. »
647	« Vous voulez que je distribue des tracts ? »
648	« Horrifiant, vraiment. »
649	Elle hausse les épaules. « Oh, moi non plus. »
650	« Oh non. »
651	Elle tapote les documents dans ta main.
652	« Ce sont des documents juridiques exposant chaque clause de l'AEFA locale. »
653	« Des conditions très généreuses. Qui assisteront grandement les corporations locales en matière de croissance, de revenus et de stabilité. »
654	« Nous ne sommes pas que du vent, vous savez. Nous soutenons réellement l'infrastructure et les commerces locaux. Assez lourdement. »
655	« Et la première étape est d'amener ces commerces à réellement rejoindre notre Accord. »
656	« Vous voulez que je distribue... des contrats ? »
657	« Je vais y réfléchir. »
658	« Je vais le faire ! »
659	« Oui. Surtout pour qu'ils y jettent un œil. »
660	« Merveilleux. »
661	« Une fois trois commerces de Tolstad couchés sur le papier, nous aurons atteint notre quota d'avant-élection. Ça rendra mes patrons très heureux. »
662	« Ça me rendrait très heureuse. »
663	« Trois commerces, hein ? »
664	« Oui. Bien sûr, si vous voulez les livrer à davantage... allez-y ! »
665	« Les commerces doivent être établis, mais pas nécessairement enregistrés. Si vous n'êtes pas sûr, vous pouvez les distribuer quand même. »
666	« De tête, je peux recommander de visiter la Maison-Liche de Visken et le Sphinx Ivre, bien sûr. »
667	« Mais je suis sûre que vous pouvez en trouver d'autres... »
668	Elle fait un clin d'œil.
669	« Revenez une fois que vous les aurez distribués ! Je veillerai à vous rendre la pareille. »
670	« Oh ? »
671	Ne le fais pas. Ils détruiront tout ce sur quoi tes amis azgalistes ont travaillé.
672	Ils réalisent une impression illégale. Dans un immeuble d'habitation.
673	Il faut y mettre fin.
674	« Je connais l'emplacement de la presse d'impression azgale. Celle qui imprime Le Chant. »
675	« ...Laissez tomber. »
676	« Si mystérieux. »
677	« S'il vous plaît- dites-moi. »
678	« C'est dans l'appartement de Simii. Un des Azgaliens travaillant pour le Contremaître Alfoz. Ils ont tout un repaire là-dedans. »
679	« Eh bien, ça sonne très illégal. »
680	« Ça l'est. »
681	« Hm. Oui, c'est là une très bonne information. Très, très bonne en fait... »
682	Elle attrape un petit carnet à côté d'elle, et se met à le noter.
683	« Merci beaucoup de nous en avoir informés, Clerc. Je veillerai à m'en occuper. »
