idx	french
0	Tu t'approches d'une boule de plumes, d'ailes et de griffes vraiment, vraiment acérées.
1	Une créature magnifique.
2	Dommage qu'il soit clairement suralimenté.
3	C'est grossier. Le pauvre oiseau-chat a une morphologie unique, et nous devrions célébrer cela.
4	S'il pouvait te comprendre, bien sûr.
5	Les bêtes magiques peuvent parfois comprendre le commun de base. Tu pourrais essayer de lui parler.
6	C'est un griffon, non ?
7	C'est un griffon. Une bête magique plutôt intelligente.
8	Il te faudra Communication avec les Animaux pour communiquer correctement, bien sûr.
9	Lance simplement Communication avec les Animaux. Ça devrait atténuer la douleur de la négociation.
10	Tu vois une flaque de bave se former sous le bec ouvert de la bête.
11	Il dort.
12	Attends, regarde derrière lui.
13	Oh. Attends. N'est-ce pas...
14	Il y a une entrée vers l'Entrepôt sur l'autre toit. Si tu veux entrer, il va falloir passer devant ce gaillard.
15	La bête mythique ronfle doucement devant toi.
16	« Je veux même pas demander quel est le plan ici. »
17	La bête mythique te regarde - de ses yeux intelligents.
18	Des yeux affamés.
19	(Caresser l'oiseau.)
20	« Merci de votre temps, griffon. »
21	Pas un oiseau.
22	Un grand oiseau.
23	(Caresser le monstre dangereux.)
24	(Caresser le grand oiseau.)
25	Mieux.
26	Tu tends la main, et le griffon te happe de son bec.
27	Il a failli t'avoir. Prudence.
28	Ses yeux disent : « Arrête ce bordel, bipède. »
29	Pas fan, hein.
30	(Tenter de caresser la bête.)
31	Réveiller l'animal en douceur, par la compréhension et l'empathie.
32	(Tenter de se faufiler devant lui.)
33	« D'accord. J'en suis venu à une conclusion. Je ne devrais pas engager cette bête pour l'instant. »
34	« Non. Non, merci. »
35	« Et sérieusement, fais gaffe. Je nettoie pas tes tripes si ce truc t'embroche. »
36	Tu t'avances, et...
37	(Caresser.)
38	Comment fait-on cela ?
39	Tu essaies de voir du point de vue de la bête.
40	Comment aimerais-tu être réveillé, s'il te fallait être tiré de ton doux sommeil, s'il te fallait être tiré de ton doux sommeil par un beau inconnu heaumé ?
41	S'il te fallait être tiré de ton doux sommeil par un beau inconnu heaumé, un jour comme celui-ci ?
42	J'ai perdu le fil de mes pensées. Qu'est-ce que je fais ?
43	La question est : par quelle méthode aimerais-tu être réveillé ?
44	Je ne sais pas. Un câlin ?
45	D'accord. Essaie ça, alors.
46	« Viens ici, l'oiseau... » (Faire un câlin au griffon endormi.)
47	Bon, faisons ça...
48	Pardon ? Qu'est-ce que tu fais ?
49	Se faufiler devant lui.
50	Non, non. Je regrette ça. Évitons.
51	Tu prends une profonde inspiration.
52	Puis tu fais le premier pas.
53	Le gobelin te suit juste derrière tandis que tu navigues prudemment sur le rebord du toit.
54	Tu navigues prudemment sur le rebord du toit.
55	Un faux pas et tu tombes. Un faux pas dans l'autre direction, et l'oiseau te fera dégringoler d'un coup.
56	Mais...
57	Tu prends une profonde inspiration en atteignant l'autre côté.
58	« Ne refaisons pas ça. »
59	(Se mettre à s'éloigner.)
60	Oh.
61	Le griffon semble s'être réveillé.
62	Tu es arrivé juste à temps !
63	« Parfait. Maintenant on peut revenir aussi. »
64	« Parfois t'es un sacré veinard, tu le sais, ça ? »
65	Au moins il n'a pas essayé de me manger.
66	En plein sur l'aile de la bête.
67	<i>Tss</i>. Bon. Peu importe.
68	Regretter quoi ? Qu'est-ce qui se passe ?
69	<i>Une légère tape</i>.
70	« ...<shake>Bon sang</shake> ! » entends-tu ton compagnon crier, se précipitant vers la rue.
71	(Atterrir.)
72	Les os de ton corps craquant.
73	Le sol dur se fondant à ta chair.
74	Mais tu <b>survis</b>.
75	(Gémir.)
76	J'ai presque réussi.
77	Ça ne s'est pas très bien passé.
78	Peut-être qu'une autre méthode marchera mieux ?
79	« Que les dieux soient damnés. À quoi tu <i>pensais</i> ?! » entends-tu Snell te crier en dévalant la rue en courant.
80	Le gobelin finit par arriver jusqu'à toi, haletant. « C'est bien que tu sois vivant, mais sérieusement- y a pas un dicton sur le fait de NE PAS réveiller un griffon endormi ? »
81	« Ne refais pas ça. »
82	<i>Aïe</i>.
83	Comment réveille-t-on une créature grincheuse endormie ?
84	La piquer ?
85	Lui crier dessus ?
86	La câliner ?
87	Non.
88	Presque. Mais non.
89	Pas immédiatement, non.
90	La réponse est simple.
91	Tu <i>chantes</i>.
92	(Se racler la gorge, tout excité.)
93	« <i>Clerc.</i> »
94	Le gobelin te siffle et pointe les griffes. « <i>Acérées.</i> »
95	Une petite berceuse fera l'affaire.
96	« <i>Oh, petit oiseau. Déploie tes ailes. Ne crains pas les choses sombres et cruelles. Qui rampent, qui glissent, si pleines de méchanceté, tout le monde voudrait te voir moins attristé.</i> »
97	Oh. Alors... tu peux passer maintenant.
98	Tu as... inventé ça sur le moment ?
99	La bête ne t'a pas tranché la gorge. Pas encore.
100	Merveilleux.
101	« Merci, griffon. »
102	Il bâille d'une façon dont tu ne pensais pas les créatures à bec capables, et t'adresse un regard las.
103	« J'arrive pas à croire que ça ait marché. J'arrive pas à croire que t'es vivant », marmonne le gobelin dans sa barbe tandis que lui aussi se glisse lentement devant la bête.
104	Parfois ça paie d'être beau et talentueux.
