idx	french
0	Tout devient soudain très, très <i>serré</i>.
1	Une crampe...?
2	Tu as été <b>avalé</b>.
3	Tout entier.
4	« <shake>HMRFMFR</shake>...! »
5	Ton écharpe tente de parler.
6	(Tenter de parler.)
7	(Tenter de bouger.)
8	Qu'est-ce qui se passe ici...
9	Je n'aime pas ça.
10	Je n'aime pas ça du tout.
11	Non.
12	Ça ne peut pas se faire.
13	« <shake>M-grefggff</shake>...! »
14	En essayant d'ouvrir la bouche, tu la sens lente et dure.
15	Comme si ton corps luttait contre chaque pouce.
16	Un frétillement, c'est tout ce que tu obtiens.
17	Il y a une force puissante - une pression - tout autour de toi.
18	Le poids écrasant des attentes sociétales.
19	Ça aussi. Mais aussi quelque chose de <i>tangible</i>.
20	Tu ne peux ni bouger...
21	Ni respirer.
22	« <i>Clerc ? Ça va ?</i> »
23	Tu entends la voix de ton compagnon, faible. Comme s'il était très, très loin.
24	C'est possiblement assez terrible.
25	Attends.
26	Quelque chose cloche ici.
27	<b>Cloche</b>.
28	Tu ne fais pas juste l'idiot ?
29	Je... je ne peux pas bouger.
30	C'est... une sorte de piège ?
31	Oh non.
32	Oh non, non, non...!
33	« Arrête de faire l'idiot. T'arrêter comme ça, ça me rappelle cette fois où- »
34	Le gobelin fait un pas de plus vers toi, avant de bondir en arrière.
35	Tout autour de toi : du gel acide.
36	« <shake>...CUBE !</shake> »
37	Il s'infiltre dans chaque interstice.
38	Par Urth, ça brûle !
39	(Continuer d'essayer de hurler.)
40	Il partage ton fardeau.
41	Tu ne peux pas.
42	Tout est... coincé.
43	Tu sembles avoir été enfermé dans un Cube Gélatineux.
44	Tout le monde connaît ceux-là. Un Cube Gélatineux.
45	Tu es statistiquement susceptible de mourir, ici et maintenant.
46	Non !
47	Pas comme ça, pas de cette façon terriblement embarrassante.
48	Quel genre d'idiot fonce juste dans un Cube ?!
49	Ce monstre ne peut pas te retenir.
50	Tu dois <b>COMBATTRE</b>.
51	« Clerc ! » entends-tu la voix du gobelin faiblement derrière toi. « Écoute-moi ! »
52	« Je sais pas pourquoi, mais <b>le Cube est pas agressif</b>. »
53	Il lance à l'intérieur une corde qui est vite aspirée dans la masse gélatineuse.
54	« Pousse un peu plus près du bord, et attrape la corde - je t'aiderai à te sortir de là ! »
55	La corde ne s'approche pas assez pour que tu la prennes facilement, mais si tu peux l'atteindre...
56	Tu pourrais survivre.
57	Écoute sa voix.
58	Le gobelin connaît cette horreur. Il ne veut pas que tu sois dissous.
59	Personne ne sait que tu es ici.
60	Tu es seul, dans le Cube.
61	Tu peux t'échapper ! Tu es assez fort, non ?!
62	Un homme est seul. Seul, tu peux survivre.
63	Tu vas survivre.
64	S'échapper du Cube.
65	Tu luttes contre la masse incroyablement dure autour de tes membres.
66	Autour de tout.
67	Tu presses un peu plus loin. Encore.
68	Mais ce n'est pas assez.
69	(Se secouer et essayer de hurler.)
70	C'est engourdi.
71	Tu es prêt.
72	Tu luttes. Pourtant...
73	Tes muscles lâchent. Après avoir atteint juste un tout petit peu plus loin.
74	La brûlure continue. À l'intérieur et autour.
75	« <b>Clerc</b> ! » une voix faible t'appelle.
76	Cette sensation n'est pas agréable.
77	Celle où tu es assis, les yeux rivés sur le seau. Les pommes acides qui en dépassent comme une montagne de mauvaises décisions.
78	Cette sensation d'écœurement et de gouffre dans ton estomac.
79	(Se sentir mal.)
80	Ce n'était pas BIEN.
81	Mais tu l'as fait. Ils te l'avaient dit.
82	Quinze. Tu en as mangé. Quinze.
83	Tu savais probablement que ce n'était pas réel. Mais tu l'as fait.
84	Et quand tu t'es avancé vers ces gamins, au fond de cette fosse derrière l'École Primaire Centrale des Collines, avec ce seau rempli de quinze <i>âppleskrutt</i>...
85	Ils ont ri. Ils ont scandé.
86	<b>Le mal</b>.
87	Sales petites merdes.
88	Les enfants sont ce qu'il y a de pire.
89	C'est là que tu as reçu ce surnom, qui t'a collé jusqu'à la mort de ton père, et que tu as laissé les Collines derrière toi.
90	Ils n'arrêtaient pas de le dire. Quand tu te fâchais, ils le disaient. Quand tu jouais le jeu, te moquant de toi-même. <b>Ils le disaient</b>.
91	<i>Appleboy.</i>
92	APPLEBOY.
93	C'est même pas un bon nom. Tellement peu inspiré.
94	Pourtant tu essayais encore de les suivre. D'être gentil. De jouer gentil. D'être un <i>ami</i>.
95	<i>APPLEBOY</i>.
96	Mais au bout du compte ils se sont juste mis à s'enfuir.
97	<shake>APPLEBOY</shake>.
98	Chaque fois que tu essayais de t'approcher - ils riaient, et ricanaient, et partaient.
99	ET AINSI, L'APPLEBOY ÉTAIT TOUT SEUL, JUSQU'AU JOUR OÙ...
100	IL...
101	<b>MOURUT.</b>
102	« <shake>ESPÈCE DE CONNARD DÉBILE !</shake> »
103	« PRENDS LA <shake>SATANÉE</shake> CORDE ! »
104	Le gobelin ne peut pas te parler... de cette façon.
105	Montre-lui comment un homme gère ses problèmes.
106	Il ne prend pas plaisir à te voir dissous. Clairement.
107	Qu'est-ce que tu dors ? RETOURNE AU CHARBON !
108	Tu pousses. Et luttes contre la pression sans fin de cette force translucide d'acide et de douleur.
109	Et puis...
110	Tu t'y agrippes.
111	« Allez ! » crie le gobelin en tirant de toutes ses forces.
112	Tes muscles te pressent d'arrêter. Mais l'absence de douleur sur chaque membre à mesure qu'il quitte la surface du Cube te pousse à continuer.
113	Et enfin...
114	(Quitter le Cube.)
115	Tu halètes et siffles, et recraches des morceaux de vase de Cube encore grésillante sur le sol du donjon.
116	La douleur s'estompe...
117	Une partie de ça, c'est ton cerveau qui ne traite pas les brûlures incroyablement horribles que tu as subies.
118	Tu ferais mieux de te soigner bientôt.
119	À côté de toi, le gobelin rit. « Putain de merde. »
120	« Je te croyais fichu. »
121	(Se contenter de savourer le fait de respirer à nouveau.)
122	« Bon esprit. Ouf. »
123	Tu te retournes et le regardes.
124	Le massif Cube Gélatineux se contente de... rester. Entièrement immobile.
125	Il ne bouge pas, ni ne réagit à ta présence.
126	« C'en est un... bizarre. »
127	« J'ai vu quelques Cubes, mais jamais un qui reste juste planté là. Vraiment de mauvais augure, honnêtement. »
128	Il est clair que ce cube n'est, à tout le moins, pas activement hostile.
129	(Frapper le Cube.)
130	(Caresser le Cube.)
131	Je me demande...
132	Tu balances ton poing.
133	Frappant une surface presque solide.
134	Ça rebondit un peu au contact.
135	« Je crois pas que ce soit une- »
136	Le gobelin n'a pas le temps de finir.
137	La vase envoie vite un morceau d'elle-même voler vers toi, à la façon d'une vrille.
138	Esquiver le pseudopode.
139	Tu t'écartes vivement.
140	Tu essaies de t'écarter, mais il n'y a pas le temps.
141	La formation en forme de poing de sa vase te frappe en plein visage.
142	« Putain de merde, Clerc...! »
143	Tu titubes devant le Cube, capable à peine de tenir debout.
144	« Tu as encaissé ça comme un champion. Bon sang. »
145	Mais tandis que tu te prépares à la prochaine attaque- elle ne vient pas.
146	Tu ne sembles rien lui faire, à part le pousser à lancer une attaque.
147	« C'est ça. Il est passif jusqu'à ce que tu commences à l'emmerder. »
148	« Compris. »
149	Tu tends la main et tapotes prudemment la surface.
150	Mais ça te brûle juste un peu la main.
151	« Tu t'amuses bien ? »
152	« Aïe. »
153	« Ça en valait la peine. »
154	La vase ne semble pas réagir.
155	« D'une, ils ne sont jamais aussi passifs. »
156	« Ils ne devraient pas non plus être aussi gros, je crois. J'ai entendu qu'ils se divisent et fusionnent parfois, mais pas jusqu'à cette taille. »
157	« Au-delà de ça, je sais juste qu'ils sont attirés par... »
158	Il s'arrête et réfléchit un moment. « Euh... c'était quoi déjà... »
159	« Le sang de l'homme ? »
160	« Les femmes puissantes ? »
161	« Les Errants sans âme ? »
162	« Les gobelins locaux sexy ? »
163	« Les étrangers ? »
164	« C'est pas les clercs, si ? Je jure sur les dieux, si c'est les clercs... »
165	« Non. »
166	Ça n'existe pas.
167	Qui ne l'est pas ?
168	« Nan. »
169	Il lâche un rire rapide.
170	C'est méchant.
171	Mais très vrai.
172	« Ne me distrais pas. »
173	« Qui ne l'est pas ? »
174	« Mais non. »
175	« Arrête. »
176	Il claque des doigts.
177	« Ils sont attirés par la <i>chaleur</i>. »
178	Un livre bien écrit, mais... tu ne crois pas que les Cubes aient la capacité de lire.
179	« Tu as lu ça ? »
180	« Chaleur ? »
181	Il t'adresse un regard profond et dévorant.
182	« Je ne parle pas <i>du roman à l'eau de rose</i>. Évidemment. »
183	« La chaleur. La tiédeur. »
184	« C'est un synonyme, oui. »
185	Le gobelin pointe la torche luisante, à l'intérieur du Cube.
186	« Je parie que ça a quelque chose à voir avec ça. »
