idx	french
0	Derrière les barreaux tu vois un marteau de guerre très, très raffiné.
1	« Classe. Ça a l'air nain. »
2	Oui. <i>Nain</i>.
3	Fait en <i>Adamantium</i>. Ce qui veut dire qu'il est fonctionnellement inutile.
4	Leur maîtrise artisanale est stupéfiante.
5	Tu vois aussi un sac de « Friandises pour Griffon » - une gâterie plutôt coûteuse. De niche, aussi.
6	Il semble être presque à cent pour cent de viande. Tu pourrais l'atteindre facilement.
7	Inutile ?
8	Glisser ta main entre les barreaux pour l'atteindre.
9	Soulever les barreaux pour l'attraper.
10	E-Ça va, merci.
11	En passant entre les barreaux, tu ramasses aisément une poignée des petites pépites puantes et les jettes dans ta Bourse sans Fond.
12	Souhaitons, pour le bien de <i>toute chose</i>, que ces vilains morceaux n'empesteront pas tout le reste de tes affaires.
13	Ce n'est même pas un objet. Ce n'est que de la bouillie. Tu enfournes de la bouillie dans la bourse. Ceci ne compte PAS comme butin sous quelque forme, façon ou manière que ce soit. Tu refuses de considérer ceci comme du butin, en AUCUNE façon. Cette BOUILLIE n'est PAS du butin. Tu ne pourras PAS la retrouver dans ton inventaire. C'est de l'ANTI-BUTIN.
14	Mais tout le reste de ce que je récupère compte comme du butin ?
15	Pas ceci.
16	Maintenant arrête de penser à la bouillie.
17	L'adamantium est extrêmement léger comme matériau de fabrication.
18	En faire un marteau de guerre est idiot.
19	Celui qui l'a fabriqué l'a fait soit en témoignage de sa richesse, soit de sa sottise.
20	Oui...!
21	Tu sais que tu peux le faire !
22	CHOPE CE BUTIN !
23	(Inspirer, et...)
24	Tu tentes de te faufiler à travers, mais... Non.
25	Rien de ce que tu fais ne te permet d'atteindre assez loin. Ni inspirer... ni pousser plus fort...
26	Merde.
27	Il te faudra tenter autre chose.
28	Tu te mets en position, accroupi.
29	Une forme parfaite.
30	(SOULEVER.)
31	Tandis que tu le pousses vers le haut, tu entends le fer grincer.
32	Ça BOUGE.
33	(Le soulever - <b>entièrement</b>.)
34	En élevant ton corps, en poussant tes muscles à la limite - tu parviens réellement à TE REDRESSER.
35	« Ouah. La vache. »
36	Il est IMPRESSIONNÉ.
37	(Attraper vivement le marteau de guerre.)
38	Les barreaux retombent, durs et sonores, sur le sol devant toi.
39	Mais dans tes mains...
40	Tu t'accroupis, saisissant le barreau.
41	Sous un angle... légèrement inconfortable.
42	Et puis...
43	Tu pousses.
44	Tu pousses fort.
45	Et...
46	Sans bouger les barreaux le moins du monde, tu sens ton dos se <b>briser</b>. Ta colonne...
47	Tu entends un craquement.
48	(Cesser de pousser.)
49	Tu recules en titubant.
50	Dans la douleur, mais... peut-être l'as-tu maintenant échauffée.
51	« La prochaine fois... ce devrait être plus facile. »
52	Oui.
53	Le gobelin, qui fixait ta forme lamentable, marmonne : « Par pitié, non. »
54	Tu graisses les barreaux.
55	Ça aiderait.
56	Si ça valait quelque chose.
57	GÉNIAL ! Maintenant faufile-toi à travers...
58	Heureusement, à cause des barreaux horizontaux, ça aide bel et bien.
59	Maintenant : SOULÈVE.
60	Tu obtiens le <b>marteau de guerre nain</b>.
61	« Beau boulot. Tu t'es offert un marteau raffiné. »
62	Alors que tu le brandis, tu... es perplexe.
63	Alors que tu le brandis, tu en obtiens confirmation. C'est bien de l'...
64	Adamantium.
65	(Le soupeser dans tes mains.)
66	Il est... extrêmement LÉGER.
67	Ah.
68	Le matériau. Il n'est pas terrible pour une arme contondante.
69	« Quoi ? »
70	(Tenter de frapper le mur.)
71	Il rebondit avec un fort clang.
72	Absolument aucun dégât au mur. Et les vibrations font trembler tes mains.
73	Tu le balances vers sa tête.
74	« Qu'est-ce que tu- »
75	Le marteau rebondit sur lui avec un fort clang.
76	Le gobelin recule, une expression choquée sur le visage.
77	« C'est quoi ce bordel ? »
78	« Attends, c'est de l'... »
79	Un marteau de guerre complètement inutile.
80	« Je l'aime bien. Ça me donne un air nain. »
81	E-Il... a l'air <i>classe</i>.
82	« Ah. J'ai entendu parler de ça. »
83	« C'est genre un... symbole de statut, pas vrai ? »
84	« Tant pis. Ça intimidera au moins quelqu'un ? »
85	« Génial. »
86	Un bon sentiment.
87	« Profites-en. »
