idx	french
0	Une pile de livres repose de guingois sur le sol, à demi ensevelie sous des couches de poussière.
1	La lumière bleue des fenêtres semble se poser sur la surface et y <i>adhérer</i>.
2	Comme si elle n'était pas réelle.
3	Tu reconnais le style de reliure.
4	Ce sont des ouvrages de la fin de l'Ère Arcanique.
5	Un tome est clairement arcanique - la couverture porte des marques de protection qui te démangent les yeux.
6	« On dirait qu'il n'y a aucun danger ici, pour l'instant du moins. »
7	« Si tu veux jeter un œil à quelques livres, vas-y. Je vais me poser un moment. »
8	« Meek dit, livres d'ancien maître gratuits à consulter ! »
9	« Mais si lire mauvais passage, gros bobo ! Souviens-toi ! »
10	Les livres attendent là où tu les as laissés.
11	Déchiffrer le tome protégé.
12	Ces livres ne valent pas le mal de crâne.
13	« Ancien maître a protection sur tous ! »
14	« Sort lance sort différé ! Gros bobo si pas prudent ! »
15	Alors les laisser tranquilles, tout simplement ?
16	Le savoir en vaudra la peine. Assurément.
17	Le sort avive ta capacité à lire ces livres chaotiques.
18	Beau boulot. Ça rendra sûrement la compréhension du journal plus facile aussi.
19	Les protections reconnaissent ta compétence. Elles s'écartent comme des rideaux.
20	À l'intérieur, tu trouves un traité sur la magie sensorielle. Les illusions.
21	Ce Hagginshags étudiait la relation entre perception et réalité.
22	Rigoureusement. Mathématiquement.
23	Des centaines de pages d'expériences, du mélange de l'illusion et de la divination.
24	(Parcourir ses résultats.)
25	Il postule que l'esprit ne <i>reçoit</i> pas la réalité - il la <i>construit</i>.
26	À chaque instant, tes sens recueillent des fragments. <i>Couleur. Son. Pression. Chaleur.</i>
27	Puis quelque chose de plus profond - quelque chose qu'il appelle la « couche interprétative » - assemble ces fragments en un monde cohérent.
28	La question qu'il pose, pas tout à fait aussi directement : que se passe-t-il quand on trafique cette couche ?
29	Non pas montrer à quelqu'un une fausse image. Non pas jeter des ténèbres sur ses yeux.
30	Plutôt, atteindre le mécanisme lui-même par des moyens ésotériques, et ainsi <i>ajuster l'assemblage</i>.
31	Cela ne paraît pas trop farfelu.
32	Non. Cela semble bien s'aligner sur la base savante de ton éducation.
33	Cependant, la partie suivante, non.
34	La dernière moitié de ce tome : à travers de nombreux essais, la plupart menés sur lui-même, tu recueilles...
35	Cet homme qui se fait appeler un Hagginshags - il montre des résultats pointant vers un conduit mesurable au sein de chaque Fil. Un visible uniquement à travers cette couche altérée.
36	« LA FLORAISON DE JOR REPOSE SUR CHAQUE LANCEUR », écrit-il. « TOUTE CANALISÉE À TRAVERS LES PORTES. INVISIBLE. CACHÉE. MÊME LES DIEUX EXTÉRIEURS SONT AVEUGLES. »
37	« COMMENT SINON LA LICHE SE SUSTENTERAIT-ELLE ? COMMENT SINON LES POCHES À LA FOIS S'ACCROISSENT EN BAS ET DÉCROISSENT EN HAUT ? »
38	« SEUL MOI PEUX VOIR LA VÉRITÉ - SEUL MOI PEUX MAÎTRISER LA RELIQUE LAISSÉE PAR UMBRAMEEXUS. IL ME SUFFIT DE LA LOCALISER. CE SEUL MOT. UNE CLÉ POUR OUVRIR UN MONDE DE DOMINATION TOTALE EN LA NOUVELLE ÈRE. »
39	« IL ME SUFFIT DU MOT DE POUVOIR : EBB. »
40	(Fixer la dernière page.)
41	De la démence.
42	Le genre de démence née uniquement d'une vérité révélée.
43	« Nouveau maître a lu livre d'ancien maître ? »
44	« Meek est très impressionné ! »
45	(Refermer le tome, avec précaution.)
46	Les protections se rescellent derrière toi. Satisfaites, peut-être, que tu aies traité leur contenu avec respect.
47	Les protections ne te reconnaissent pas.
48	Tu pousses quand même. L'arrogance d'un savant.
49	(Essayer de le refermer.)
50	Le livre <i>mord</i>.
51	Une douleur - de nature immatérielle - transperce ton crâne.
52	L'espace d'un instant, tu perçois la couleur de ton propre nom. Le son du chiffre sept. Le poids d'hier.
53	Puis ça passe, te laissant nauséeux et creux.
54	Les couvertures du tome claquent et se ferment. Les protections rougeoient d'un air suffisant.
55	« Nouveau maître doit être prudent ! »
56	« Ancien maître a laissé beaucoup de vilains pièges...! »
57	(Reculer en titubant loin du bureau.)
