idx	prefix	english
0		A dark iron can of a man sits alone on the temple steps. 
1		His face obscured, an axe strapped to his back. 
2		Thick axe. Heavy. 
3		This is a real man. A hero. 
4		His armor is empty. 
5		As is his heart. 
6		"Citizen." 
7		"I have some questions, good knight." 
8		"Are you alive?" 
9		His helmed head is slumped downwards, slightly. 
10		Is he... asleep? 
11		He is not really here. 
12		Just stare at him. 
13		"Hello?" 
14		"Are you okay, citizen?" 
15		No response. 
16		Wait. 
17		"Hello-oo?" 
18		"My good knight, say something!" 
19		A metallic scraping noise fills your ears. 
20		The knight is moving, ever so slightly. His head turns. 
21		Oh fuck. 
22		Within the slits of his helmet, you see the faint shimmer of a bony face. 
23		"Your... name." 
24		"Soldier." 
25		His voice echoes out into the open chamber. 
26		Pure dread. 
27		This is a great warrior. Treat him with respect. 
28		"What is wrong with you?" 
29		"I am Ragn." 
30		"Arcane Cleric. At your service, my lord." 
31		"I'm not a soldier." 
32		He does not respond to your inquiry. 
33		You hear the knight clenching his iron gauntlet. 
34		"No. You are." 
35		What, does he want to fight? 
36		The knight's head slumps once again. 
37		"Speak your mind, soldier." 
38		The iron tin can knight man dude does not acknowledge your presence. 
39		He's ready for more of your questions. 
40		"Who are you?" 
41		"Why are you loitering here, knight?" 
42		"Whom do you serve?" 
43		"What do you know about the tea shop?" 
44		"What's up with the mess?" (Point at the ballot boxes.) 
45		E-"Citizen." 
46		He is silent for a while. 
47		You feel a light breeze pass through your armor. 
48		A draft? Perhaps there's a secret door here somewhere. 
49		No wait, it's probably from the tea door hatch. 
50		"The Duck." 
51		"Excuse me?" 
52		"I am The Duck." 
53		That's wild. 
54		A man's name is not up to debate. 
55		Quack. 
56		Horrifying. 
57		(Nod.) "You should be proud of your name." 
58		"That doesn't suit you at all." 
59		"Quack!" (Laugh.) 
60		The knight does not respond. 
61		This name of his is a codename, surely. 
62		He does not wish to share more. 
63		"No." 
64		"I see. I'm looking for Lord Gorm. Have you seen him?" 
65		"Are you lying to me?" 
66		"Damn. Was hoping you would be." 
67		A truth. 
68		The knight doesn't move. 
69		"<b>No.</b>" 
70		"That's what a liar would say." 
71		"Okay. Good. I believe you." 
72		"Cease this inquiry." 
73		You're annoying him. 
74		Yeah. Keep at it, maybe he'll kick your ass. 
75		You're walking into a dangerous situation. 
76		Actually, you're already in it. So... stop. 
77		"Sorry." 
78		"This is my job. I'm just doing my job." 
79		"Let me ask something else." 
80		IT IS WHAT MY CHARACTER WOULD DO. 
81		His helmed head turns, facing yours. 
82		"Sorry." (Speak in a high-pitched tone.) 
83		"I have some other questions." (Speak in a slightly less high-pitched tone.) 
84		For whatever reason, he does not appear hostile to you. Even when there's clearly deadly intent in his soul. 
85		Has this guy been, like, told not to hurt you? Why else would he not give you a love tap at this point? 
86		Love tap? Disgusting language. 
87		It's called a manly wrestle! Or a fisting! 
88		Don't call it that. Please. 
89		"Crypts." 
90		He doesn't seem too mad about you taking the key. Strange. 
91		"I have the key." 
92		"You are too weak for that." 
93		Who's he to judge you? 
94		The man is correct. You need to get back to your strength first. 
95		The City Below is dangerous. You should make sure to prepare properly before heading down there. 
96		Perhaps bring more spells. Perhaps make sure to recuperate enough for you to once again be able to cast higher tier spells. 
97		It is embarrassing you have not already returned to your former state of esoteric mastery. 
98		He does not respond for a while. 
99		Then he simply throws you the key. 
100		He recognizes your strength. 
101		Why? He's clearly stronger than you. He could have just said no. 
102		"The City Below... it is darkness incarnate." 
103		"Do not tread without care." 
104		You never do. 
105		A warning from someone with ages upon him. 
106		Heed the call, from BEYOND the grave. 
107		The knight sits completely still and does not answer your question. 
108		"Come on. I won't tell anyone." 
109		"I think you're amazing, my good knight." 
110		"Got it." (Get it.) 
111		This creature holds no grudges, yet his hollow disposition taunts your senses. 
112		You feel invalid next to this man. You must learn from his ways. 
113	ROLL10 str-	Attempt to have a firm discussion about masculinity. 
114		BorgoAnnoyed-You've_annoyed_him. 
115		(Drop it.) 
116		The knight sits still. 
117		Is he even breathing? 
118		No breath. Only death. 
119		He just sits there, ready for a good talk. 
120		You catch something. A glimpse of light within the darkness of his helmet. 
121		Divinity. There's light within this man. 
122		(Stare at him.) 
123		The knight shifts slightly, his armor scraping against the rock. 
124		(Breathe heavily.) 
125		The knight turns to look at you through his helmet. 
126		A little more. 
127		(Wait a bit longer.) 
128		"Soldier. Your presence is unwanted." 
129		"Present your query, then leave these hallowed grounds." 
130		He'll answer your questions now. Somehow. 
131		"Are you a cleric?" 
132		"Do you know magic?" 
133		"Can you teach me magic?" 
134		M-"How does one become a true warrior?" 
135		"No," he says. "I am a warrior." 
136		"Yes." 
137		"No, I-" 
138		He mutters to himself. 
139		Oh? 
140		"I do not have time for that." 
141		The knight slowly grabs a scroll out of his pack. 
142		He tosses it to you after a moment of deliberation. 
143		"A spell with power." 
144		"Memorize it, soldier." 
145		"Already did." (Close the spell scroll.) 
146		He lifts his head. The darkness through his helmet focuses on you. 
147		"No, soldier. <b>Memorize</b> it." 
148		"I told you, I already did." (Point at your temple.) "I'm quick." 
149		"You..." 
150		"The Cleric here is a bit of a monster when it comes to magic, from what I understand." 
151		The dark knight nods, and then lowers his head. 
152		You've earned his respect. Good. 
153		Your ability to memorize spells instantly is an incredible talent. He should be impressed. 
154		"A warrior." 
155		The knight places an iron gauntlet upon his knee and leans forward. 
156		A whispering wheeze escapes the slits in his helmet. 
157		"<b>SERVE</b>." 
158		"<b>Until the Coast falls in on itself. Until JOR breaks the veil and every god rips and tears our reality into shreds.</b>" 
159		"Serve well. Serve loyally." 
160		"That is what a true warrior does. No matter what." 
161		The wheezing stops. 
162		Your companion gives you a horrified glance. 
163		"What if you serve someone evil?" 
164		"Yes. I will serve. No matter what." 
165		"Right. Thanks." 
166		He shakes his head, slowly. 
167		"Place not the choice of morality into the hand of the one who swings the axe." 
168		"Truth of alignment lies entirely with your god, soldier." 
169		"Do not forget that." 
170		"Good." 
171		He nods, slowly. "Good." 
172		He nods, slowly. 
173		He lifts his hand and clenches it. 
174		Now, quick! Ask him while he's got his guard down! 
175		Oh. An opening! Go for it. 
176		"Wait, who do you serve again?" 
177		"Visken." 
178		He moves his head towards you. 
179		"No. That is not." 
180		"Visken? The mortician?" 
181		With a sudden force, the dark knight slams his axe into the ground. 
182		Darkness creeps through the hall. 
183		Within <shake>you</shake>. 
184		"Do not speak of that, soldier." 
185		"I won't tell anyone." 
186		"Why? Is it a secret?" 
187		(Just nod.) 
188		He returns to his still position. 
189		"<b>Do not.</b>" 
190		The knight is now waiting for another question. Lucky you, he didn't kill you! 
191		You feel anger rising. 
192		Aggression. 
193		Yes, that is the only way to ever live up to this ideal of a man in front of you. 
194		Your goblin companion takes a step back as he notices your shaking fists. 
195		"Man, the architecture in this temple is amazing." 
196		"I'll... be over here if you need me." 
197		(Step towards the dark knight.) "D-DO YOU KNOW WHO I AM?" 
198		"I... I..." (Try to contain yourself, as well as your bulging masculine power.) 
199		He does not answer you. 
200		He does not even look at you. 
201		"My... MY NAME... WILL GO DOWN... THROUGH THE ANALS OF HISTORY...!" (Stand straight.) 
202		The w-what?! 
203		That's right! 
204		The goblin, who now stands a number of steps behind you, lets out a shocked laugh. 
