idx	prefix	english
0		With nimble fingers you grip the heavy axe. 
1		With the perfect angle, and perfect timing, you don't even need to wrestle it from his grip or anything. 
2		He doesn't even notice you taking it. A miraculous feat! 
3		(Start to feel dizzy.) 
4		What? 
5		You watch a purple glow spread from the axe shaft into your hands. 
6		IT BURNS. 
7		A crackling voice fills your skull. 
8		It speaks to you. Horrible things. In a tongue you do not understand. 
9		But you know it is mocking you. 
10		(Let go of the axe.) 
11		(Scream.) 
12		Your fist is clenched. There is no way... 
13		No way for your escape. 
14		THE BODY FALTERS. 
15		But LIFE remains. 
16		Out of the inky darkness you see... 
17		An iron hand. 
18		It... snatches the axe away from you. 
19		"<b>Caretaker</b> does not serve you, Soldier." 
20		"It never will." 
21		His voice... he is not angry? 
22		No. He simply wishes no more innocents to fall under his shadow. 
23		Somewhere, deep down. 
24		You must have that axe. It's simply too powerful not to... get your hands on. 
25		It's clearly cursed. 
26		Curses can be consecrated. Probably. 
27		If you find <b>whom</b> this man serves, perhaps you can get your hands on it that way. 
28		E-(Groan loudly and mutter incoherent noises.) 
