idx	french
0	Tu t'accroupis devant un coffre poussiéreux.
1	Il ne semble y avoir ni cadenas ni mécanisme de verrouillage dessus. Tu devrais pouvoir l'ouvrir facilement.
2	« C'est ça. Alors c'est un mimique. »
3	(Jeter un œil au panneau au-dessus.)
4	Alors le coffre est un mimique, non ?
5	Qu'est-ce que je devrais faire ?
6	On va juste... s'éloigner.
7	« Le panneau, surtout. »
8	« J'ai en fait appris à lire quand j'étais tout petit. »
9	« C'est hautement impressionnant. »
10	« Vous n'apprenez pas tous à lire, vous les gobelins ? »
11	« Tu te moques de moi, Snell ? »
12	« Je sais. Je suis un gobelin spécial. »
13	« Non. »
14	« Non. Pourquoi ? »
15	Il l'est.
16	Son visage rassis indique la vérité.
17	« Euh. Enfin... c'est bien alors. Que tu saches lire, je veux dire. »
18	« Je me suis juste... imaginé que lire était un truc que les gobelins savaient faire. »
19	« Tu plaisantes. Je le vois bien. »
20	« Oh, vraiment ? »
21	« Oui. Je suis un maître pour lire les gens. »
22	« Très drôle. »
23	« Mm. Un génie de notre temps. »
24	« N'est-ce pas ? »
25	Il souffle un peu d'air par le nez.
26	Tu perçois un camion-benne arcanique de sarcasme.
27	Il croise les bras et hoche la tête.
28	« Je suis le seul à être allé à l'école, en fait. »
29	« Le seul gobelin ? Du monde entier ? »
30	« Putain de merde. »
31	(Le fixer.)
32	« L'unique et seul. »
33	« Normalement, les gobelins ne sont juste pas assez intelligents pour gérer la merveilleuse écriture humaine. Alors les savants ont été sous le choc en voyant mes capacités. »
34	« On avait des philosophes et des prophètes qui faisaient la queue pour me voir à l'œuvre, sur le banc de l'école. »
35	« Ils ont carrément construit toute une académie rien que pour moi. Puis ils l'ont démolie après mon diplôme. »
36	« Ce récit est-il vraiment vrai ? »
37	« C'est incroyable. Tu as eu de bonnes notes ? »
38	« Oui. »
39	Il te fixe d'un air vide.
40	Le visage d'un gobelin qui dit la vérité.
41	Il s'amuse bien.
42	« Bah. » Il hausse les épaules. « Moyennes. »
43	« Comme on peut l'attendre d'un gobelin. »
44	« Tu aurais dû essayer plus fort. »
45	« D'accord, je suis pas sûr de te croire. »
46	« Évidemment. »
47	Il soupire.
48	« J'imagine que je n'ai juste pas pu échapper à mon héritage gobelin. »
49	« C'est juste, en fait. »
50	« Bien, même. »
51	« Bon, pour en revenir au sujet. »
52	« Bien que le panneau indique manifestement que c'est en effet un mimique, j'ai le sentiment qu'il pourrait y avoir une autre connerie ésotérique en cours. »
53	« J'ai entendu parler de <i>choses bizarres</i> qui se passent quand les tunnels se déplacent. »
54	« Alors il n'y a pas genre une équipe de gens qui font le tour à poser des panneaux mettant en garde contre de potentiels coffres-mimiques ? »
55	« Alors... qu'est-ce que tu penses que je devrais faire ? »
56	« Alors... je devrais toucher le coffre ? »
57	« Alors... je ne devrais pas toucher le coffre ? »
58	« Bon sang, Snell, je ne sais pas quoi faire ! »
59	Il cligne deux fois des yeux.
60	Le pauvre gobelin a du mal à évaluer ta question démente.
61	C'est une question raisonnable, vu cette cité folle.
62	« Je n'écarterais pas entièrement l'idée. »
63	« Mais je penche vers un non. »
64	Le gobelin hausse les épaules.
65	« Bah. »
