idx	french
0	Un squelette gît recroquevillé contre le mur.
1	Humain. Mâle.
2	Mort depuis des mois. Peut-être davantage.
3	Son armure lui a été arrachée.
4	Il ne reste que des lambeaux de cuir et de tissu.
5	Quelqu'un a pillé le cadavre.
6	Ou quelque chose.
7	« Triste spectacle. »
8	« Ces tunnels dévorent les gens. »
9	Consumé par la roche et ce-qui-fut-jadis-un-plafond.
10	(Examiner le corps.)
11	Qu'est-ce qui l'a tué ?
12	Tu t'agenouilles pour inspecter le squelette.
13	Aucune blessure évidente.
14	Aucun os brisé.
15	Il n'est pas mort de violence.
16	De faim, peut-être.
17	Ou de soif.
18	Perdu dans le noir.
19	Difficile à dire.
20	Aucun signe de combat.
21	Il s'est probablement perdu.
22	À court de provisions.
23	La Cité d'En Bas en fauche beaucoup de cette façon.
24	Le squelette gît là où tu l'as laissé.
25	Dépouillé. Abandonné.
26	« Toujours mort. »
27	(Laisser le corps.)
28	Tu commences le rituel.
29	Les mots coulent. La magie prend.
30	La mâchoire du crâne se met à bouger.
31	Cliquetant. Raclant.
32	Le mort est prêt à répondre.
33	Cinq questions. C'est tout ce que tu obtiens.
34	« C'est glauque. »
35	« Quel est ton nom ? »
36	« Comment es-tu mort ? »
37	« Que cherchais-tu ? »
38	« Qui a dépouillé ton armure ? »
39	« As-tu des regrets ? »
40	La mâchoire s'ouvre d'un cliquetis.
41	« <i>Johnny... Longcock.</i> »
42	Un nom simple. Pour une vie simple.
43	Comme c'est obscène.
44	Étonnamment courant chez les aventuriers.
45	Tous nommés d'après un certain fameux pirate (Johnny Longneck).
46	« <i>Perdu... soif... ténèbres...</i> »
47	Comme tu le soupçonnais.
48	Il est mort lentement.
49	Seul dans le noir.
50	« <i>Le Trésor... d'Esuth...</i> »
51	« <i>L'or du dragon... le pouvoir...</i> »
52	Le trésor légendaire.
53	C'était un chasseur de trésor.
54	Un raté.
55	« <i>Non... scellé... impossible d'entrer...</i> »
56	« <i>La phrase... elle n'a pas marché...</i> »
57	Il a trouvé quelque chose.
58	Mais n'a pas pu entrer.
59	Le sceau du sectateur a tenu.
60	« <i>Passé les Racines...</i> »
61	« <i>C'était à l'intérieur... de la forteresse naine volée par ces immondes gobelins...</i> »
62	« Là, c'est carrément déplacé. »
63	Il t'adresse un regard <i>grave</i>.
64	« Nous ne stockons aucun trésor de dragon dans le Jardin, ni les Racines, Clerc. Ça, je peux te le promettre. »
65	« <i>Gobelins... charognards...</i> »
66	« <i>Après la mort... je ne l'ai pas senti...</i> »
67	Au moins il était déjà mort.
68	« <i>Non.</i> »
69	« <i>L'aventure est sa propre récompense.</i> »
70	Brave homme !
71	Quatre questions restantes.
72	Trois questions de plus.
73	Deux questions restantes.
74	Une dernière question.
75	La mâchoire se raidit.
76	La magie s'estompe.
77	Le mort retourne au silence.
78	C'est tout ce que tu en tireras.
79	« Bon. C'était instructif. »
80	« Et profondément troublant. »
81	(Hocher la tête respectueusement devant le cadavre, puis partir.)
82	« Je suppose. »
83	« Tu n'envisages pas sérieusement d'aller après ça ? »
84	« Regarde comment ça s'est terminé pour ce type. »
85	« Je suis mieux préparé qu'il ne l'était. »
86	« Juste par curiosité. »
87	« Fameuses dernières paroles. »
88	« Bien sûr. La curiosité. »
