idx	french
0	La machine ronronne dans le coin.
1	La presse à cuivre. Une merveille de la fin de l'Ère Arcanique.
2	Ce truc est incroyablement coûteux.
3	Le fait que ces Azgalistes en aient une signifie qu'ils doivent avoir une forme de financement. C'est sûr.
4	Ou ils l'ont juste volée à un moment.
5	(Examiner la machinerie.)
6	Comment ce truc fonctionne ? Genre, vraiment ?
7	Est-ce que je pourrais saboter cette machine ?
8	E-Merci de ton temps, imprimeuse.
9	Elle ronronne.
10	Ils la laissent tourner, vu que c'est généralement galère de relancer le mago-moteur.
11	La fille échange quelques pièces. Elle bricole probablement les plaques de presse automatiques.
12	C'est chronophage de préparer une presse à cuivre pour une impression. Mais une fois lancée, elle peut tourner éternellement.
13	Ou jusqu'à ce qu'elle soit à court d'encre.
14	Qui sait.
15	Une série de fines plaques de cuivre, ou galettes, sont magiquement configurées pour s'aligner sur les pages-repères.
16	Ce processus prend du temps, et empiler les galettes dans le bon ordre, et s'assurer que les pages sont bien alignées peut demander de nombreuses impressions test.
17	Il y a du potentiel là. Si tu perturbes assez sévèrement le calibrage, tu foutrais en l'air toute leur chaîne de production.
18	Mais ce serait vraiment dangereux. Ces nains pourraient te démolir s'ils te repèrent.
19	Et même si tu vas t'attirer un vrai pétrin si on te repère... tu ne foutrais pas tout en l'air à ce point, si ?
20	L'Agent Viira serait très contente si tu le faisais, bien sûr...
21	Trafiquer le calibrage quand personne ne remarque.
22	Évitons.
23	Furtivement, tu glisses la main dans la gueule de la bête (l'imprimeuse) quand personne ne semble remarquer.
24	Tes doigts dansent le long des galettes et rouages tachés d'encre, jusqu'à ce que tu atteignes les vis d'alignement internes.
25	Les trucs qui maintiennent les galettes dans les bonnes marges et la bonne pression.
26	(Commencer à les tripoter.)
27	En quelques rapides tours, tu peux voir les galettes de cuivre se désaligner de la structure autour. Puis quelques tractions de plus sur les molettes à côté, et l'angle et probablement la force de tout le mécanisme de pressage ont changé aussi.
28	(Retirer la main.)
29	Tu retires ta main et essuies un peu de l'encre résiduelle sur le flanc de la machine.
30	Personne n'a remarqué.
31	Tu viens de foutre en l'air toute leur production. Beau boulot.
32	Les trucs qui maintiennent les galettes dans les bonnes marges et la bonne pression. Maintenant il te faut juste...
33	« Qu'est-ce que vous faites, Clerc ? »
34	MERDE. ABANDONNE !
35	(Retirer vivement ton bras de la machine.)
36	Ce faisant, quelque chose de tranchant s'accroche à ta manche.
37	Ou du moins tu supposes d'abord que c'est ta manche.
38	(Tirer plus fort.) Je dois échapper à la gueule de la bête !
39	Ce faisant, tu réalises que la chose tranchante n'est pas accrochée à ta manche.
40	Elle est accrochée à ta peau.
41	Alors que tu arraches ton bras d'un coup sec, cette chose tranchante déchire le long de ton bras.
42	UNE ENTAILLE.
43	Un jet de sang vole à travers la gueule de l'imprimeuse, éclaboussant le mur de l'appartement, et s'accumulant sur le sol.
44	« M. le Clerc ! »
45	« Qu'est-ce que vous faites ?! »
46	(Baragouiner de façon incohérente.)
47	(Tenter de rassembler ton sang.)
48	IL DOIT RETOURNER AUX VEINES.
49	« Arrêtez ça ! »
50	« Qu'est-ce qu'il fout là-bas, bon sang ? »
51	« Il essaie de trafiquer l'imprimeuse. Ou un truc. »
52	C'est bon. Tire-toi de là par la parole.
53	« La presse... avait faim... »
54	« Oups ! »
55	« Je suis désolé... »
56	« Vous vous rendez compte à quel point ça va être agaçant à nettoyer ? »
57	« Et qu'est-ce que vous... vous... vous essayez de saboter la presse, M. le Clerc ?! »
58	« Non. » (Le dire beaucoup trop vite.)
59	« Pas... exprès. »
60	« Oui. Et je recommencerai. »
61	« Non, vous ne le ferez pas. »
62	« Vous savez quoi... je vous quitte plus des yeux quand vous êtes près. »
63	« Alors allez-y. Essayez juste de refaire ça, garce. »
64	« Écoutez-la, M. le Citadin ! »
65	« Ou vous vous prendrez la fureur azgalienne dans le train ! »
66	Bien sûr. Ça pourrait être des ennuis.
