idx	french
0	Tu t'agenouilles pour regarder le crâne félin sur le sol.
1	« Bonjour. »
2	« D'accord. Je te laisse à ça. » (Tapoter le sommet du crâne.)
3	Aucune réponse.
4	« Ma tête est aussi vide que ce crâne, Clerc. »
5	« On peut y aller ? »
6	Exact.
7	« Ouais ? »
8	« Tu peux parler à ce crâne pour moi ? Si je lance un sort pour ça ? »
9	« ...Tu peux pas utiliser la magie pour ça ? »
10	« Nan. »
11	« D'accord. Enfin... si tu crois que c'est utile. »
12	« Vas-y. »
13	« Hm. Peut-être plus tard. »
14	« D'ac. »
15	Il te faudra quelqu'un qui parle la langue de cette créature.
16	La langue-chat, très probablement.
17	Tu achèves de lancer le sort, et le crâne se met à émettre un cliquetis.
18	La mâchoire s'ouvrant et se fermant, avec un tremblement.
19	Il est prêt.
20	« D'accord. Alors, dis-moi ce que tu veux que je demande. »
21	Tu l'entends se chuchoter à lui-même : « <i>Tu peux le faire</i>. »
22	« Demande-lui son métier. »
23	« Demande-lui son nom. »
24	« Demande ce que ça fait d'être mort. »
25	« Demande ce qu'il vote à l'élection. »
26	« Demande-lui qui l'a tué. »
27	« Quelle est ta couleur préférée ? »
28	« Demande-lui le sens de la vie. »
29	« D'accord... »
30	« Te gusta... <i>trabajar</i> ? »
31	Le crâne pousse presque un cri : « <i>Mi devoción a mi dios y a mi deber es mi único interés; los gustos terrenales son pasajeros.</i> »
32	« Il aime son métier. C'est une grande dévotion. À son dieu. Les plaisirs terrestres sont... éphémères. »
33	« Tu... nombre ? »
34	« Mi nombre es el Vengador Rojo. Pero antes de ser eso, yo era Liethion Baluba. »
35	« Son nom est "le rouge vengeur". Et aussi... "Lietsi Balba" ? »
36	« Très étrange. C'est un type bizarre. »
37	« C'est ça. Alors genre... »
38	« D'accord. » Il se racle la gorge.
39	« Qué... hora es ? »
40	Le crâne parle : « <i>Mi tiempo fue entregado por el ojo rojo.</i> »
41	« Il dit que son... son temps est donné à l'"œil rouge". Peu importe ce que ça veut dire. »
42	« Non. »
43	« Fais-le. »
44	« Allez... »
45	« C'est du gâchis. Mais bon. »
46	« Euh. Cuál... es tu comida... favorita ? »
47	« <i>Mi sustento es el honor de servir y proteger.</i> »
48	« Il vote pour le service. Et la protection. »
49	« Ah ! Alors c'est un Nationaliste. »
50	« Cool. C'est un Errant, évidemment. »
51	« Un vrai Azgaliste, au bon cœur. »
52	« Eh bien. Il votera clairement pour moi, en tant que futur dieu-roi-magicien, dans ce cas. »
53	« Encore une voix qui n'est <i>pas</i> pour les Agrariens... » (Se sentir mal.)
54	« Une réponse vague. C'est clairement un chat apolitique. »
55	« Bien sûr. »
56	Il regarde vivement sur le côté. Nerveusement.
57	« Dónde está... la muerto ? »
58	« <i>Ellos están en todas partes. Nuestros hijos. Nuestros seguidores. Debemos luchar para vengarlos, en nombre del ojo rojo.</i> »
59	« Oh par les dieux, ça fait beaucoup... il... »
60	« Il dit que son peuple doit être vengé. Pour l'œil rouge. Comme c'est cryptique. »
61	« Cuál es tu color... favorito ? »
62	« <b>Rojo</b>. »
63	« Rouge. »
64	Il grimace en tentant de parler.
65	« Qué significa... la existencia ? Perpetua ? »
66	« <i>Cada cosa tiene un significado profundo, revelado solo a través de la devoción y el sacrificio.</i> »
67	« Le sens, c'est le sacrifice. La dévotion. On dirait que ce type est un zélote. »
68	Cinq questions restantes.
69	Quatre questions restantes.
70	Ça fait deux. Trois questions de plus.
71	Trois posées. Encore deux.
72	Une question restante. Fais qu'elle compte.
73	La bouche du cadavre se raidit de nouveau, et l'imitation de la vie prend fin.
74	Ça fait cinq.
75	« Bon. Cool. »
76	« On n'a pas appris grand-chose. »
77	« Mais c'était amusant ! »
78	En route.
