idx	french
0	Le chevalier noir se dresse dans la crypte.
1	Il ne te fait pas face.
2	Tu n'es aucune menace pour lui.
3	Incline-toi devant lui. INCLINE-TOI.
4	Il est très, très immobile.
5	Immobile. Ne respirant pas.
6	« Excusez-moi, je- »
7	« Bon chevalier, je dois- »
8	« Vous là. Ce n'est pas un- »
9	Son armure grince. Son corps bouge.
10	Une voix :
11	« <i>Soldat</i>. Bien battu. »
12	« Oh. Contre le squelette ? »
13	« Ce n'était rien. »
14	(Se contenter d'incliner la tête.)
15	Il tend un gantelet vers la tombe ouverte.
16	« La divinité tient le terrain. »
17	« Ressens-la. »
18	« Ce type me fout une trouille bleue », te chuchote Snell.
19	« Quel <i>poseur ténébreux</i>. »
20	« Que voulez-vous... que voulez-vous dire ? »
21	(Tendre une main vers la tombe.)
22	« RESSENS-LA, SOLDAT », t'aboie la voix de vent.
23	Le FIL.
24	Un d'une importance suprême.
25	Il se love ici. En ce seul point.
26	Cette <b>première tombe</b> de ton dieu.
27	Empoigner le Fil.
28	Tu le fais avec résolution.
29	Il n'y a nulle question sur la sainteté de ce lieu.
30	Mais tu ne l'as jamais aussi bien comprise.
31	Tu tentes, mais le Fil te paraît écrasant.
32	C'est un lieu déchu. Corrompu. Empli d'effroi...
33	La peur réside dans ton cœur.
34	Elle n'est rien comparée à la sainteté de ce lieu.
35	Je ne suis pas assez. Je n'ai jamais été assez.
36	Tu n'es rien.
37	Et c'est exactement ce que tu es censé être.
38	Le monde n'est pas assez.
39	Toi non plus.
40	Quelque chose a changé en toi. Cela te rappelle ce tour de magie que tu lançais tout le temps.
41	THAUMATURGIE.
42	(La lancer.)
43	Une puissance enfle en toi.
44	Utilise la Thaumaturgie pour dévoiler les lieux sacrés à travers la cité.
45	Le chevalier noir ne dit rien de plus. Il ramasse simplement sa hache, et s'en va.
46	Tu l'entends prendre l'escalier, jusqu'au Temple d'Urth- te laissant seul dans les cryptes.
47	Son maître t'a dit d'accomplir cet acte.
48	Tu le sais. Tu le comprends.
49	MÉFIE-TOI DE VISKEN.
50	...Bien.
