idx	french
0	Parmi l'enchevêtrement de lianes et de rochers moussus, tu vois les épaisses racines d'un arbre brachen. Elles fendent les murs et le plafond de cette chambre mi-naine, mi-antésépalienne.
1	Elles s'étalent comme une araignée aux mille pattes.
2	Le naturel reprenant l'artificiel.
3	C'est magnifique.
4	(Toucher les racines.)
5	« Il y a quelqu'un ? »
6	(Regarder au-delà des racines.)
7	Alors c'est le pied du grand arbre.
8	Elles sont douces en surface. Une couche de mousse.
9	L'arbre ne répond pas.
10	« Hélas, je crois pas qu'il ait de bouche. Ni de cerveau. »
11	« J'imagine que tu pourrais lui parler avec de la magie. Cela dit, je suis pas expert. »
12	Elles sont épaisses, et créent une vaste et dense forêt.
13	Cependant... il y a quelque chose là.
14	Un espace. Au-delà des racines.
15	Il pourrait y avoir quelque chose là. Caché au-delà du mur de racines.
16	Mais tu n'en es pas sûr.
17	Plus ou moins.
18	Les racines vont plus profond. Bien, bien plus profond.
19	Les très, très nombreuses racines de l'arbre brachen emplissent la chambre.
20	Elle ne bouge pas.
21	(Hocher la tête et cesser de parler à l'arbre.)
22	Oui.
23	Ce serait une belle démonstration de ta puissance.
24	Ce serait difficile. L'arbre est ancien et puissant.
25	Il y a clairement quelque chose de caché là-dedans.
26	Bien que la force brute soit un peu passée de mode... elle pourrait convenir ici.
27	Défoncer les racines.
28	Pas maintenant.
29	Tu t'avances vers elles- chaque racine pendant devant toi comme une vrille d'idéologies immondes.
30	Arrache-les.
31	ARRACHE-LES DE L'EXISTENCE.
32	(Hurler, un cri Primordial, et saisir les racines.)
33	Avant que tu puisses y mettre la moindre puissance, l'arbre réagit.
34	Il te CRAINT.
35	Tu t'avances pour saisir les racines - et tu te mets à tirer.
36	(Écarteler ces racines !)
37	D'une secousse vigoureuse, les racines... ne semblent pas bouger d'un pouce.
38	Cependant, les muscles de ton dos, eux, semblent le faire.
39	Un craquement.
40	« Bon sang, ça fait mal ! » (S'effondrer.)
41	« Oh par les dieux, ça avait l'air grave. »
42	« Tu as besoin d'aide, Clerc ? Tu veux que j'appelle quelqu'un ? »
43	Tes muscles pulsent de douleur.
44	Tout le dos est amoché maintenant.
45	(Hurler de douleur.)
46	Tu entends un rugissement venir du fond de la chambre.
47	« Silence ! Pas de cris près des Racines ! »
48	Elle a raison. Ne fais pas tant de bruit. C'est indigne d'un homme de ta stature.
49	Mais ça fait mal...!
50	(Se calmer et prendre une inspiration.)
51	C'était une mauvaise idée.
52	Les racines sont très fermes et rigides.
53	Tu ne peux pas les briser ainsi. Ou du moins c'est très improbable.
54	« Peut-être que tu peux essayer autre chose, Clerc. Tu as demandé gentiment à l'arbre ? »
55	Il glousse.
56	Pas une mauvaise idée.
57	Plus tard, alors.
58	Bien. Laisse dormir les arbres tranquilles.
59	Les racines s'écartent lentement, mais très légèrement, révélant les biens à l'intérieur.
60	La cache a été révélée.
61	Lord Puu semble t'autoriser à piller sa cache maintenant.
62	Comme c'est poli.
63	Il n'a clairement pas pu supporter ta puissance.
64	Tu touches la surface de l'arbre. La douce mousse humecte ton gant. Puis tu traces une spirale de ton index.
65	La magie primordiale fait s'agiter les racines. Un profond grondement traverse la chambre.
66	(Incliner la tête.)
67	« Salutations, ô grand arbre brachen. »
68	« <i>Heeee...</i> »
69	L'une des racines se tend. Vers toi.
