idx	french
0	Beau boulot, ce vol de clé.
1	Ce dénommé Coinlord allait probablement juste débiter un truc agaçant, de toute façon.
2	Hm. Voilà, c'est parti.
3	Le premier jour de boulot.
4	Tu as fait du BON travail.
5	<i>Bien</i>.
6	Tu as fait du <i>bon</i> travail. Le bien, c'est pour les dieux.
7	En t'approchant du couchage, tu te dis :
8	Y a-t-il autre chose à faire avant de dormir ?
9	(Y réfléchir.)
10	Rien ne te vient à l'esprit.
11	Mais tu le sens.
12	Le rassemblement de la jeunesse. Des cris.
13	Deux camps, chacun tenant une vision idéalisée du monde, leurs voix résonnant à travers le chantier naval.
14	LES JEUNES & LES SOTS.
15	Sur <i>Waterlane</i>.
16	OUI.
17	L'épuisement. Il ravage ton corps.
18	Le DANGER suivrait... si tu sortais dans cet état.
19	Des ennuis à Waterlane View ? Il y a <i>toujours</i> des ennuis là-bas.
20	C'est une simple rébellion d'adolescents. Ils peuvent régler ça eux-mêmes.
21	Hm. Tu devrais les aider.
22	OUI ! J'y descends de ce pas. Jusqu'à la Croisée du Pilier, au-delà du pont. (Partir. Tout de suite.)
23	Nan. Je passe mon tour. (Aller simplement dormir.)
24	Tes tripes te disent : PLONGE dans ce couchage.
25	Tu devrais écouter.
26	Ou... !
27	Ou ?
28	OU : tu pourrais te forcer.
29	Prends une profonde inspiration. Aguerris ton corps et ton esprit.
30	Et va t'occuper de cet appel funeste vers Waterlane.
31	Force-toi. FORCE-TOI.
32	À fixer ton couchage. Mains jointes. Tête basse.
33	Tu te DRESSES. En esprit et en chair.
34	Oh. Je ne suis plus épuisé.
35	Non, en effet.
36	Il n'aura fallu qu'un effort, pour une bonne cause !
37	Mais je ne sais toujours pas ce qui se passe en bas à Waterlane, si ?
38	Alors j'irai. À Waterlane. Voir de quoi il retourne. Pas vrai ?
39	À fixer ton couchage, tes os las commencent à flancher.
40	Aucun effort ne te fera traverser un tel niveau d'épuisement.
41	Ouais. Sans doute vrai.
42	Je pourrais quand même essayer. Aller voir ce qui se passe en bas à Waterlane ?
43	La décision t'appartient.
44	Du genre jeune.
45	Du genre angoissé.
46	Le genre d'ennuis qui a besoin d'être MAÎTRISÉ par LE CLERC !
47	Pitoyable.
48	Compréhensible. Tu ne ferais probablement qu'empirer les choses.
49	Devant toi se trouve un couchage.
50	Ton corps est ÉREINTÉ.
51	Tu dois te reposer. MAINTENANT.
52	Pourquoi dois-je dormir ?
53	Non, vraiment, c'est quoi ce truc ?
54	E-Arrête de fixer le couchage.
55	Tu es là, assis, ton corps consumé jusqu'à l'effilochure.
56	À tenir le coup, tout juste, après bien des échecs.
57	(Gémir.)
58	Tu te détruis pour la quête.
59	Comme il sied à bien des hommes.
60	Et tu ne seras plus jamais le même...
61	<wiggle>...</wiggle>
62	Non. Ton corps n'est pas assez fatigué.
63	Va plutôt te faire un peu d'argent, espèce de fainéant.
64	Vouloir dormir plus de 8 heures par jour est un signe d'instabilité mentale. Tu vas bien ?
65	Le stress. Des pensées troublantes. Des événements qui menacent la vie.
66	Ton corps s'adapte encore.
67	Pourquoi aurais-tu jamais besoin de dormir ? Un vrai homme travaille jusqu'à ce que ses os se brisent.
68	Oui. Ton corps est las.
69	C'est une perte de temps. Mais bon, vas-y.
70	Une petite sieste pourrait te faire du bien. Et à ta virilité.
71	Voilà l'état d'esprit !
72	Si tu restes éveillé plus de 48 heures, tu mourras.
73	Si tu restes éveillé plus de 48 heures, ton corps cessera de fonctionner dans son état actuel.
74	Ce qui n'est pas bon pour ta santé physique.
75	Pour l'instant, tu ne devrais pas aller te coucher.
76	Tu devrais aller te coucher maintenant.
77	Prendre un repos long restaure tes points de vie, tes dés de vie, ramène ton épuisement à zéro, et te rend tes emplacements de sorts dépensés.
78	Un repos long dure 8 heures, et tu peux en prendre un après 20:00 chaque jour.
79	Hm ?
80	C'est un... lit.
81	Tu n'es pas sûr.
82	Ça n'a pas l'air d'un lit.
83	Du textile. Relié de cuir et rempli d'une matière molle.
84	Relié de cuir et rempli de rognures de bœuf.
85	Très probablement du Fil-Bulle.
86	Plutôt mou.
87	Un <i>couchage</i> de fortune.
88	Je vois. Comme un de ces trucs que les aventuriers utilisent pour dormir en voyage.
89	Un vrai homme peut dormir n'importe où.
90	Y compris sur ce bout de tapis rêche.
91	Ça va te bousiller le dos...
92	Au moins, pas de ronflements ici. Tu te souviens de la caserne ?
93	Tu n'entends ici que le vent - et l'occasionnel cri d'une mouette géante.
94	Ce sera un bon endroit où se reposer.
95	En restant dans l'enceinte de la Tour de Garde, tu passes avec succès huit heures en repos long.
96	Nul besoin de lancer des rencontres. Tu en as eu assez pour une Journée d'Aventure. Voyons voir...
97	Entrer dans le salon de thé dès le premier jour ? Impressionnant.
98	Pense juste à bien l'examiner avant de faire ton rapport aux gobelins.
99	Faire en sorte qu'Alfoz te frappe était une manœuvre intéressante. L'Agent Viira a bien apprécié, ça, c'est sûr.
100	Manœuvre habile que de discuter à l'amiable avec les nains. Espérons que tu pourras rester courtois par la suite aussi.
101	Quant à ces jeunes, courageux de ta part de te ruer dedans comme ça. Beaucoup de radicaux dans les rues ces temps-ci.
102	Modissa et Rollo ont l'air <i>en guerre</i> depuis un bon bout de temps. Peut-être que ce ne sera pas la dernière fois que tu les vois.
103	Puis il y a ce pauvre, pauvre Drummer. Qui essaie de s'expédier vers l'inconnu.
104	Espérons qu'il s'en tirera mieux dans quelque cité lointaine. Bien joué de l'envoyer au loin.
105	Habile de ta part de le garder dans les parages. Tu auras probablement l'occasion de reparler avec lui avant l'élection.
106	Il y a aussi la <i>Guenaude</i>. Quelqu'un qui tient une réunion dans le salon de thé ? Juste avant l'explosion ? Hautement suspect.
107	Il y a aussi la <i>Guenaude</i>. Lisa est suspecte, mais au-delà de sa nature de guenaude, rien ne semble pointer dans sa direction.
108	En résolvant l'énigme d'Olzis, tu t'es clairement distingué. Fais juste attention à ce que tu fais de ton Paquet...
109	En résolvant l'énigme d'Olzis, tu t'es clairement distingué. Cela dit, je suis sincèrement surpris que tu n'aies pas mis fin à la campagne d'un coup en piochant dans le Paquet. Vraiment. Tu es cinglé.
110	Et désolé de t'avoir laissé trébucher jusque dans la Cité d'En Bas. Je suis juste surpris que tu en sois ressorti vivant.
111	Tu as vraiment bien géré ce piège de feu. N'aurais pas pu y arriver sans Snell, hein ?
112	Mieux vaut le garder à distance, cela dit. Tu n'es pas du genre à te faire des amis, de toute façon.
113	Le combat contre le roper, je ne l'avais pas anticipé. Surtout cette issue. À savoir, que tu <i>n'aies pas</i> été dévoré.
114	Cela dit, vu que tu t'es engouffré droit dans ce cube gélatineux... disons juste que tu as <i>une sacrée chance</i> d'être en vie.
115	Et souviens-toi que tu as aussi tout un donjon sous la cité à explorer...
116	Mais maintenant il est temps de t'occuper de la quête principale : <b><i>Le salon de thé t'attend.</i></b>
117	Mais maintenant, la question bien plus mystérieuse : Qui a tué l'elfe ? Et plus important encore... <b><i>pourquoi ?</i></b>
118	(Et je t'en prie, va au jardin des gobelins. C'est au sud. Ils attendent.)
119	Tu t'allonges sur ton couchage, trouvant le sommeil difficile.
120	Alors que tu t'agites, tu penses à ta quête. Le Témoin Vedette, l'<i>homme-en-jaune</i>.
121	<i>Frank, fils de Frank.</i> Ce n'est peut-être qu'une impasse- même si tu as le net sentiment qu'il rôde quelque part en bas.
122	Dire que tu as déjà découvert Meriadoc, le sauvant de cet horrible troll. Je pensais que ça te prendrait bien plus longtemps.
123	Mais... tu n'es même pas encore <i>entré</i> dans le salon de thé ? Il est probablement temps de faire ça demain. À moins que tu ne veuilles faire ton rebelle.
124	Ce qui n'est pas grave. Tu as le droit d'être à contre-courant. Je dis ça comme ça.
125	C'est la campagne du « mystère du salon de thé ». Pas la campagne du « je vais faire du donjon toute la journée ».
126	Ton témoin vedette, Meriadoc Moonwatch, t'a parlé de son observation de cet... homme invisible qui <i>fume</i>.
127	Quelqu'un qui a réussi à <i>pénétrer</i> le Pilier de Jor.
128	Tu sais que tu dois suivre. Assure-toi juste d'être pleinement préparé...
129	Alors que ton esprit vagabonde, tu réalises que tu n'es <i>toujours</i> pas entré dans le salon de thé. Ta quête principale ici sur Tolstad.
130	Tu t'es concentré sur beaucoup d'autres choses, c'est donc compréhensible. Mais peut-être qu'il est temps, à présent.
131	Alors que ton esprit vagabonde, tu ressens l'intense impression d'avoir manqué quelque chose dans le salon de thé.
132	Quoi que ce soit, il te faudra le découvrir avant de faire ton rapport à Dame Sageleaf.
133	Et ce pauvre, pauvre Drummer. Qui essaie de s'expédier vers l'inconnu.
134	Puis... il y a la question de l'<i>elfe</i>.
135	C'était censé être un simple boulot. Aucune victime. Aucune pression. Juste quelques gobelins en colère et un salon de thé en ruine.
136	Maintenant ça semble être tout sauf ça.
137	Tu t'es vraiment démené pour la révolution. Et tu as même réussi à aider Viira contre cet ambassadeur.
138	Tu t'es vraiment démené pour la révolution. Et tu as même réussi à faire exactement ce que Viira voulait, dans cet entretien avec l'ambassadeur. Elle a de la chance de t'avoir.
139	Tu t'es vraiment démené pour la révolution. Pour finalement mettre Viira en rogne contre toi pendant ta rencontre avec l'ambassadeur. Ce sera intéressant de voir comment tu finiras, dans cette nouvelle Norvik.
140	Un véritable Errant, voilà ce que tu es, à trimer si dur pour la révolution. Tu le sais bien : un avenir radieux attend dans cette nouvelle Norvik.
141	Aider les Azgalistes ? Faire baisser la <i>rhétorique</i> de Modissa ? Tu accomplis vraiment des miracles parmi les nains.
142	Aider les Azgalistes ? Aider Modissa à faire passer sa <i>rhétorique</i> à travers la ligne du parti ? Continue comme ça, et tu finiras véritable dialecticien.
143	<i>La Résistance</i>. Plus maintenant. Envoyer ces gamins au loin était la chose la plus intelligente que tu pouvais faire pour eux.
144	Ne t'en fais pas. Ils t'en remercieront à la fin.
145	Ces papiers feront l'Histoire. Tu n'en feras pas partie, bien sûr. Mais Rollo et ses gars changeront la cité - en <i>mieux</i>.
146	Ou du moins, Modissa fera un merveilleux boucan avant que les Errants ne les écrasent.
147	Ces papiers feront l'Histoire. Tu n'en feras pas partie, bien sûr. Mais ces gamins changeront la cité - en <i>mieux</i>.
148	Ou du moins, ils feront un merveilleux boucan avant que les Errants ne les écrasent.
149	Ah, et en résolvant l'énigme d'Olzis, tu t'es clairement distingué. Fais juste attention à ce que tu fais de ton Paquet...
150	Tant de fils épars. Mais ne t'en fais pas, tu as le temps.
151	Il te faudra encore localiser le propriétaire du salon de thé.
152	Il est temps de creuser plus profond, au-delà d'En Bas. Parmi ses nombreux secrets, un chemin doit bien descendre plus loin...
153	Ton exploration s'est bien passée, mais il est temps de regarder ailleurs. D'éclairer les autres recoins de Tolstad...
154	Avant que tu ne t'en aperçoives, huit heures ont passé. Tu achèves avec succès ton repos long.
155	Alors que tu sombres dans la douceur du couchage, dans cette minuscule tour...
156	Tu te sens fatigué. Le genre de fatigue que le sommeil ne guérira pas.
157	<i>Trois jours</i>. Trois jours que tu passes sur Tolstad, sans même une seule fois pointer le nez jusque dans la Cité d'En Bas.
158	Il est peut-être temps. Le mystère de l'<i>homme-en-jaune</i> mène clairement par là.
159	Puis il y a la <i>Guenaude</i>. Quelqu'un qui tient une réunion dans le salon de thé ? Juste avant l'explosion ? Hautement suspect.
160	Puis il y a la <i>Guenaude</i>. Lisa est suspecte, mais au-delà de sa nature de guenaude, rien ne semble pointer dans sa direction.
