idx	french
0	Tu montes sur le rocher. Autour de toi s'étend la vaste chambre de racine et de pierre - de nain et de forces Primordiales se pressant l'une contre l'autre.
1	Une part de lutte, une part de symbiose harmonique.
2	C'est le vaisseau dans lequel le grand arbre brachen de Tolstad est nourri.
3	Ce puits ? Son cœur battant.
4	Tu as cherché assez de réconfort dans la voie du druide.
5	Ceci - c'est ici que tu peux apprendre à manier la puissance du CŒUR.
6	Aussi- tu peux absolument faire du BRUIT ici.
7	Essaie !
8	Ne ramène pas ça à toi.
9	Un rocher comme celui-ci est une clé de voûte dans une <i>communauté</i>. Pas un outil de l'individu.
10	C'est une estrade. Une <i>scène</i>.
11	Les scènes sont faites pour attirer l'attention sur ceux qui la méritent.
12	C'est-à-dire <i>toi</i>.
13	(Hurler.) « JE SUIS LE SEIGNEUR DE CETTE <shake>FORTERESSE NAINE</shake> ! »
14	(Descendre du rocher.)
15	Ta voix résonne parmi les racines enchevêtrées.
16	Aucune réponse. De quoi ou qui que ce soit.
17	« ...Qu'est-ce que tu <i>fais</i> ? »
18	« Tu fais un petit truc de druide et maintenant tu te sens propriétaire des lieux ? »
19	Puisque personne d'important ne t'a entendu, tu peux faire toutes les déclarations que tu veux.
20	Ça n'a littéralement aucune importance.
21	« Ça sonne un peu impérialiste et/ou colonialiste, si tu veux mon avis. »
22	« Oui ? Et ? »
23	« Oh non. Je n'avais pas réalisé. Je m'excuse, en tant qu'Azgaliste je ne cautionnerais jamais aucune déclaration à caractère impér- et/ou colon-ialiste. »
24	« Non, je visais plutôt une déclaration apolitique générique et affirmatrice de pouvoir. »
25	« Je voulais pas- j'ai pas- je suis juste- je suis juste un gars de ferme. Je vote pour les Agrariens même s'ils n'existent pas. Je jure que je le ferai. Je vais le faire, putain. »
26	« Errant. »
27	Il grogne.
28	« Continue. »
29	« L'État requiert une certaine forme de contrôle sur ses voisins et les puissances étrangères afin de faire avancer son propre programme. Nous devons manier le pouvoir de cette façon, dans le simple but de garantir notre propre souveraineté, même au détriment de celle des autres. »
30	« En tant que dieu-roi-magicien-Arcaniste ultime, j'imposerai une domination complète sur la Côte. Cela, par sa nature même, est un peu impérialiste et colonialiste, je crois. »
31	« ...Euh. Je retire ce que j'ai dit. En fait, je voulais dire... » (Changer de cap.)
32	« Donc, la sécurité de ton propre peuple avant la liberté de quiconque d'autre ? »
33	« Tu piges. »
34	« Tu crois ? »
35	« Je crois. »
36	« Je crois ? »
37	« Je crois ! »
38	« Je crois, donc j'ai raison. »
39	« Ah ouais ? »
40	Il claque la langue.
41	« Quelque chose dans le fait que tu te tiennes debout sur ce rocher, à sermonner des arguments fascistes, me fait presque comprendre le populisme de l'Ère Arcanique. »
42	« Ou du moins, ça semble me donner une sorte de flash-back intra-générationnel. »
43	« Ça sonne ésotérique. »
44	« Ça sonne comme une maladie mentale. »
45	« Alors tu ne soutiens pas ma campagne ? »
46	« Qu'est-ce qui ne l'est pas, de nos jours ? »
47	« Alors tu sais ce que je ressens. »
48	« ...Je crois que je vais passer. »
49	« Je dirais que ton boulot rend ça difficile. »
50	« À cause des structures de pouvoir dans lesquelles je travaille, je suppose ? »
51	« À cause de ma position de détenteur de la violence de l'État ? »
52	« Entièrement à cause de ma virilité - le point focal cuit sous pression du mal lui-même - tandis que je le porte dans le monde ? »
