idx	french
500	Il cherche quelque chose de sincère là.
501	Ne sois pas trop anti-humains. Il n'aimera pas ça.
502	Suis ce que ton cœur te chuchote.
503	Exaspération.
504	Une réflexion à bout de souffle.
505	Il y a une bonne réponse.
506	Sois franc avec lui.
507	C'est le genre de moment où tu te dois de te souvenir : Urth n'était qu'un type.
508	Et maintenant, c'est à vous qu'il revient de ramasser les morceaux.
509	« Ce n'était qu'un homme. Un homme doté d'une étincelle divine. Traite-le comme n'importe quel autre humain, et tu verras la vérité. »
510	« Souviens-toi de ce qu'il t'a dit. Son Ère est terminée. <i>Toi et moi</i>, c'est nous qui sommes là. C'est notre cité maintenant. »
511	« Il n'aurait jamais dû aller à Askan au départ. »
512	« Je ne sais pas, Snell. Je ne suis qu'un humain. »
513	Le gobelin lève les yeux.
514	« Très bien. Je peux faire ça. »
515	« Tu ferais un <i>excellent</i> chef des Mi-Chemin. »
516	« Tu l'as dit toi-même, tout change après l'élection. C'est un monde nouveau maintenant. »
517	« Urth est mort. Nous sommes vivants. C'est tout ce qui compte. »
518	Ton commentaire le force à un bref rire.
519	« Je crois que personne ne pourrait être à la hauteur de Sageleaf, si jamais elle casse sa pipe. »
520	« Mais merci. »
521	« J'imagine que oui. »
522	« J'imagine que ça l'est. »
523	« Peut-être bien. Peut-être que t'as raison. »
524	« Il aurait dû tous nous laisser nous noyer. »
525	« Il aurait dû parier sur un autre plan. Peu importe les probabilités. »
526	« On aurait tous dû mourir au vieux pays, sous les bombes-malédictions faites par l'homme et les lames de légionnaires imprégnées de magie. »
527	« Peut-être qu'il aurait dû. »
528	« Mais si j'étais à sa place, j'aurais probablement fait la même chose. »
529	« Si je devais choisir entre la survie des Mi-Chemin, ou celle du reste d'entre vous, les humains, du moins. »
530	« Tu défendrais une poignée de gobelins plutôt que la vie de bien plus d'humains ? »
531	« Je choisirais ça aussi. Je déteste les humains maintenant. »
532	« Comme moi. Pour les humains. »
533	Il hausse les épaules. « Ça dépend du nombre exact, j'imagine. Mais... »
534	« Peut-être. Ouais. »
535	Ton commentaire lui arrache un rire.
536	« Ça pour sûr. »
537	« Je suis sûr que tu le ferais. »
538	Les yeux du gobelin sont pleins de contemplation.
539	Il pensera à cette conversation autant qu'à celle avec ton dieu.
540	Ça n'aurait pas pu mieux se passer.
541	Un Fil est tissé. Le chemin est tracé.
542	Sens la chaleur et les brins et les effilochures apaisantes.
543	Il n'est pas si mauvais, après tout.
544	Un gobelin au bon esprit est peut-être exactement ce dont cette cité a besoin.
545	Son petit esprit rattrape plus vite que tu ne l'avais anticipé.
546	Avec le temps il le comprendra. Il cherchera peut-être davantage de savoir auprès de toi, alors.
547	Ce sourire fugace sur son visage. Ouais.
548	Tu as fait du bon travail. Aucune bavure ici.
549	Un gobelin. Pas un humain.
550	Tu ne peux pas trop t'approcher.
551	Tu ne peux pas le comprendre.
552	C'est trop éloigné, sa position, sa vie, sa peau, ses griffes et ses crocs.
553	Malgré ce temps que vous avez passé ensemble, il n'y a guère plus à faire.
554	N'était-il... pas ton frère d'armes ?
555	N'a-t-il pas veillé sur toi durant ce périple funeste ?
556	C'est juste. Je l'ai jamais tellement apprécié de toute façon. (Laisser passer le moment.)
557	Quoi ? C'est tout ?
558	Il l'était. Il l'était, et l'a été, mon <b>frère d'armes</b>.
559	Une pensée triste. Mais vraie.
560	Alors PARLE.
561	Sonde son esprit.
562	Un homme ne peut s'élever à la vraie puissance que par les bras saillants de ses pairs.
563	Laisse-les te SOULEVER.
564	Deviens un homme qui n'est PAS une île.
565	COMPRENDS-LE.
566	Comprendre ton frère, malgré le monde.
567	Oui ?
568	J'ai vraiment apprécié traîner avec ce petit enfoiré.
569	Je le trouvais assez cool.
570	Je n'avais rien contre lui. Pas vraiment.
571	J'aurais aimé le connaître davantage.
572	Oh ? Vraiment ?
573	Ouais.
574	« J'ai réussi ! »
575	Le nain en tête de file hurle, sa voix résonnant dans la chambre du temple désormais presque vide.
576	« J'ai enfin voté. Je l'ai vraiment fait ! Hah ! » Il recule de l'urne, essuyant la sueur de son front.
577	Le nain se tourne pour regarder la chambre, des larmes ruisselant de ses yeux injectés de sang.
578	« Je pensais pas que ce serait aussi <shake>difficile</shake>... ! »
579	« Au moins t'as un type qui se soucie autant de politique que toi. »
580	« Ouah. Quel, euh... véritable <i>amateur de démocratie</i> celui-là. »
581	Avec ce monsieur qui en a fini, tu ne vois plus rien maintenant- rien qui se dresse entre toi et ta <i>voix</i>.
582	C'est parti ! Le moment de moderniser ce foutu endroit.
583	Sauve ta cité. MAINTENANT.
584	Une telle perte de temps.
585	<shake>Des grondements...</shake>
586	<i>Un vote. Un trésor. Une guerre.</i>
587	C'est le premier, dans la <i>Règle-de-Trois</i>.
588	E-C'est l'heure.
589	Tu t'approches de l'urne.
590	Sa fente : un canyon de possibilités.
591	Tu devrais vraiment essayer de te trouver une copine.
592	« Le moment de déposer ce foutu vote. »
