idx	french
0	Tu t'approches de ce carreau descellé.
1	En pensant à ses paroles.
2	Tu tiens ton anneau de laiton.
3	Snell te regarde en silence.
4	« Beau coin. »
5	(Le placer derrière le carreau descellé.)
6	(Le garder.)
7	Tu le places derrière le carreau, et le refermes en le glissant.
8	Un jour un autre le trouvera.
9	Tu espères que Sa lumière brille aussi sur cet individu.
10	E-(Partir.)
11	Tu as un long voyage devant toi.
12	Un rappel de sa lumière n'est jamais une mauvaise chose.
13	E-(Le serrer fort et partir.)
